mc	mn	keysig	timesig	act_dur	mc_offset	numbering_offset	dont_count	barline	breaks	repeats	next
1	1	-4	3/4	3/4	0					firstMeasure	2
2	2	-4	3/4	3/4	0				line		3
3	3	-4	3/4	3/4	0						4
4	4	-4	3/4	3/4	0				line		5
5	5	-4	3/4	3/4	0						6
6	6	-4	3/4	3/4	0				line		7
7	7	-4	3/4	3/4	0				line		8
8	8	-4	3/4	3/4	0				page		9
9	9	-4	3/4	3/4	0				line		10
10	10	-4	3/4	3/4	0				line		11
11	11	-4	3/4	3/4	0						12
12	12	-4	3/4	3/4	0				line		13
13	13	-4	3/4	3/4	0				line		14
14	14	-4	3/4	3/4	0				line		15
15	15	-4	3/4	3/4	0				line		16
16	16	-4	3/4	3/4	0				line		17
17	17	-4	3/4	3/4	0						18
18	18	-4	3/4	3/4	0				line		19
19	19	-4	3/4	3/4	0						20
20	20	-4	3/4	3/4	0				line		21
21	21	-4	3/4	3/4	0				line		22
22	22	-4	3/4	3/4	0				line		23
23	23	-4	3/4	3/4	0				line		24
24	24	-4	3/4	3/4	0				page		25
25	25	4	3/4	3/4	0						26
26	26	4	3/4	3/4	0				line		27
27	27	-4	3/4	3/4	0				line		28
28	28	-4	3/4	3/4	0				line		29
29	29	-4	3/4	3/4	0						30
30	30	-4	3/4	3/4	0						31
31	31	4	3/4	3/4	0				page		32
32	32	4	3/4	3/4	0						33
33	33	-4	3/4	3/4	0						34
34	34	4	3/4	3/4	0				line		35
35	35	4	3/4	3/4	0						36
36	36	4	3/4	3/4	0				line		37
37	37	4	3/4	3/4	0						38
38	38	-3	3/4	3/4	0						39
39	39	5	3/4	3/4	0				line		40
40	40	5	3/4	3/4	0						41
41	41	5	3/4	3/4	0						42
42	42	5	3/4	3/4	0				line		43
43	43	5	3/4	3/4	0						44
44	44	5	3/4	3/4	0						45
45	45	5	3/4	3/4	0				page		46
46	46	-4	3/4	3/4	0				line		47
47	47	-4	3/4	3/4	0				line		48
48	48	-4	3/4	3/4	0						49
49	49	-4	3/4	3/4	0			double	line		50
50	50	-4	3/4	3/4	0						51
51	51	-4	3/4	3/4	0				line		52
52	52	-4	3/4	3/4	0						53
53	53	-4	3/4	3/4	0				line		54
54	54	-4	3/4	3/4	0						55
55	55	-4	3/4	3/4	0				page		56
56	56	-4	3/4	3/4	0						57
57	57	-4	3/4	3/4	0				line		58
58	58	-4	3/4	3/4	0						59
59	59	-4	3/4	3/4	0				line		60
60	60	-4	3/4	3/4	0						61
61	61	-4	3/4	3/4	0				line		62
62	62	-4	3/4	3/4	0						63
63	63	-4	3/4	3/4	0				line		64
64	64	-4	3/4	3/4	0						65
65	65	-4	3/4	3/4	0						66
66	66	-4	3/4	3/4	0						67
67	67	-4	3/4	3/4	0				page	lastMeasure	-1
