mc	mn	keysig	timesig	act_dur	mc_offset	numbering_offset	dont_count	barline	breaks	repeats	next
1	1	-6	3/4	3/4	0					firstMeasure	2
2	2	-6	3/4	3/4	0						3
3	3	-6	3/4	3/4	0						4
4	4	-6	3/4	3/4	0						5
5	5	-6	3/4	3/4	0				line		6
6	6	-6	3/4	3/4	0						7
7	7	-6	3/4	3/4	0						8
8	8	-6	3/4	3/4	0						9
9	9	-6	3/4	3/4	0						10
10	10	-6	3/4	3/4	0				line		11
11	11	-6	3/4	3/4	0						12
12	12	-6	3/4	3/4	0						13
13	13	-6	3/4	3/4	0						14
14	14	-6	3/4	3/4	0						15
15	15	-6	3/4	3/4	0						16
16	16	-6	3/4	3/4	0				line		17
17	17	-6	3/4	3/4	0						18
18	18	-6	3/4	3/4	0						19
19	19	-6	3/4	3/4	0						20
20	20	-6	3/4	3/4	0						21
21	21	-6	3/4	3/4	0				page		22
22	22	-6	3/4	3/4	0						23
23	23	-6	3/4	3/4	0						24
24	24	-6	3/4	3/4	0						25
25	25	-6	3/4	3/4	0						26
26	26	-6	3/4	3/4	0				line		27
27	27	-6	3/4	3/4	0						28
28	28	-6	3/4	3/4	0						29
29	29	-6	3/4	3/4	0						30
30	30	-6	3/4	3/4	0						31
31	31	-6	3/4	3/4	0				line		32
32	32	-6	3/4	3/4	0						33
33	33	-6	3/4	3/4	0						34
34	34	-6	3/4	3/4	0						35
35	35	-6	3/4	3/4	0						36
36	36	-6	3/4	3/4	0				line		37
37	37	-6	3/4	3/4	0						38
38	38	-6	3/4	3/4	0						39
39	39	-6	3/4	3/4	0						40
40	40	-6	3/4	3/4	0						41
41	41	-6	3/4	3/4	0				line		42
42	42	-6	3/4	3/4	0						43
43	43	-6	3/4	3/4	0						44
44	44	-6	3/4	3/4	0						45
45	45	-6	3/4	3/4	0						46
46	46	-6	3/4	3/4	0				page		47
47	47	-6	3/4	3/4	0						48
48	48	-6	3/4	3/4	0						49
49	49	-6	3/4	3/4	0						50
50	50	-6	3/4	3/4	0						51
51	51	-6	3/4	3/4	0				line		52
52	52	-6	3/4	3/4	0						53
53	53	-6	3/4	3/4	0						54
54	54	-6	3/4	3/4	0						55
55	55	-6	3/4	3/4	0						56
56	56	-6	3/4	3/4	0				line		57
57	57	-6	3/4	3/4	0						58
58	58	-6	3/4	3/4	0						59
59	59	-6	3/4	3/4	0						60
60	60	-6	3/4	3/4	0						61
61	61	-6	3/4	3/4	0				line		62
62	62	-6	3/4	3/4	0						63
63	63	-6	3/4	3/4	0						64
64	64	-6	3/4	3/4	0						65
65	65	-6	3/4	3/4	0						66
66	66	-6	3/4	3/4	0				line		67
67	67	-6	3/4	3/4	0						68
68	68	-6	3/4	3/4	0						69
69	69	-6	3/4	3/4	0						70
70	70	-6	3/4	3/4	0						71
71	71	-6	3/4	3/4	0				page		72
72	72	-6	3/4	3/4	0						73
73	73	-6	3/4	3/4	0						74
74	74	-6	3/4	3/4	0						75
75	75	-6	3/4	3/4	0			double			76
76	76	3	3/4	3/4	0				line		77
77	77	3	3/4	3/4	0						78
78	78	3	3/4	3/4	0						79
79	79	3	3/4	3/4	0						80
80	80	3	3/4	3/4	0						81
81	81	3	3/4	3/4	0				line		82
82	82	3	3/4	3/4	0						83
83	83	3	3/4	3/4	0						84
84	84	3	3/4	3/4	0						85
85	85	3	3/4	3/4	0						86
86	86	3	3/4	3/4	0				line		87
87	87	3	3/4	3/4	0						88
88	88	3	3/4	3/4	0						89
89	89	3	3/4	3/4	0						90
90	90	3	3/4	3/4	0						91
91	91	3	3/4	3/4	0						92
92	92	3	3/4	3/4	0				line		93
93	93	3	3/4	3/4	0						94
94	94	3	3/4	3/4	0						95
95	95	3	3/4	3/4	0						96
96	96	3	3/4	3/4	0						97
97	97	3	3/4	3/4	0				page		98
98	98	3	3/4	3/4	0						99
99	99	3	3/4	3/4	0						100
100	100	3	3/4	3/4	0						101
101	101	3	3/4	3/4	0						102
102	102	3	3/4	3/4	0				line		103
103	103	3	3/4	3/4	0			double			104
104	104	-6	3/4	3/4	0						105
105	105	-6	3/4	3/4	0						106
106	106	-6	3/4	3/4	0						107
107	107	-6	3/4	3/4	0				line		108
108	108	-6	3/4	3/4	0						109
109	109	-6	3/4	3/4	0						110
110	110	-6	3/4	3/4	0						111
111	111	-6	3/4	3/4	0						112
112	112	-6	3/4	3/4	0				line		113
113	113	-6	3/4	3/4	0						114
114	114	-6	3/4	3/4	0						115
115	115	-6	3/4	3/4	0						116
116	116	-6	3/4	3/4	0						117
117	117	-6	3/4	3/4	0				line		118
118	118	-6	3/4	3/4	0						119
119	119	-6	3/4	3/4	0						120
120	120	-6	3/4	3/4	0						121
121	121	-6	3/4	3/4	0						122
122	122	-6	3/4	3/4	0				page		123
123	123	-6	3/4	3/4	0						124
124	124	-6	3/4	3/4	0						125
125	125	-6	3/4	3/4	0						126
126	126	-6	3/4	3/4	0						127
127	127	-6	3/4	3/4	0				line		128
128	128	-6	3/4	3/4	0						129
129	129	-6	3/4	3/4	0						130
130	130	-6	3/4	3/4	0						131
131	131	-6	3/4	3/4	0				line		132
132	132	-6	3/4	3/4	0						133
133	133	-6	3/4	3/4	0						134
134	134	-6	3/4	3/4	0						135
135	135	-6	3/4	3/4	0						136
136	136	-6	3/4	3/4	0				line		137
137	137	-6	3/4	3/4	0						138
138	138	-6	3/4	3/4	0						139
139	139	-6	3/4	3/4	0						140
140	140	-6	3/4	3/4	0						141
141	141	-6	3/4	3/4	0				line		142
142	142	-6	3/4	3/4	0						143
143	143	-6	3/4	3/4	0						144
144	144	-6	3/4	3/4	0						145
145	145	-6	3/4	3/4	0						146
146	146	-6	3/4	3/4	0						147
147	147	-6	3/4	3/4	0						148
148	148	-6	3/4	3/4	0					lastMeasure	-1
