mc	mn	keysig	timesig	act_dur	mc_offset	numbering_offset	dont_count	barline	breaks	repeats	next
1	1	0	4/4	1	0					firstMeasure	2
2	2	0	4/4	1	0						3
3	3	0	4/4	1	0						4
4	4	0	4/4	1	0						5
5	5	0	4/4	1	0						6
6	6	0	2/4	1/2	0						7
7	7	0	6/16	3/8	0						8
8	8	0	6/16	3/8	0						9
9	9	0	6/16	3/8	0						10
10	10	0	6/16	3/8	0			double			11
11	11	0	4/4	1	0						12
12	12	0	4/4	1	0						13
13	13	0	4/4	1	0						14
14	14	0	4/4	1	0				line		15
15	15	0	4/4	1	0						16
16	16	0	4/4	1	0			double			17
17	17	0	6/16	3/8	0						18
18	18	0	6/16	3/8	0						19
19	19	0	6/16	3/8	0						20
20	20	0	6/16	3/8	0						21
21	21	0	3/8	3/8	0						22
22	22	0	3/8	3/8	0						23
23	23	0	3/8	3/8	0						24
24	24	0	3/8	3/8	0						25
25	25	0	3/8	3/8	0						26
26	26	0	3/8	3/8	0						27
27	27	0	12/16	3/4	0				line		28
28	28	0	12/16	3/4	0						29
29	29	0	12/16	3/4	0						30
30	30	0	12/16	3/4	0						31
31	31	0	12/16	3/4	0						32
32	32	0	12/16	3/4	0						33
33	33	0	12/16	3/4	0						34
34	34	0	12/16	3/4	0				line		35
35	35	0	12/16	3/4	0						36
36	36	0	12/16	3/4	0						37
37	37	0	12/16	3/4	0				line		38
38	38	0	12/16	3/4	0						39
39	39	0	12/16	3/4	0						40
40	40	0	12/16	3/4	0						41
41	41	0	12/16	3/4	0						42
42	42	0	12/16	3/4	0						43
43	43	0	12/16	3/4	0				page		44
44	44	0	12/16	3/4	0						45
45	45	0	12/16	3/4	0				line		46
46	46	0	12/16	3/4	0						47
47	47	0	12/16	3/4	0				line		48
48	48	-7	12/16	3/4	0						49
49	49	-7	12/16	3/4	0						50
50	50	-7	12/16	3/4	0				line		51
51	51	-7	12/16	3/4	0						52
52	52	-7	12/16	3/4	0						53
53	53	-7	12/16	3/4	0				line		54
54	54	-7	12/16	3/4	0						55
55	55	-7	12/16	3/4	0				page		56
56	56	0	12/16	3/4	0						57
57	57	0	12/16	3/4	0						58
58	58	0	12/16	3/4	0				line		59
59	59	0	12/16	3/4	0						60
60	60	0	12/16	3/4	0						61
61	61	0	12/16	3/4	0				line		62
62	62	0	12/16	3/4	0						63
63	63	0	12/16	3/4	0						64
64	64	0	12/16	3/4	0						65
65	65	0	12/16	3/4	0						66
66	66	0	12/16	3/4	0						67
67	67	0	12/16	3/4	0						68
68	68	0	12/16	3/4	0						69
69	69	0	12/16	3/4	0						70
70	70	0	12/16	3/4	0				line		71
71	71	0	12/16	3/4	0						72
72	72	0	12/16	3/4	0						73
73	73	0	12/16	3/4	0						74
74	74	0	12/16	3/4	0				line		75
75	75	-4	12/16	3/4	0						76
76	76	-4	12/16	3/4	0						77
77	77	-4	12/16	3/4	0						78
78	78	-4	12/16	3/4	0						79
79	79	-4	12/16	3/4	0						80
80	80	-4	12/16	3/4	0						81
81	81	-4	12/16	3/4	0						82
82	82	-4	12/16	3/4	0						83
83	83	-4	12/16	3/4	0				page		84
84	84	-4	12/16	3/4	0						85
85	85	-4	12/16	3/4	0						86
86	86	-4	12/16	3/4	0						87
87	87	-4	12/16	3/4	0						88
88	88	-4	12/16	3/4	0						89
89	89	-4	12/16	3/4	0			double			90
90	90	0	12/16	3/4	0						91
91	91	0	12/16	3/4	0				line		92
92	92	0	12/16	3/4	0						93
93	93	0	12/16	3/4	0						94
94	94	0	12/16	3/4	0						95
95	95	0	12/16	3/4	0						96
96	96	0	12/16	3/4	0						97
97	97	0	2/4	1/2	0				line		98
98	98	0	2/4	1/2	0						99
99	99	0	2/4	1/2	0						100
100	100	0	2/4	1/2	0						101
101	101	0	2/4	1/2	0						102
102	102	0	2/4	1/2	0						103
103	103	0	2/4	1/2	0						104
104	104	0	2/4	1/2	0						105
105	105	0	2/4	1/2	0						106
106	106	0	2/4	1/2	0						107
107	107	0	2/4	1/2	0						108
108	108	0	2/4	1/2	0						109
109	109	0	2/4	1/2	0						110
110	110	0	2/4	1/2	0						111
111	111	-5	2/4	1/2	0				line		112
112	112	-5	2/4	1/2	0						113
113	113	0	2/4	1/2	0						114
114	114	0	2/4	1/2	0						115
115	115	0	2/4	1/2	0						116
116	116	0	2/4	1/2	0					lastMeasure	-1
