mc	mn	keysig	timesig	act_dur	mc_offset	numbering_offset	dont_count	barline	breaks	repeats	next
1	1	6	3/4	3/4	0				line	firstMeasure	2
2	2	6	3/4	3/4	0				line		3
3	3	6	3/4	3/4	0				page		4
4	4	6	3/4	3/4	0				line		5
5	5	6	3/4	3/4	0				line		6
6	6	6	3/4	3/4	0				line		7
7	7	6	3/4	3/4	0						8
8	8	6	3/4	3/4	0				page		9
9	9	6	3/4	3/4	0						10
10	10	6	3/4	3/4	0				line		11
11	11	6	3/4	3/4	0						12
12	12	6	3/4	3/4	0				line		13
13	13	6	3/4	3/4	0						14
14	14	6	3/4	3/4	0				line		15
15	15	6	3/4	3/4	0						16
16	16	6	3/4	3/4	0						17
17	17	6	3/4	3/4	0				line		18
18	18	6	3/4	3/4	0						19
19	19	6	3/4	3/4	0						20
20	20	6	3/4	3/4	0						21
21	21	6	3/4	3/4	0				page		22
22	22	6	3/4	3/4	0				line		23
23	23	6	3/4	3/4	0				line		24
24	24	6	3/4	3/4	0				line		25
25	25	6	3/4	3/4	0				line		26
26	26	-3	3/4	3/4	0				line		27
27	27	-3	3/4	3/4	0				line		28
28	28	-3	3/4	3/4	0				line		29
29	29	-3	3/4	3/4	0				line		30
30	30	-3	3/4	3/4	0						31
31	31	-3	3/4	3/4	0				page		32
32	32	-3	3/4	3/4	0				line		33
33	33	-3	3/4	3/4	0				line		34
34	34	-3	3/4	3/4	0						35
35	35	-3	3/4	3/4	0				line		36
36	36	-3	3/4	3/4	0						37
37	37	0	3/4	3/4	0				line		38
38	38	0	3/4	3/4	0						39
39	39	0	3/4	3/4	0						40
40	40	0	3/4	3/4	0						41
41	41	0	3/4	3/4	0				page		42
42	42	0	3/4	3/4	0						43
43	43	0	3/4	3/4	0						44
44	44	0	3/4	3/4	0						45
45	45	0	3/4	3/4	0				line		46
46	46	6	3/4	3/4	0						47
47	47	6	3/4	3/4	0				line		48
48	48	6	3/4	3/4	0						49
49	49	6	3/4	3/4	0				page		50
50	50	6	3/4	3/4	0			double			51
51	51	3	3/4	3/4	0				line		52
52	52	3	3/4	3/4	0						53
53	53	3	3/4	3/4	0				line		54
54	54	3	3/4	3/4	0						55
55	55	0	3/4	3/4	0				line		56
56	56	0	3/4	3/4	0						57
57	57	0	3/4	3/4	0				page		58
58	58	0	3/4	3/4	0						59
59	59	0	3/4	3/4	0						60
60	60	0	3/4	3/4	0				line		61
61	61	0	3/4	3/4	0						62
62	62	0	3/4	3/4	0						63
63	63	0	3/4	3/4	0				line		64
64	64	0	3/4	3/4	0						65
65	65	0	3/4	3/4	0						66
66	66	0	3/4	3/4	0						67
67	67	0	3/4	3/4	0						68
68	68	0	3/4	3/4	0						69
69	69	0	3/4	3/4	0				line		70
70	70	0	3/4	3/4	0						71
71	71	0	3/4	3/4	0				page		72
72	72	-3	3/4	3/4	0				line		73
73	73	-3	3/4	3/4	0				line		74
74	74	-3	3/4	3/4	0						75
75	75	-3	3/4	3/4	0				line		76
76	76	-3	3/4	3/4	0				line		77
77	77	-3	3/4	3/4	0				page		78
78	78	0	3/4	3/4	0						79
79	79	0	3/4	3/4	0				line		80
80	80	0	3/4	3/4	0						81
81	81	0	3/4	3/4	0				line		82
82	82	0	3/4	3/4	0						83
83	83	0	3/4	3/4	0				line		84
84	84	0	3/4	3/4	0				line		85
85	85	0	3/4	3/4	0				page		86
86	86	6	3/4	3/4	0						87
87	87	6	3/4	3/4	0				line		88
88	88	6	3/4	3/4	0				line		89
89	89	6	3/4	3/4	0				line		90
90	90	6	3/4	3/4	0				line		91
91	91	6	3/4	3/4	0				line		92
92	92	6	3/4	3/4	0				line		93
93	93	6	3/4	3/4	0				line		94
94	94	6	3/4	1/2	0			dotted			95
95	94	6	3/4	1/2	1/4	-1		dotted	page		96
96	94	6	3/4	1/2	0	-1		dotted			97
97	94	6	3/4	1/2	1/4	-1		dotted	line		98
98	94	6	3/4	3/4	0	-1		dotted			99
99	95	6	3/4	3/8	0						100
100	94	6	3/4	3/8	3/8	-2		dotted			101
101	94	6	3/4	3/8	0	-1		dotted			102
102	94	6	3/4	3/8	3/8	-1		dotted	line		103
103	94	6	3/4	3/8	0	-1					104
104	95	6	3/4	3/4	0				line		105
105	96	6	3/4	3/4	0						106
106	97	6	3/4	3/4	0					lastMeasure	-1
