mc	mn	keysig	timesig	act_dur	mc_offset	numbering_offset	dont_count	barline	breaks	repeats	next
1	1	6	6/8	3/4	0					firstMeasure	2
2	2	6	6/8	3/4	0				line		3
3	3	6	6/8	3/4	0						4
4	4	6	6/8	3/4	0				line		5
5	5	6	6/8	3/4	0						6
6	6	6	6/8	3/4	0				page		7
7	7	6	6/8	3/4	0						8
8	8	6	6/8	3/4	0			double			9
9	9	-2	3/8	3/8	0			double	line		10
10	10	-2	6/8	3/4	0						11
11	11	-2	6/8	3/4	0				line		12
12	12	-2	6/8	3/4	0			double			13
13	13	6	6/8	3/4	0						14
14	14	6	6/8	3/4	0			double	page		15
15	15	6	3/8	3/8	0			double			16
16	16	6	6/8	3/4	0						17
17	17	6	6/8	3/4	0				line		18
18	18	6	6/8	3/4	0						19
19	19	6	6/8	3/4	0			double	line		20
20	20	6	9/8	9/8	0			double			21
21	21	6	6/8	3/4	0				page		22
22	22	6	6/8	3/4	0						23
23	23	6	6/8	3/4	0						24
24	24	6	6/8	3/4	0				line		25
25	25	-3	6/8	3/4	0						26
26	26	-3	6/8	3/4	0						27
27	27	-3	6/8	3/4	0				line		28
28	28	0	6/8	3/4	0						29
29	29	0	6/8	3/4	0						30
30	30	0	6/8	3/4	0				page		31
31	31	0	6/8	3/4	0			double			32
32	32	6	6/8	13/16	0				line		33
33	33	6	6/8	13/16	0						34
34	34	6	6/8	3/4	0				line		35
35	35	6	6/8	3/4	0						36
36	36	6	6/8	3/4	0				page		37
37	37	6	6/8	3/4	0						38
38	38	6	6/8	3/4	0				line		39
39	39	6	6/8	3/4	0						40
40	40	6	6/8	3/4	0						41
41	41	6	6/8	3/4	0				line		42
42	42	6	6/8	3/4	0						43
43	43	6	6/8	3/4	0						44
44	44	6	6/8	3/4	0						45
45	45	6	6/8	3/4	0					lastMeasure	-1
