mc	mn	keysig	timesig	act_dur	mc_offset	numbering_offset	dont_count	barline	breaks	repeats	next
1	1	4	3/8	3/8	0					firstMeasure	2
2	2	4	3/8	3/8	0						3
3	3	4	3/8	3/8	0						4
4	4	4	3/8	3/8	0						5
5	5	4	3/8	3/8	0				line		6
6	6	4	3/8	3/8	0						7
7	7	4	3/8	3/8	0						8
8	8	4	3/8	3/8	0						9
9	9	4	3/8	3/8	0						10
10	10	4	3/8	3/8	0				line		11
11	11	0	3/8	3/8	0						12
12	12	0	3/8	3/8	0						13
13	13	4	3/8	3/8	0						14
14	14	4	3/8	3/8	0						15
15	15	0	3/8	3/8	0				line		16
16	16	0	3/8	3/8	0						17
17	17	0	3/8	3/8	0						18
18	18	0	3/8	3/8	0						19
19	19	0	3/8	3/8	0						20
20	20	0	3/8	3/8	0				page		21
21	21	4	3/8	3/8	0						22
22	22	4	3/8	3/8	0						23
23	23	-3	3/8	3/8	0						24
24	24	-3	3/8	3/8	0				line		25
25	25	-3	3/8	3/8	0						26
26	26	-3	3/8	3/8	0						27
27	27	-3	3/8	3/8	0						28
28	28	-3	3/8	3/8	0				line		29
29	29	0	3/8	3/8	0						30
30	30	0	3/8	3/8	0						31
31	31	0	3/8	3/8	0						32
32	32	0	3/8	3/8	0				line		33
33	33	-3	3/8	3/8	0						34
34	34	-3	3/8	3/8	0						35
35	35	-3	3/8	3/8	0						36
36	36	-3	3/8	3/8	0				line		37
37	37	-3	3/8	3/8	0						38
38	38	-3	3/8	3/8	0						39
39	39	-3	3/8	3/8	0						40
40	40	-3	3/8	3/8	0				page		41
41	41	-3	3/8	3/8	0						42
42	42	-3	3/8	3/8	0						43
43	43	-3	3/8	3/8	0						44
44	44	-3	3/8	3/8	0				line		45
45	45	-3	3/8	3/8	0						46
46	46	-3	3/8	3/8	0						47
47	47	-3	3/8	3/8	0						48
48	48	-3	3/8	3/8	0			double	line		49
49	49	-5	3/8	3/8	0						50
50	50	-5	3/8	3/8	0						51
51	51	-5	3/8	3/8	0				line		52
52	52	-5	3/8	3/8	0						53
53	53	-5	3/8	3/8	0						54
54	54	-5	3/8	3/8	0						55
55	55	-5	3/8	3/8	0				line		56
56	56	-5	3/8	3/8	0						57
57	57	-5	3/8	3/8	0						58
58	58	-5	3/8	3/8	0				page		59
59	59	4	3/8	3/8	0						60
60	60	4	3/8	3/8	0						61
61	61	4	3/8	3/8	0				line		62
62	62	4	3/8	3/8	0						63
63	63	4	3/8	3/8	0						64
64	64	4	3/8	3/8	0				line		65
65	65	4	3/8	3/8	0						66
66	66	4	3/8	3/8	0						67
67	67	4	3/8	3/8	0				line		68
68	68	-5	3/8	3/8	0						69
69	69	-5	3/8	3/8	0						70
70	70	-5	3/8	3/8	0						71
71	71	-5	3/8	3/8	0				line		72
72	72	-5	3/8	3/8	0						73
73	73	-5	3/8	3/8	0						74
74	74	-5	3/8	3/8	0				page		75
75	75	-5	3/8	3/8	0						76
76	76	-5	3/8	3/8	0						77
77	77	-5	3/8	3/8	0				line		78
78	78	-5	3/8	3/8	0						79
79	79	-5	3/8	3/8	0						80
80	80	-5	3/8	3/8	0				line		81
81	81	-5	3/8	3/8	0						82
82	82	-5	3/8	3/8	0			double			83
83	83	4	3/8	3/8	0						84
84	84	4	3/8	3/8	0				line		85
85	85	4	3/8	3/8	0						86
86	86	4	3/8	3/8	0						87
87	87	4	3/8	3/8	0						88
88	88	4	3/8	3/8	0						89
89	89	4	3/8	3/8	0				line		90
90	90	4	3/8	3/8	0						91
91	91	4	3/8	3/8	0						92
92	92	4	3/8	3/8	0						93
93	93	-4	3/8	3/8	0						94
94	94	-4	3/8	3/8	0				page		95
95	95	0	3/8	3/8	0						96
96	96	0	3/8	3/8	0						97
97	97	0	3/8	3/8	0						98
98	98	0	3/8	3/8	0						99
99	99	0	3/8	3/8	0				line		100
100	100	0	3/8	3/8	0						101
101	101	0	3/8	3/8	0						102
102	102	0	3/8	3/8	0						103
103	103	0	3/8	3/8	0						104
104	104	0	3/8	3/8	0				line		105
105	105	0	3/8	3/8	0						106
106	106	0	3/8	3/8	0						107
107	107	0	3/8	3/8	0						108
108	108	0	3/8	3/8	0			double			109
109	109	4	3/8	3/8	0				line		110
110	110	4	3/8	3/8	0						111
111	111	4	3/8	3/8	0						112
112	112	4	3/8	3/8	0						113
113	113	4	3/8	3/8	0						114
114	114	4	3/8	3/8	0			double			115
115	115	0	3/8	3/8	0				line		116
116	116	0	3/8	3/8	0						117
117	117	0	3/8	3/8	0						118
118	118	0	3/8	3/8	0						119
119	119	4	3/8	3/8	0						120
120	120	4	3/8	3/8	0						121
121	121	4	3/8	3/8	0					lastMeasure	-1
