mc	mn	keysig	timesig	act_dur	mc_offset	numbering_offset	dont_count	barline	breaks	repeats	next
1	1	-2	3/4	3/4	0					firstMeasure	2
2	2	-2	3/4	3/4	0						3
3	3	-2	3/4	3/4	0				line		4
4	4	-2	3/4	1	0						5
5	5	-2	3/4	3/4	0			double			6
6	6	-2	3/4	3/4	0				line		7
7	7	-2	3/4	3/4	0						8
8	8	-2	3/4	3/4	0						9
9	9	-2	3/4	1	0				line		10
10	10	-2	3/4	1	0			double			11
11	11	-2	3/4	3/4	0						12
12	12	-2	3/4	3/4	0				page		13
13	13	-2	3/4	3/4	0						14
14	14	-2	3/4	3/4	0						15
15	15	-2	3/4	3/4	0			double	line		16
16	16	-2	3/4	1	0			double			17
17	17	-2	3/4	3/4	0						18
18	18	-2	3/4	3/4	0				line		19
19	19	-2	3/4	3/4	0						20
20	20	-2	3/4	3/4	0						21
21	21	-2	3/4	3/4	0						22
22	22	-2	3/4	3/4	0				line		23
23	23	-2	3/4	3/4	0						24
24	24	-2	3/4	3/4	0						25
25	25	-2	3/4	3/4	0						26
26	26	-2	3/4	3/4	0				line		27
27	27	-2	3/4	3/4	0						28
28	28	-2	3/4	3/4	0						29
29	29	-2	3/4	3/4	0						30
30	30	-2	3/4	3/4	0						31
31	31	-2	3/4	3/4	0			end		lastMeasure	-1
