mc	mn	keysig	timesig	act_dur	mc_offset	numbering_offset	dont_count	barline	breaks	repeats	next
1	1	-1	4/8	1/2	0					firstMeasure	2
2	2	-1	4/8	1/2	0				line		3
3	3	-1	4/8	1/2	0						4
4	4	-1	4/8	1/2	0				line		5
5	5	-1	4/8	1/2	0						6
6	6	-1	4/8	1/2	0				line		7
7	7	-1	4/8	1/2	0						8
8	8	-1	4/8	1/2	0				page		9
9	9	-1	4/8	1/2	0						10
10	10	-1	4/8	1/2	0						11
11	11	-1	4/8	1/2	0						12
12	12	-1	4/8	1/2	0						13
13	13	-1	4/8	1/2	0						14
14	14	-1	4/8	1/2	0						15
15	15	-1	4/8	1/2	0						16
16	16	-1	4/8	1/2	0				page		17
17	17	-1	4/8	1/2	0						18
18	18	-1	4/8	1/2	0						19
19	19	-1	4/8	1/2	0						20
20	20	-1	4/8	1/2	0				line		21
21	21	-1	4/8	1/2	0						22
22	22	-1	4/8	1/2	0				line		23
23	23	-1	4/8	1/2	0						24
24	24	-1	4/8	1/2	0				line		25
25	25	-1	4/8	1/2	0						26
26	26	-1	4/8	1/2	0				page		27
27	27	-1	4/8	1/2	0						28
28	28	-1	4/8	1/2	0				line		29
29	29	-1	4/8	1/2	0						30
30	30	-1	2/8	1/4	0				line		31
31	31	-1	4/8	1/2	0						32
32	32	-1	3/8	3/8	0				line		33
33	33	-1	4/8	1/2	0				line		34
34	34	-1	4/8	1/2	0				line		35
35	35	-1	4/8	1/2	0						36
36	36	-1	4/8	1/2	0				line		37
37	37	-1	4/8	1/2	0				line		38
38	38	-1	6/8	3/4	0				line		39
39	39	-1	4/8	1/2	0				line		40
40	40	-1	4/8	1/2	0			double	line		41
41	41	-5	4/8	1/2	0						42
42	42	-5	4/8	1/2	0				line		43
43	43	-5	4/8	1/2	0						44
44	44	-5	2/8	1/4	0				line		45
45	45	-5	4/8	1/2	0						46
46	46	-5	4/8	1/2	0				line		47
47	47	0	4/8	1/2	0						48
48	48	0	4/8	1/2	0				line		49
49	49	0	4/8	1/2	0						50
50	50	0	4/8	1/2	0						51
51	51	0	4/8	1/2	0				line		52
52	52	0	4/8	1/2	0						53
53	53	0	4/8	1/2	0						54
54	54	0	4/8	1/2	0				line		55
55	55	0	4/8	1/2	0						56
56	56	0	4/8	1/2	0				line		57
57	57	3	4/8	1/2	0						58
58	58	3	4/8	1/2	0				line		59
59	59	3	4/8	1/2	0				line		60
60	60	3	4/8	1/2	0				line		61
61	61	0	4/8	1/2	0						62
62	62	0	4/8	1/2	0				line		63
63	63	0	4/8	1/2	0						64
64	64	0	4/8	1/2	0				line		65
65	65	6	4/8	1/2	0						66
66	66	6	4/8	1/2	0				line		67
67	67	6	4/8	1/2	0						68
68	68	0	4/4	1	0				line		69
69	69	0	5/4	11/8	0				line		70
70	70	6	4/8	1/2	0						71
71	71	6	4/8	1/2	0				line		72
72	72	6	4/8	1/2	0			double			73
73	73	0	4/8	1/2	0				line		74
74	74	0	4/8	1/2	0						75
75	75	0	4/8	1/2	0						76
76	76	0	4/8	1/2	0				line		77
77	77	0	4/8	1/2	0						78
78	78	0	4/8	1/2	0						79
79	79	0	4/8	1/2	0				line		80
80	80	0	4/8	1/2	0			double			81
81	81	-1	4/8	1/2	0				line		82
82	82	-1	4/8	1/2	0						83
83	83	-1	4/8	1/2	0				line		84
84	84	-1	4/8	1/2	0						85
85	85	-1	4/8	1/2	0				line		86
86	86	-1	4/8	1/2	0						87
87	87	-1	6/8	3/4	0						88
88	88	-1	6/8	3/4	0				line		89
89	89	0	4/8	9/16	0				line		90
90	90	0	4/8	1/2	0						91
91	91	0	4/8	1/2	0						92
92	92	0	4/8	1/2	0						93
93	93	0	4/8	1/2	0						94
94	94	0	4/8	1/2	0				line		95
95	95	0	4/8	1/2	0						96
96	96	0	4/8	1/2	0						97
97	97	0	4/8	1/2	0						98
98	98	0	4/8	1/2	0						99
99	99	0	4/8	1/2	0						100
100	100	0	4/8	1/2	0					lastMeasure	-1
