mc	mn	keysig	timesig	act_dur	mc_offset	numbering_offset	dont_count	barline	breaks	repeats	next
1	1	-5	4/4	1	0					firstMeasure	2
2	2	-5	4/4	1/2	0				line		3
3	2	-5	4/4	1/2	1/2		1				4
4	3	-5	4/4	1	0				line		5
5	4	-5	4/4	1	0						6
6	5	-5	4/4	1	0				line		7
7	6	-5	4/4	1	0						8
8	7	-5	4/4	1	0				line		9
9	8	0	4/4	1	0						10
10	9	0	4/4	1	0				page		11
11	10	0	4/4	1	0						12
12	11	0	4/4	1	0				line		13
13	12	0	4/4	1	0						14
14	13	-5	4/4	1	0				line		15
15	14	-5	4/4	1	0			double			16
16	15	-5	4/4	1	0				line		17
17	16	-5	4/4	1	0						18
18	17	-5	4/4	1	0						19
19	18	-5	4/4	1/2	0				line		20
20	18	-5	4/4	1/2	1/2		1				21
21	19	-5	4/4	1	0						22
22	20	-5	4/4	1	0				page		23
23	21	-5	4/4	1	0						24
24	22	-5	4/4	1	0						25
25	23	-5	4/4	1/2	0				line		26
26	23	-5	4/4	1/2	1/2		1				27
27	24	-5	4/4	1	0						28
28	25	-5	4/4	1	0				line		29
29	26	-5	4/4	1	0						30
30	27	-5	4/4	1	0				line		31
31	28	4	4/4	1	0						32
32	29	4	4/4	1	0				line		33
33	30	4	4/4	1	0						34
34	31	4	4/4	1	0			double	page		35
35	32	-5	4/4	1	0						36
36	33	-5	4/4	1	0						37
37	34	-5	4/4	1/2	0				line		38
38	34	-5	4/4	1/2	1/2		1				39
39	35	-5	4/4	1	0						40
40	36	-5	4/4	1	0				line		41
41	37	-5	4/4	1	0						42
42	38	0	4/4	1	0				line		43
43	39	0	4/4	1	0						44
44	40	0	4/4	1	0				line		45
45	41	0	4/4	1	0						46
46	42	0	4/4	1	0				page		47
47	43	0	4/4	1	0						48
48	44	0	4/4	1	0				line		49
49	45	-5	4/4	1	0						50
50	46	-5	4/4	1	0				line		51
51	47	-5	4/4	1	0						52
52	48	-5	4/4	1	0				line		53
53	49	-5	4/4	1	0						54
54	50	-5	4/4	1	0				line		55
55	51	-5	4/4	1	0						56
56	52	-5	4/4	1	0				page		57
57	53	0	4/4	1	0						58
58	54	0	4/4	1	0				line		59
59	55	0	4/4	1	0						60
60	56	0	4/4	1	0				line		61
61	57	0	4/4	1	0						62
62	58	0	4/4	1	0				line		63
63	59	-5	4/4	1	0						64
64	60	-5	4/4	1	0				line		65
65	61	-5	4/4	1	0						66
66	62	-5	4/4	1	0				page		67
67	63	-5	4/4	1	0						68
68	64	-5	4/4	1	0				line		69
69	65	-5	4/4	1	0						70
70	66	-5	4/4	1	0						71
71	67	-5	4/4	1	0				line		72
72	68	-5	4/4	1	0						73
73	69	-5	4/4	1	0						74
74	70	-5	4/4	1	0				line		75
75	71	-5	4/4	1	0						76
76	72	-5	4/4	1	0						77
77	73	-5	4/4	1	0						78
78	74	-5	4/4	1	0						79
79	75	-5	4/4	1	0						80
80	76	-5	4/4	1	0					lastMeasure	-1
