mc	mn	keysig	timesig	act_dur	mc_offset	numbering_offset	dont_count	barline	breaks	repeats	next
1	1	-6	3/4	3/4	0					firstMeasure	2
2	2	-6	2/4	1/2	0						3
3	3	-6	2/4	1/2	0						4
4	4	-6	3/4	3/4	0				line		5
5	5	-6	2/4	1/2	0						6
6	6	-6	2/4	1/2	0				line		7
7	7	-6	2/4	1/2	0						8
8	8	-6	2/4	1/2	0				line		9
9	9	-6	2/4	1/2	0						10
10	10	-6	2/4	1/2	0				page		11
11	11	-6	2/4	1/2	0						12
12	12	-6	2/4	1/2	0			double	line		13
13	13	-3	2/4	1/2	0						14
14	14	-3	2/4	1/2	0						15
15	15	-3	2/4	1/2	0				line		16
16	16	-3	2/4	1/2	0						17
17	17	-3	2/4	1/2	0						18
18	18	-3	2/4	1/2	0				line		19
19	19	-3	2/4	1/2	0						20
20	20	-3	2/4	1/2	0						21
21	21	-3	2/4	1/2	0				line		22
22	22	-3	2/4	1/2	0						23
23	23	-3	2/4	1/2	0						24
24	24	-3	2/4	1/2	0				page		25
25	25	-3	2/4	1/2	0						26
26	26	-3	2/4	1/2	0						27
27	27	-3	2/4	1/2	0				line		28
28	28	-3	2/4	1/2	0						29
29	29	0	2/4	1/2	0				line		30
30	30	0	2/4	1/2	0						31
31	31	0	2/4	1/2	0				line		32
32	32	0	2/4	1/2	0			double			33
33	33	-6	2/4	1/2	0				line		34
34	34	-6	2/4	1/2	0				page		35
35	35	-6	2/4	1/2	0						36
36	36	-6	2/4	1/2	0				line		37
37	37	-6	2/4	1/2	0						38
38	38	-6	2/4	1/2	0				line		39
39	39	-6	2/4	1/2	0						40
40	40	-6	2/4	1/4	0				line		41
41	40	-6	2/4	1/4	1/4		1				42
42	41	-6	2/4	1/2	0			double	line		43
43	42	-6	3/4	3/4	0						44
44	43	-6	2/4	1/2	0				page		45
45	44	-6	2/4	1/2	0						46
46	45	-6	3/4	3/4	0				line		47
47	46	-6	2/4	1/2	0						48
48	47	-6	2/4	1/2	0				line		49
49	48	-6	2/4	1/2	0						50
50	49	-6	2/4	1/2	0						51
51	50	-6	2/4	1/2	0						52
52	51	-6	2/4	1/2	0						53
53	52	-6	2/4	1/2	0						54
54	53	-6	2/4	1/2	0				page		55
55	54	-6	3/4	3/4	0				line		56
56	55	-6	3/4	3/4	0				line		57
57	56	-6	3/4	3/4	0				line		58
58	57	-6	3/4	3/4	0				line		59
59	58	-6	3/4	3/4	0				page		60
60	59	-6	3/4	3/4	0				line		61
61	60	-6	2/4	1/2	0						62
62	61	-6	2/4	1/2	0				line		63
63	62	-6	2/4	1/2	0						64
64	63	-6	2/4	1/2	0				line		65
65	64	-6	2/4	1/2	0						66
66	65	-6	2/4	1/2	0				line		67
67	66	-6	2/4	1/2	0						68
68	67	-6	2/4	1/2	0						69
69	68	-6	2/4	1/2	0					lastMeasure	-1
