mc	mn	keysig	timesig	act_dur	mc_offset	numbering_offset	dont_count	barline	breaks	repeats	next
1	1	2	6/8	3/4	0					firstMeasure	2
2	2	2	9/8	9/8	0						3
3	3	2	6/8	3/4	0						4
4	4	2	6/8	3/4	0				line		5
5	5	2	6/8	3/4	0						6
6	6	2	6/8	3/4	0						7
7	7	2	6/8	3/4	0				line		8
8	8	2	6/8	3/4	0						9
9	9	2	6/8	3/4	0						10
10	10	2	6/8	3/4	0			double	page		11
11	11	2	6/8	3/4	0						12
12	12	2	6/8	3/4	0				line		13
13	13	2	6/8	3/4	0						14
14	14	2	6/8	3/4	0				line		15
15	15	2	6/8	3/4	0						16
16	16	2	6/8	3/4	0						17
17	17	2	6/8	3/4	0				line		18
18	18	2	6/8	3/4	0						19
19	19	2	6/8	3/4	0				page		20
20	20	2	6/8	3/4	0						21
21	21	2	6/8	3/4	0						22
22	22	2	6/8	3/4	0				line		23
23	23	2	6/8	3/4	0						24
24	24	2	6/8	3/4	0						25
25	25	2	6/8	3/4	0				line		26
26	26	2	6/8	3/4	0						27
27	27	2	6/8	3/4	0						28
28	28	2	6/8	3/4	0				line		29
29	29	2	6/8	3/4	0						30
30	30	2	6/8	3/4	0						31
31	31	2	6/8	3/4	0				page		32
32	32	-3	6/8	3/4	0						33
33	33	-3	6/8	3/4	0						34
34	34	-3	6/8	3/4	0				line		35
35	35	-3	6/8	3/4	0						36
36	36	-3	6/8	3/4	0						37
37	37	-3	6/8	3/4	0				line		38
38	38	-3	6/8	3/4	0						39
39	39	-3	6/8	3/4	0						40
40	40	-3	6/8	3/4	0				line		41
41	41	-3	6/8	3/4	0						42
42	42	-3	6/8	3/4	0						43
43	43	-3	6/8	3/4	0				line		44
44	44	5	6/8	3/4	0						45
45	45	5	6/8	3/4	0				line		46
46	46	5	6/8	3/4	0						47
47	47	5	9/8	9/8	0				line		48
48	48	5	6/8	3/4	0						49
49	49	5	6/8	3/4	0				line		50
50	50	5	6/8	3/4	0						51
51	51	5	6/8	3/4	0				page		52
52	52	5	6/8	3/4	0						53
53	53	5	6/8	3/4	0				line		54
54	54	2	6/8	3/4	0						55
55	55	2	6/8	3/4	0						56
56	56	2	6/8	3/4	0				line		57
57	57	2	6/8	3/4	0						58
58	58	2	6/8	3/4	0						59
59	59	2	6/8	3/4	0				line		60
60	60	2	6/8	3/4	0						61
61	61	2	6/8	3/4	0						62
62	62	2	6/8	3/4	0				page		63
63	63	2	6/8	3/4	0						64
64	64	2	6/8	3/4	0				line		65
65	65	2	6/8	3/4	0						66
66	66	2	6/8	3/4	0						67
67	67	2	6/8	3/4	0				line		68
68	68	2	6/8	3/4	0						69
69	69	2	6/8	3/4	0						70
70	70	2	6/8	3/4	0				line		71
71	71	2	6/8	3/4	0						72
72	72	2	6/8	3/4	0						73
73	73	2	6/8	3/4	0						74
74	74	2	6/8	3/4	0					lastMeasure	-1
