mc	mn	keysig	timesig	act_dur	mc_offset	numbering_offset	dont_count	barline	breaks	repeats	next
1	1	-1	6/8	3/4	0					firstMeasure	2
2	2	-1	6/8	3/8	0				line		3
3	2	-1	6/8	3/8	3/8		1				4
4	3	-1	6/8	3/4	0				line		5
5	4	-1	6/8	3/4	0						6
6	5	-1	6/8	3/4	0				line		7
7	6	-1	6/8	3/4	0			double			8
8	7	-1	6/8	1/2	0				line		9
9	8	-1	6/8	1/2	1/4				page		10
10	9	-6	6/8	3/4	0						11
11	10	-6	6/8	3/4	0				line		12
12	11	-1	6/8	3/4	0			double			13
13	12	0	6/8	3/8	0				line		14
14	12	0	6/8	3/8	3/8		1				15
15	13	0	6/8	3/4	0				line		16
16	14	0	6/8	3/4	0						17
17	15	0	6/8	3/8	0				line		18
18	15	0	6/8	3/8	3/8		1				19
19	16	0	6/8	3/4	0			double	page		20
20	17	3	6/8	3/4	0						21
21	18	3	6/8	3/8	0				line		22
22	18	3	6/8	3/8	3/8		1				23
23	19	3	6/8	3/4	0						24
24	20	3	6/8	3/4	0						25
25	21	3	6/8	3/8	0				line		26
26	21	3	6/8	3/8	3/8		1	double			27
27	22	0	6/8	3/4	0				line		28
28	23	0	6/8	3/8	0						29
29	24	0	6/8	3/4	0				page		30
30	25	0	6/8	3/4	0						31
31	26	0	6/8	3/4	0				line		32
32	27	3	6/8	3/4	0						33
33	28	3	6/8	3/4	0				line		34
34	29	3	6/8	3/4	0			double			35
35	30	0	6/8	3/8	0				line		36
36	30	0	6/8	3/8	3/8		1				37
37	31	0	6/8	3/8	0				line		38
38	31	0	6/8	3/8	3/8		1				39
39	32	0	6/8	3/4	0			double	page		40
40	33	5	6/8	3/4	0				line		41
41	34	5	6/8	3/4	0				line		42
42	35	5	6/8	5/8	0				line		43
43	36	-4	6/8	5/8	1/8				line		44
44	37	-4	6/8	3/4	0				page		45
45	38	-4	6/8	3/4	0				line		46
46	39	4	6/8	3/4	0				line		47
47	40	4	6/8	3/8	0						48
48	41	4	6/8	3/4	0			double			49
49	42	-1	6/8	3/4	0				line		50
50	43	-1	6/8	3/4	0						51
51	44	-1	6/8	3/8	0				line		52
52	44	-1	6/8	3/8	3/8		1				53
53	45	-1	6/8	3/4	0						54
54	46	-1	6/8	3/4	0				page		55
55	47	-1	6/8	3/4	0			double			56
56	48	-1	6/8	1/2	0				line		57
57	49	-1	6/8	1/2	1/4			double	line		58
58	50	-1	6/8	3/8	0				line		59
59	50	-1	6/8	3/8	3/8	-1			line		60
60	51	-1	6/8	3/4	0						61
61	52	-1	6/8	3/4	0						62
62	53	-1	6/8	3/4	0					lastMeasure	-1
