mc	mn	keysig	timesig	act_dur	mc_offset	numbering_offset	dont_count	barline	breaks	repeats	next
1	1	4	9/8	9/8	0					firstMeasure	2
2	2	4	9/8	9/8	0						3
3	3	4	9/8	9/8	0						4
4	4	4	9/8	9/8	0						5
5	5	4	9/8	9/8	0						6
6	6	4	9/8	9/8	0			double	line		7
7	7	0	9/8	9/8	0						8
8	8	0	9/8	9/8	0						9
9	9	0	9/8	9/8	0						10
10	10	0	9/8	9/8	0				line		11
11	11	0	9/8	9/8	0						12
12	12	0	9/8	9/8	0						13
13	13	0	9/8	9/8	0						14
14	14	0	9/8	9/8	0				page		15
15	15	4	3/4	3/4	0						16
16	16	4	3/4	3/4	0						17
17	17	4	3/4	3/4	0						18
18	18	4	3/4	3/4	0						19
19	19	4	3/4	3/4	0				line		20
20	20	4	3/4	3/4	0						21
21	21	4	3/4	3/4	0						22
22	22	4	3/4	3/4	0						23
23	23	4	3/4	3/4	0						24
24	24	4	3/4	3/4	0				line		25
25	25	4	3/4	3/4	0						26
26	26	4	3/4	3/4	0						27
27	27	4	3/4	3/4	0						28
28	28	4	3/4	3/4	0						29
29	29	4	3/4	3/4	0				line		30
30	30	4	3/4	3/4	0			double			31
31	31	4	3/4	3/4	0						32
32	32	4	3/4	3/4	0						33
33	33	4	3/4	3/4	0				line		34
34	34	4	3/4	3/4	0						35
35	35	4	3/4	3/4	0						36
36	36	4	3/4	3/4	0						37
37	37	4	3/4	3/4	0				page		38
38	38	7	9/8	9/8	0						39
39	39	7	9/8	9/8	0						40
40	40	7	9/8	9/8	0						41
41	41	7	9/8	9/8	0						42
42	42	7	9/8	9/8	0				line		43
43	43	7	9/8	9/8	0						44
44	44	7	9/8	9/8	0						45
45	45	7	9/8	9/8	0				line		46
46	46	7	9/8	9/8	0						47
47	47	7	9/8	9/8	0						48
48	48	7	9/8	9/8	0				line		49
49	49	7	9/8	9/8	0						50
50	50	7	9/8	9/8	0						51
51	51	7	9/8	9/8	0						52
52	52	7	9/8	9/8	0				page		53
53	53	7	9/8	9/8	0						54
54	54	7	9/8	9/8	0						55
55	55	7	9/8	9/8	0						56
56	56	7	9/8	9/8	0				line		57
57	57	7	9/8	9/8	0						58
58	58	7	9/8	9/8	0			double			59
59	59	4	3/4	3/4	0						60
60	60	4	3/4	3/4	0				line		61
61	61	4	3/4	3/4	0						62
62	62	4	3/4	3/4	0			double			63
63	63	4	3/4	3/4	0				line		64
64	64	4	3/4	3/4	0						65
65	65	4	3/4	3/4	0						66
66	66	4	3/4	3/4	0						67
67	67	4	3/4	3/4	0						68
68	68	4	3/4	3/4	0				line		69
69	69	4	3/4	3/4	0						70
70	70	4	3/4	3/4	0						71
71	71	4	3/4	3/4	0						72
72	72	4	3/4	3/4	0						73
73	73	4	3/4	3/4	0						74
74	74	4	3/4	3/4	0						75
75	75	4	3/4	3/4	0					lastMeasure	-1
