last_mc	last_mn	KeySig	TimeSig	label_count	composer	workTitle	movementNumber	movementTitle	workNumber	poet	lyricist	arranger	copyright	creationDate	mscVersion	platform	source	translator	musescore	ambitus	composed_end	composed_start	fnames	originalFormat	pdf	rel_paths	staff_1_ambitus	staff_1_instrument	staff_2_ambitus	staff_2_instrument	staff_3_ambitus	staff_3_instrument	transcriber	typesetter
333	333	1: 4, 96: -3, 112: 4, 179: 1, 271: 4	1: 6/8, 325: 3/4, 329: 6/8	0									Domaine Public J. Jobert 1923 (J.J. 209)	2022-01-26	3.02	Linux	https://musescore.com/user/56409/scores/263276#comments		3.6.2	28-95 (E1-B6)	1890	1890	l069_tarentelle			MS3	51-95 (Eb3-B6)	Piano	28-87 (E1-D#6)	Piano				https://musescore.com/user/56409
105	105	1: -1, 63: 4, 86: 0, 88: -1	1: 4/4	0	CRAUDE DEBUSSY	Ballade								2019-10-23	3.02	Microsoft Windows	http://musescore.com/user/3797871/scores/5825949		3.6.2	29-93 (F1-A6)	1890	1890	l070_ballade			MS3	40-93 (E2-A6)	Piano	29-88 (F1-E6)	Piano				https://musescore.com/user/3797871
151	151	1: -4, 119: -1	1: 3/4	0	Claude Debussy	Valse romantique								2019-08-31	3.02	Apple Macintosh	http://musescore.com/user/4887176/scores/5696215		3.6.2	25-93 (Db1-A6)	1890	1890	l071_valse			MS3	50-93 (D3-A6)	Piano	25-88 (Db1-E6)	Piano				https://musescore.com/user/4887176
77	77	1: -5, 28: 3, 32: -1, 55: -5	1: 4/4, 32: 7/4, 47: 4/4	0	Claude Debussy	Nocturne 								2018-09-08	3.02	Microsoft Windows	http://musescore.com/user/22164946/scores/6672848		3.6.2	24-93 (C1-Bbb6)	1892	1892	l082_nocturne			MS3	45-93 (A2-Bbb6)	Pianinas	24-85 (C1-Db6)	Pianinas				https://musescore.com/justisb
57	57	1: 3, 32: 6	1: 3/4, 21: 4/4, 22: 3/4	0	C. Debussy	1							Public Domain	2021-02-23		Microsoft Windows	http://musescore.com/user/27291303/scores/6630747		3.6.2	26-97 (D1-C#7)	1894	1894	l087-01_images_lent		https://imslp.org/wiki/Special:ReverseLookup/276950	MS3	48-97 (B#2-C#7)	Piano	26-90 (D1-F#6)	Piano				https://musescore.com/user/27291303
163	163	1: 0	1: 3/4	0										2017-07-07	3.02	Microsoft Windows	https://musescore.com/user/2410551/scores/5066906		3.6.2	21-92 (A0-Ab6)	1901	1901	l095-01_pour_prelude			MS3	38-92 (D2-Ab6)	Piano	21-86 (A0-D6)	Piano				https://musescore.com/user/2410551
72	72	1: 4	1: 3/4	0	C.Debussy	Sarabande								2018-02-01	3.02	Microsoft Windows	https://musescore.com/user/3797871/scores/5451653		3.6.2	25-88 (C#1-E6)	1894	1894	l095-02_pour_sarabande			MS3	44-88 (G#2-E6)	Piano	25-83 (C#1-B5)	Piano				https://musescore.com/user/3797871
266	266	1: 4, 78: 0, 198: 7, 206: 4, 228: 7	1: 2/4	0	Claude Debussy	Pour le piano							PD	2021-06-24		Microsoft Windows	http://musescore.com/user/34296022/scores/6843948		3.6.2	25-93 (C#1-A6)	1901	1901	l095-03_pour_toccata			MS3	40-93 (E2-A6)	Piano	25-84 (C#1-C6)	Piano				https://musescore.com/mil_not_sniw
98	98	1: 5	1: 4/4, 92: 2/4, 93: 4/4, 94: 2/4, 95: 4/4	0	Claude DEBUSSY									2020-11-14	3.02	Microsoft Windows	http://musescore.com/user/2749876/scores/7325573		3.6.2	23-99 (B0-D#7)	1903	1903	l100-01_estampes_pagode			MS3	47-99 (B2-D#7)	Piano	23-80 (B0-G#5)	Piano				https://musescore.com/user/2749876
136	136	1: 3, 67: 6, 92: 3, 113: 6, 115: 3, 134: 1	1: 2/4, 109: 3/4, 113: 2/4, 115: 3/4, 119: 2/4	0	Claude Debussy	La soirée dans Grenade			L100				Oli 2021	2021-01-06	3.02	Apple Macintosh	http://musescore.com/user/4887176/scores/6540482		3.6.2	25-97 (C#1-C#7)	1903	1903	l100-02_estampes_soiree			MS3	37-97 (C#2-C#7)	Piano	25-83 (C#1-B5)	Piano	28-54 (E1-F#3)	Piano		https://musescore.com/user/4887176
157	157	1: 1, 27: 6, 31: 3, 37: 0, 43: -3, 56: 0, 71: 7, 100: 0, 126: 5	1: 2/2	0	Claude debussy  (1862 - 1918)	Estampes	III	 Jardins sous la pluie					"Creative Commons copyright waiver (CC0 1.0 Universal)
"	2021-10-15		Microsoft Windows	http://musescore.com/user/202809/scores/6875432		3.6.2	28-95 (E1-B6)	1903	1903	l100-03_estampes_jardins			MS3	30-95 (F#1-B6)	Piano	28-88 (E1-E6)	Piano			"Vinckeenbosch from IMSLP #256285.
 https://imslp.org/wiki/Estampes_(Debussy%2C_Claude)"	https://musescore.com/user/202809
