slice	0	1	2	3	4	5	6	7	8	9	10	11
[0.0, 1.0)					0.875			0.125				
[1.0, 2.0)					0.75			0.25				
[2.0, 3.0)					0.16666666666666666		0.6666666666666666			0.16666666666666666		
[3.0, 4.0)					0.16666666666666666			0.6666666666666666				0.16666666666666666
[4.0, 5.0)	0.16666666666666666				0.16666666666666666					0.6666666666666666		
[5.0, 6.0)					0.16666666666666666			0.6666666666666666				0.16666666666666666
[6.0, 7.0)					0.16666666666666666		0.6666666666666666			0.16666666666666666		
[7.0, 8.0)				0.16666666666666666			0.16666666666666666					0.6666666666666666
[8.0, 9.0)					0.6666666666666666			0.16666666666666666				0.16666666666666666
[9.0, 10.0)					0.6666666666666666			0.16666666666666666				0.16666666666666666
[10.0, 11.0)			0.6666666666666666					0.16666666666666666				0.16666666666666666
[11.0, 12.0)			0.6666666666666666					0.16666666666666666				0.16666666666666666
[12.0, 13.0)	0.25				0.5			0.125				0.125
[13.0, 14.0)	0.5				0.3333333333333333			0.08333333333333333				0.08333333333333333
[14.0, 15.0)			0.5		0.3333333333333333			0.08333333333333333			0.08333333333333333	
[15.0, 16.0)			0.25		0.5			0.125			0.125	
[16.0, 17.0)	0.25				0.5			0.125				0.125
[17.0, 18.0)	0.5				0.3333333333333333			0.08333333333333333				0.08333333333333333
[18.0, 19.0)			0.5		0.3333333333333333			0.08333333333333333			0.08333333333333333	
[19.0, 20.0)			0.25		0.5			0.125			0.125	
[20.0, 21.0)						0.5				0.125		0.375
[21.0, 22.0)						0.5				0.125		0.375
[22.0, 23.0)						0.5				0.125		0.375
[23.0, 24.0)						0.5				0.125		0.375
[24.0, 25.0)						0.5				0.125		0.375
[25.0, 26.0)						0.5				0.125		0.375
[26.0, 27.0)	0.25					0.5				0.125		0.125
[27.0, 28.0)			0.25			0.5				0.125		0.125
[28.0, 29.0)	0.125				0.25					0.625		
[29.0, 30.0)			0.125			0.25				0.5		0.125
[30.0, 31.0)	0.125				0.125			0.25		0.5		
[31.0, 32.0)			0.125			0.125				0.75		
[32.0, 33.0)			0.125					0.125		0.5		0.25
[33.0, 34.0)	0.25				0.125					0.625		
[34.0, 35.0)			0.25					0.125		0.5		0.125
[35.0, 36.0)	0.125				0.25					0.625		
[36.0, 37.0)			0.5					0.25				0.25
[37.0, 38.0)					0.25	0.25		0.25				0.25
[38.0, 39.0)			0.5					0.25				0.25
[39.0, 40.0)	0.5					0.25				0.25		
[40.0, 41.0)					0.25			0.25				0.5
[41.0, 42.0)	0.25		0.25			0.25				0.25		
[42.0, 43.0)					0.25			0.25				0.5
[43.0, 44.0)			0.25			0.25				0.5		
[44.0, 45.0)	0.25				0.25			0.5				
[45.0, 46.0)			0.25			0.25				0.25		0.25
[46.0, 47.0)	0.25				0.25			0.5				
[47.0, 48.0)			0.25			0.5						0.25
[48.0, 49.0)	0.25				0.5					0.25		
[49.0, 50.0)			0.25			0.25		0.25				0.25
[50.0, 51.0)	0.25				0.5					0.25		
[51.0, 52.0)			0.5					0.25				0.25
[52.0, 53.0)	0.25					0.625				0.125		
[53.0, 54.0)			0.125		0.125	0.5		0.125				0.125
[54.0, 55.0)	0.25					0.625				0.125		
[55.0, 56.0)			0.125		0.125	0.5		0.125				0.125
[56.0, 57.0)					0.125	0.5		0.125				0.25
[57.0, 58.0)	0.125		0.125			0.625				0.125		
[58.0, 59.0)					0.125	0.5		0.125				0.25
[59.0, 60.0)	0.125		0.125			0.625				0.125		
[60.0, 61.0)						0.125				0.875		
[61.0, 62.0)				0.625		0.125				0.25		
[62.0, 63.0)	0.625		0.125		0.125						0.125	
[63.0, 64.0)	0.5		0.25		0.125						0.125	
[64.0, 65.0)		0.875								0.125		
[65.0, 66.0)		0.25						0.625		0.125		
[66.0, 67.0)		0.125		0.625		0.125		0.125				
[67.0, 68.0)		0.125		0.5		0.25		0.125				
[68.0, 69.0)	0.125				0.875							
[69.0, 70.0)	0.125				0.25						0.625	
[70.0, 71.0)						0.125		0.625		0.125		0.125
[71.0, 72.0)						0.125		0.5		0.25		0.125
[72.0, 73.0)					0.125				0.875			
[73.0, 74.0)			0.625		0.125				0.25			
[74.0, 75.0)	0.125		0.125						0.125		0.625	
[75.0, 76.0)	0.25		0.125						0.125		0.5	
[76.0, 77.0)			0.125			0.625			0.125		0.125	
[77.0, 78.0)	0.625		0.125						0.125		0.125	
[78.0, 79.0)			0.125						0.125			0.75
[79.0, 80.0)			0.125		0.125				0.125			0.625
[80.0, 81.0)	0.125		0.125			0.625			0.125			
[81.0, 82.0)	0.125		0.125						0.125		0.625	
[82.0, 83.0)		0.2222222222222222						0.1111111111111111		0.5555555555555556		0.1111111111111111
[83.0, 84.0)		0.2222222222222222			0.1111111111111111			0.1111111111111111		0.4444444444444444		0.1111111111111111
[84.0, 85.0)	0.1111111111111111				0.2222222222222222		0.5555555555555556		0.1111111111111111			
[85.0, 86.0)	0.09090909090909091				0.18181818181818182		0.36363636363636365		0.36363636363636365			
[86.0, 87.0)		0.5555555555555556		0.1111111111111111			0.1111111111111111	0.1111111111111111				0.1111111111111111
[87.0, 88.0)		0.36363636363636365		0.36363636363636365			0.09090909090909091	0.09090909090909091				0.09090909090909091
[88.0, 89.0)	0.5555555555555556		0.1111111111111111				0.1111111111111111				0.2222222222222222	
[89.0, 90.0)	0.36363636363636365		0.36363636363636365				0.09090909090909091				0.18181818181818182	
[90.0, 91.0)		0.2222222222222222				0.1111111111111111		0.5555555555555556		0.1111111111111111		
[91.0, 92.0)		0.2222222222222222				0.1111111111111111		0.4444444444444444		0.2222222222222222		
[92.0, 93.0)		0.2222222222222222				0.1111111111111111				0.6666666666666666		
[93.0, 94.0)		0.15384615384615385				0.07692307692307693				0.7692307692307693		
[94.0, 95.0)		0.2222222222222222				0.1111111111111111		0.4444444444444444		0.2222222222222222		
[95.0, 96.0)		0.2222222222222222				0.1111111111111111		0.4444444444444444		0.2222222222222222		
[96.0, 97.0)		0.3333333333333333								0.6666666666666666		
[97.0, 98.0)		0.3333333333333333								0.6666666666666666		
[98.0, 99.0)		0.3333333333333333								0.6666666666666666		
[99.0, 100.0)		0.3333333333333333								0.6666666666666666		
[100.0, 101.0)		0.3333333333333333								0.6666666666666666		
[101.0, 102.0)		0.3333333333333333								0.6666666666666666		
[102.0, 103.0)		0.3333333333333333								0.6666666666666666		
[103.0, 104.0)		0.3333333333333333								0.6666666666666666		
[104.0, 105.0)		0.16666666666666666					0.6666666666666666				0.16666666666666666	
[105.0, 106.0)		0.25					0.5				0.25	
[106.0, 107.0)		0.16666666666666666							0.6666666666666666			0.16666666666666666
[107.0, 108.0)		0.16666666666666666							0.6666666666666666			0.16666666666666666
[108.0, 109.0)		0.16666666666666666					0.6666666666666666				0.16666666666666666	
[109.0, 110.0)		0.25					0.5				0.25	
[110.0, 111.0)		0.16666666666666666							0.6666666666666666			0.16666666666666666
[111.0, 112.0)		0.16666666666666666							0.6666666666666666			0.16666666666666666
[112.0, 113.0)		0.16666666666666666					0.6666666666666666				0.16666666666666666	
[113.0, 114.0)		0.25					0.5				0.25	
[114.0, 115.0)		0.16666666666666666							0.6666666666666666			0.16666666666666666
[115.0, 116.0)		0.16666666666666666							0.16666666666666666		0.5	0.16666666666666666
[116.0, 117.0)		0.16666666666666666		0.16666666666666666								0.6666666666666666
[117.0, 118.0)		0.16666666666666666									0.6666666666666666	0.16666666666666666
[118.0, 119.0)		0.16666666666666666		0.16666666666666666					0.5			0.16666666666666666
[119.0, 120.0)		0.6666666666666666		0.16666666666666666		0.16666666666666666						
[120.0, 121.0)							0.8333333333333334			0.16666666666666666		
[121.0, 122.0)							0.75			0.25		
[122.0, 123.0)							0.16666666666666666		0.6666666666666666			0.16666666666666666
[123.0, 124.0)		0.16666666666666666					0.16666666666666666			0.6666666666666666		
[124.0, 125.0)			0.16666666666666666				0.16666666666666666					0.6666666666666666
[125.0, 126.0)		0.16666666666666666					0.16666666666666666			0.6666666666666666		
[126.0, 127.0)							0.16666666666666666		0.6666666666666666			0.16666666666666666
[127.0, 128.0)		0.6666666666666666				0.16666666666666666			0.16666666666666666			
[128.0, 129.0)		0.125					0.75			0.125		
[129.0, 130.0)		0.125					0.75			0.125		
[130.0, 131.0)		0.125			0.625		0.125			0.125		
[131.0, 132.0)		0.125			0.5		0.25			0.125		
[132.0, 133.0)		0.125		0.625			0.125			0.125		
[133.0, 134.0)		0.125		0.5			0.25			0.125		
[134.0, 135.0)		0.125	0.625				0.125			0.125		
[135.0, 136.0)		0.125	0.5				0.25			0.125		
[136.0, 137.0)		0.25					0.625			0.125		
[137.0, 138.0)				0.125	0.125		0.625			0.125		
[138.0, 139.0)		0.25					0.625			0.125		
[139.0, 140.0)				0.125	0.125		0.625			0.125		
[140.0, 141.0)	0.25						0.625			0.125		
[141.0, 142.0)			0.125		0.125		0.625			0.125		
[142.0, 143.0)	0.25						0.625			0.125		
[143.0, 144.0)			0.125		0.125		0.625			0.125		
[144.0, 145.0)	0.25			0.625						0.125		
[145.0, 146.0)	0.2222222222222222			0.4444444444444444			0.1111111111111111			0.2222222222222222		
[146.0, 147.0)			0.11764705882352941	0.23529411764705882					0.29411764705882354			0.35294117647058826
[147.0, 148.0)			0.125			0.3125			0.25			0.3125
[148.0, 149.0)	0.25			0.625						0.125		
[149.0, 150.0)	0.2222222222222222			0.4444444444444444			0.1111111111111111			0.2222222222222222		
[150.0, 151.0)			0.11764705882352941	0.23529411764705882					0.29411764705882354			0.35294117647058826
[151.0, 152.0)			0.125			0.3125			0.25			0.3125
[152.0, 153.0)	0.125			0.25			0.625					
[153.0, 154.0)	0.2222222222222222			0.2222222222222222			0.4444444444444444			0.1111111111111111		
[154.0, 155.0)			0.35294117647058826			0.11764705882352941	0.23529411764705882					0.29411764705882354
[155.0, 156.0)			0.3125			0.125			0.3125			0.25
[156.0, 157.0)	0.125			0.25			0.625					
[157.0, 158.0)	0.2222222222222222			0.2222222222222222			0.4444444444444444			0.1111111111111111		
[158.0, 159.0)			0.35294117647058826			0.11764705882352941	0.23529411764705882					0.29411764705882354
[159.0, 160.0)			0.3125			0.125			0.3125			0.25
[160.0, 161.0)				0.125			0.25			0.625		
[161.0, 162.0)	0.1111111111111111			0.2222222222222222			0.2222222222222222			0.4444444444444444		
[162.0, 163.0)			0.29411764705882354			0.35294117647058826			0.11764705882352941	0.23529411764705882		
[163.0, 164.0)			0.25			0.3125			0.125			0.3125
[164.0, 165.0)				0.125			0.25			0.625		
