slice	0	1	2	3	4	5	6	7	8	9	10	11
[0.125, 1.125)	0.75							0.25				
[1.125, 2.125)	0.7272727272727273			0.09090909090909091			0.09090909090909091				0.09090909090909091	
[2.125, 3.125)	0.1111111111111111	0.037037037037037035	0.14814814814814814	0.1111111111111111		0.037037037037037035	0.1111111111111111	0.14814814814814814			0.14814814814814814	0.14814814814814814
[3.125, 4.125)		0.125	0.16666666666666666	0.041666666666666664		0.125	0.041666666666666664	0.16666666666666666			0.16666666666666666	0.16666666666666666
[4.125, 5.125)	0.35294117647058826			0.17647058823529413			0.17647058823529413	0.11764705882352941			0.17647058823529413	
[5.125, 6.125)	0.7272727272727273			0.09090909090909091			0.09090909090909091				0.09090909090909091	
[6.125, 7.125)	0.1111111111111111	0.037037037037037035	0.14814814814814814	0.1111111111111111		0.037037037037037035	0.1111111111111111	0.14814814814814814			0.14814814814814814	0.14814814814814814
[7.125, 8.125)		0.125	0.16666666666666666	0.041666666666666664		0.125	0.041666666666666664	0.16666666666666666			0.16666666666666666	0.16666666666666666
[8.125, 9.125)	0.35294117647058826			0.17647058823529413			0.17647058823529413	0.11764705882352941			0.17647058823529413	
[9.125, 10.125)	0.4	0.2				0.2			0.2			
[10.125, 11.125)	0.8181818181818182							0.18181818181818182				
[11.125, 12.125)	0.4	0.2				0.2					0.2	
[12.125, 13.125)	0.8181818181818182							0.18181818181818182				
[13.125, 14.125)	0.3181818181818182	0.18181818181818182	0.045454545454545456			0.22727272727272727			0.18181818181818182		0.045454545454545456	
[14.125, 15.125)			0.2916666666666667	0.041666666666666664		0.125	0.041666666666666664	0.16666666666666666			0.16666666666666666	0.16666666666666666
[15.125, 16.125)	0.16666666666666666			0.16666666666666666	0.16666666666666666		0.125	0.16666666666666666	0.041666666666666664		0.125	0.041666666666666664
[16.125, 17.125)	0.3125			0.1875				0.125	0.1875			0.1875
[18.125, 19.125)	1.0											
[20.125, 21.125)	0.1111111111111111	0.0	0.2222222222222222			0.5555555555555556				0.1111111111111111		
[21.125, 22.125)	0.3		0.425			0.075				0.2		
[22.125, 23.125)	0.2		0.475			0.05		0.05		0.225		
[23.125, 24.125)	0.2		0.425			0.1		0.05		0.225		
[24.125, 25.125)	0.16666666666666666	0.0	0.4583333333333333			0.20833333333333334				0.16666666666666666		
[25.125, 26.125)	0.3		0.425			0.075				0.2		
[26.125, 27.125)	0.19444444444444445		0.4722222222222222			0.05555555555555555		0.05555555555555555		0.2222222222222222		
[27.125, 28.125)	0.25		0.5			0.125				0.125		
[28.125, 29.125)	0.06666666666666667		0.06666666666666667			0.4666666666666667		0.3333333333333333		0.06666666666666667		
[29.125, 30.125)	0.3333333333333333		0.375			0.08333333333333333		0.041666666666666664		0.16666666666666666		
[30.125, 31.125)	0.16666666666666666		0.20833333333333334			0.25		0.20833333333333334		0.16666666666666666		
[31.125, 32.125)	0.3333333333333333		0.375			0.08333333333333333		0.041666666666666664		0.16666666666666666		
[32.125, 33.125)	0.25		0.28125						0.15625	0.15625	0.15625	
[33.125, 34.125)	0.35		0.2					0.05	0.2		0.2	
[34.125, 35.125)	0.3225806451612903		0.22580645161290322					0.12903225806451613	0.0967741935483871		0.22580645161290322	
[35.125, 36.125)	0.5							0.5				
[36.125, 37.125)	0.3333333333333333	0.0	0.16666666666666666			0.4166666666666667				0.08333333333333333		
[37.125, 38.125)	0.3		0.425			0.075				0.2		
[38.125, 39.125)	0.2		0.475			0.05		0.05		0.225		
[39.125, 40.125)	0.2		0.425			0.1		0.05		0.225		
[40.125, 41.125)	0.16666666666666666	0.0	0.4583333333333333			0.20833333333333334				0.16666666666666666		
[41.125, 42.125)	0.3		0.425			0.075				0.2		
[42.125, 43.125)	0.19444444444444445		0.4722222222222222			0.05555555555555555		0.05555555555555555		0.2222222222222222		
[43.125, 44.125)	0.25		0.5			0.125				0.125		
[44.125, 45.125)	0.05555555555555555		0.4444444444444444			0.2222222222222222		0.1111111111111111		0.16666666666666666		
[45.125, 46.125)	0.04		0.12		0.16	0.16		0.36		0.12		0.04
[46.125, 47.125)	0.037037037037037035		0.25925925925925924		0.037037037037037035	0.1111111111111111		0.14814814814814814		0.2962962962962963		0.1111111111111111
[47.125, 48.125)	0.04			0.04	0.12		0.04	0.12		0.2		0.44
[48.125, 49.125)	0.037037037037037035			0.14814814814814814			0.1111111111111111		0.3333333333333333	0.25925925925925924		0.1111111111111111
[49.125, 50.125)	0.16		0.36	0.12			0.2	0.08	0.04	0.04		
[50.125, 51.125)	0.14814814814814814		0.1111111111111111	0.037037037037037035			0.25925925925925924		0.3333333333333333	0.1111111111111111		
[51.125, 52.125)	0.16666666666666666		0.375	0.125			0.16666666666666666	0.08333333333333333	0.041666666666666664	0.041666666666666664		
[52.125, 53.125)	0.2		0.15	0.05					0.55	0.05		
[53.125, 54.125)	0.16		0.36	0.12			0.2	0.08	0.04	0.04		
[54.125, 55.125)	0.14814814814814814		0.1111111111111111	0.037037037037037035			0.25925925925925924		0.3333333333333333	0.1111111111111111		
[55.125, 56.125)	0.16666666666666666		0.375	0.125			0.16666666666666666	0.08333333333333333	0.041666666666666664	0.041666666666666664		
[56.125, 57.125)	0.21428571428571427		0.21428571428571427				0.14285714285714285	0.14285714285714285	0.21428571428571427	0.07142857142857142		
[57.125, 58.125)						0.25	0.25	0.375	0.125			
[58.125, 59.125)					0.25	0.25	0.375	0.125				
[59.125, 60.125)				0.25	0.25	0.375	0.125					
[60.125, 61.125)	0.625				0.25	0.125						
[61.125, 62.125)	0.18604651162790697			0.11627906976744186			0.23255813953488372			0.11627906976744186		0.3488372093023256
[62.125, 63.125)	0.27586206896551724			0.10344827586206896			0.20689655172413793			0.10344827586206896		0.3103448275862069
[63.125, 64.125)	0.18604651162790697			0.11627906976744186			0.23255813953488372			0.11627906976744186		0.3488372093023256
[64.125, 65.125)	0.140625		0.03125	0.109375		0.015625	0.21875			0.140625	0.015625	0.328125
