measure_slice	mn	0	1	2	3	4	5	6	7	8	9	10	11
[0.0, 3.0)	1	0.0	0.52941	0.0	0.0	0.0	0.11765	0.0	0.11765	0.0	0.11765	0.11765	0.0
[3.0, 7.5)	2	0.0	0.6	0.0	0.0	0.0	0.0	0.1	0.1	0.0	0.1	0.0	0.1
[7.5, 10.5)	3	0.0	0.10526	0.0	0.0	0.0	0.0	0.10526	0.15789	0.0	0.47368	0.0	0.15789
[10.5, 13.5)	4	0.0	0.13527	0.07729	0.0	0.06522	0.07729	0.05797	0.0	0.07729	0.28986	0.14251	0.07729
[13.5, 16.5)	5	0.0	0.10526	0.0	0.0	0.0	0.0	0.10526	0.15789	0.0	0.47368	0.0	0.15789
[16.5, 19.5)	6	0.0	0.13527	0.07729	0.0	0.06522	0.07729	0.05797	0.0	0.07729	0.28986	0.14251	0.07729
[19.5, 22.5)	7	0.0	0.10884	0.16327	0.20068	0.10884	0.0	0.10884	0.10884	0.0	0.09184	0.10884	0.0
[22.5, 25.5)	8	0.02796	0.0	0.12473	0.12903	0.12903	0.25806	0.0	0.0172	0.02796	0.0	0.28602	0.0
[25.5, 28.5)	9	0.02796	0.0	0.12473	0.12903	0.12903	0.25806	0.0	0.0172	0.02796	0.0	0.28602	0.0
[28.5, 31.5)	10	0.0	0.0	0.375	0.25	0.375	0.0	0.0	0.0	0.0	0.0	0.0	0.0
[31.5, 34.5)	11	0.0	0.01481	0.0	0.23704	0.0	0.0	0.05926	0.01481	0.0	0.59259	0.08148	0.0
[34.5, 37.5)	12	0.0	0.01481	0.0	0.23704	0.0	0.0	0.05926	0.01481	0.0	0.59259	0.08148	0.0
[37.5, 40.5)	13	0.0	0.03137	0.0	0.21961	0.0	0.0	0.03137	0.03137	0.0	0.61961	0.06667	0.0
[40.5, 43.5)	14	0.0	0.0	0.27143	0.0	0.21429	0.0	0.02143	0.0	0.07857	0.41429	0.0	0.0
[43.5, 46.5)	15	0.0	0.0	0.23077	0.0	0.30769	0.0	0.0	0.0	0.0	0.46154	0.0	0.0
[46.5, 49.5)	16	0.0	0.0	0.22581	0.0	0.06452	0.0	0.06452	0.0	0.09677	0.54839	0.0	0.0
[49.5, 52.5)	17	0.0	0.125	0.125	0.0	0.08333	0.0	0.08333	0.0	0.04167	0.5	0.0	0.04167
