slice	0	1	2	3	4	5	6	7	8	9	10	11
[0.0, 1.0)		0.25			0.125		0.25	0.125			0.25	
[1.0, 2.0)		0.25			0.125		0.25	0.125			0.25	
[2.0, 3.0)		0.25			0.125		0.25	0.125			0.25	
[3.0, 4.0)		0.058823529411764705	0.11764705882352941		0.23529411764705882	0.11764705882352941			0.23529411764705882			0.23529411764705882
[4.0, 5.0)		0.17647058823529413	0.058823529411764705		0.11764705882352941	0.11764705882352941			0.29411764705882354			0.23529411764705882
[5.0, 6.0)		0.125	0.125			0.125			0.25			0.375
[6.0, 7.0)		0.23529411764705882		0.058823529411764705	0.11764705882352941		0.23529411764705882	0.11764705882352941			0.23529411764705882	
[7.0, 8.0)		0.2222222222222222		0.05555555555555555	0.1111111111111111		0.2222222222222222	0.1111111111111111			0.2777777777777778	
[8.0, 9.0)		0.4444444444444444			0.1111111111111111			0.1111111111111111			0.3333333333333333	
[9.0, 10.0)		0.4									0.6	
[10.0, 11.0)								0.25	0.25	0.5		
[11.0, 12.0)		0.5				0.5						
[12.0, 13.0)			0.25	0.25	0.5							
[13.0, 14.0)	0.5									0.5		
[14.0, 15.0)		0.125			0.125			0.125		0.5		0.125
[15.0, 16.0)		0.16666666666666666		0.08333333333333333	0.08333333333333333		0.08333333333333333	0.08333333333333333		0.3333333333333333		0.16666666666666666
[16.0, 17.0)		0.16666666666666666		0.16666666666666666			0.16666666666666666			0.3333333333333333		0.16666666666666666
[17.0, 18.0)	0.041666666666666664	0.125	0.041666666666666664	0.125		0.041666666666666664	0.125			0.3333333333333333	0.041666666666666664	0.125
[18.0, 19.0)		0.16666666666666666		0.16666666666666666			0.16666666666666666			0.3333333333333333		0.16666666666666666
[19.0, 20.0)		0.16666666666666666		0.16666666666666666			0.16666666666666666			0.3333333333333333		0.16666666666666666
[20.0, 21.0)		0.16666666666666666		0.16666666666666666					0.16666666666666666	0.3333333333333333		0.16666666666666666
[21.0, 22.0)		0.1		0.2			0.1		0.2	0.3		0.1
[22.0, 23.0)		0.2			0.1		0.2		0.1	0.3		0.1
[23.0, 24.0)		0.25			0.25			0.25		0.25		
[24.0, 25.0)		0.2			0.2			0.2		0.4		
[25.0, 26.0)			0.2		0.2		0.2			0.2		0.2
[26.0, 27.0)			0.25			0.25		0.25		0.25		
[27.0, 28.0)			0.2			0.2		0.4		0.2		
[28.0, 29.0)	0.1			0.1	0.1		0.1	0.4		0.1		0.1
[29.0, 30.0)			0.25			0.25		0.25		0.25		
[30.0, 31.0)			0.2			0.2		0.4		0.2		
[31.0, 32.0)	0.1			0.1	0.1		0.1	0.4		0.1		0.1
[32.0, 33.0)					0.23529411764705882	0.23529411764705882		0.23529411764705882		0.23529411764705882		0.058823529411764705
[33.0, 34.0)					0.22727272727272727	0.18181818181818182		0.36363636363636365		0.18181818181818182		0.045454545454545456
[34.0, 35.0)					0.23529411764705882			0.23529411764705882		0.23529411764705882		0.29411764705882354
[35.0, 36.0)					0.22727272727272727			0.36363636363636365		0.18181818181818182		0.22727272727272727
[36.0, 37.0)			0.11764705882352941		0.23529411764705882	0.23529411764705882		0.11764705882352941		0.23529411764705882		0.058823529411764705
[37.0, 38.0)			0.09090909090909091		0.22727272727272727	0.18181818181818182		0.2727272727272727		0.18181818181818182		0.045454545454545456
[38.0, 39.0)		0.18181818181818182		0.09090909090909091	0.18181818181818182	0.18181818181818182			0.18181818181818182			0.18181818181818182
[39.0, 40.0)		0.2727272727272727			0.09090909090909091	0.18181818181818182			0.2727272727272727			0.18181818181818182
[40.0, 41.0)		0.2	0.1			0.2			0.2			0.3
[41.0, 42.0)		0.23076923076923078		0.15384615384615385			0.15384615384615385	0.15384615384615385			0.3076923076923077	
[42.0, 43.0)		0.21428571428571427		0.14285714285714285			0.21428571428571427	0.14285714285714285			0.2857142857142857	
[43.0, 44.0)		0.3333333333333333		0.16666666666666666				0.16666666666666666			0.3333333333333333	
[44.0, 45.0)		0.5									0.5	
[45.0, 46.0)								0.25	0.25	0.5		
[46.0, 47.0)		0.5				0.5						
[47.0, 48.0)			0.25	0.25	0.5							
[48.0, 49.0)	0.5								0.5			
[49.0, 50.0)			0.125	0.125	0.25				0.5			
[50.0, 51.0)	0.25								0.75			
[51.0, 52.0)			0.125	0.125	0.25				0.5			
[52.0, 53.0)	0.25								0.75			
[53.0, 54.0)	0.14285714285714285		0.17857142857142858	0.03571428571428571	0.35714285714285715				0.2857142857142857			
[54.0, 55.0)	0.21428571428571427		0.14285714285714285		0.2857142857142857				0.35714285714285715			
[55.0, 56.0)	0.14285714285714285		0.17857142857142858	0.03571428571428571	0.35714285714285715				0.2857142857142857			
[56.0, 57.0)	0.21428571428571427		0.14285714285714285		0.25		0.03571428571428571		0.35714285714285715			
[57.0, 58.0)			0.20833333333333334	0.041666666666666664	0.25		0.125		0.20833333333333334		0.16666666666666666	
[58.0, 59.0)	0.25				0.16666666666666666		0.16666666666666666		0.375		0.041666666666666664	
[59.0, 60.0)	0.041666666666666664		0.20833333333333334	0.041666666666666664	0.08333333333333333		0.16666666666666666		0.3333333333333333		0.125	
[60.0, 61.0)	0.20833333333333334	0.041666666666666664			0.16666666666666666				0.4166666666666667		0.16666666666666666	
[61.0, 62.0)		0.16666666666666666		0.1111111111111111	0.16666666666666666			0.16666666666666666	0.1111111111111111	0.1111111111111111	0.16666666666666666	
[62.0, 63.0)	0.1	0.15			0.15		0.1	0.1	0.2	0.05	0.15	
[63.0, 64.0)		0.16666666666666666		0.1111111111111111	0.19444444444444445		0.027777777777777776	0.1111111111111111	0.1111111111111111	0.1111111111111111	0.16666666666666666	
[64.0, 65.0)	0.1111111111111111	0.16666666666666666			0.16666666666666666		0.1111111111111111	0.1111111111111111	0.1111111111111111	0.05555555555555555	0.16666666666666666	
[65.0, 66.0)		0.16666666666666666		0.1111111111111111	0.2777777777777778			0.05555555555555555	0.1111111111111111	0.1111111111111111	0.16666666666666666	
[66.0, 67.0)	0.1111111111111111	0.16666666666666666			0.16666666666666666		0.1111111111111111	0.16666666666666666	0.1111111111111111		0.16666666666666666	
[67.0, 68.0)		0.15		0.1	0.15			0.15	0.2	0.1	0.15	
[68.0, 69.0)	0.1111111111111111	0.16666666666666666			0.16666666666666666		0.1111111111111111	0.16666666666666666	0.1111111111111111		0.16666666666666666	
[69.0, 70.0)	0.1111111111111111	0.1111111111111111		0.1111111111111111	0.16666666666666666			0.19444444444444445	0.1111111111111111		0.19444444444444445	
[70.0, 71.0)	0.1111111111111111	0.1111111111111111		0.1111111111111111	0.16666666666666666			0.2222222222222222	0.1111111111111111		0.16666666666666666	
[71.0, 72.0)	0.1	0.1		0.1	0.15			0.175	0.2		0.175	
[72.0, 73.0)	0.1111111111111111	0.1111111111111111		0.1111111111111111	0.16666666666666666			0.19444444444444445	0.1111111111111111		0.19444444444444445	
[73.0, 74.0)		0.3333333333333333					0.3333333333333333				0.3333333333333333	
[74.0, 75.0)		0.38461538461538464					0.38461538461538464				0.23076923076923078	
[75.0, 76.0)		0.38463906418346927			0.025550253963367707		0.3590888102201016			0.025550253963367707	0.20517161766969366	
[76.0, 77.0)		0.08308308308308307	0.2502502502502502		0.055388722055388716		0.27794461127794456			0.30563897230563897	0.027694361027694358	
[77.0, 78.0)		0.3333333333333333					0.3333333333333333				0.3333333333333333	
[78.0, 79.0)		0.38461538461538464					0.38461538461538464				0.23076923076923078	
[79.0, 80.0)		0.3750156308615731			0.020757784169063397		0.3542578466925097			0.020757784169063397	0.22921095410779038	
[80.0, 81.0)		0.08308308308308307	0.2502502502502502		0.055388722055388716		0.27794461127794456			0.30563897230563897	0.027694361027694358	
[81.0, 82.0)		0.3333333333333333					0.3333333333333333				0.3333333333333333	
[82.0, 83.0)		0.3333333333333333					0.3333333333333333				0.3333333333333333	
[83.0, 84.0)			0.3333333333333333				0.3333333333333333			0.3333333333333333		
[84.0, 85.0)	0.1111111111111111		0.2222222222222222			0.1111111111111111	0.2222222222222222		0.1111111111111111	0.2222222222222222		
[85.0, 86.0)	0.2				0.2		0.2		0.2		0.2	
[86.0, 87.0)	0.19436572762127022				0.16669444907484582		0.16669444907484582		0.30555092515419235		0.16669444907484582	
[87.0, 88.0)	0.2			0.2		0.2	0.2			0.2		
[88.0, 89.0)	0.19436572762127022			0.16669444907484582		0.13885647607934656	0.16669444907484582		0.16669444907484582	0.16669444907484582		
[89.0, 90.0)	0.2				0.2		0.2		0.2		0.2	
[90.0, 91.0)	0.19436572762127022				0.16669444907484582		0.16669444907484582		0.30555092515419235		0.16669444907484582	
[91.0, 92.0)	0.2000400080016003			0.2000400080016003		0.16663332666533304	0.2000400080016003			0.23324664932986594		
[92.0, 93.0)	0.25			0.25			0.16666666666666666		0.16666666666666666	0.16666666666666666		
[93.0, 94.0)		0.25					0.375	0.125			0.25	
[94.0, 95.0)		0.3333333333333333					0.3333333333333333	0.1111111111111111			0.2222222222222222	
[95.0, 96.0)		0.29411764705882354					0.35294117647058826	0.11764705882352941			0.23529411764705882	
[96.0, 97.0)					0.5	0.16666666666666666			0.16666666666666666			0.16666666666666666
[97.0, 98.0)		0.35714285714285715			0.21428571428571427	0.14285714285714285			0.14285714285714285			0.14285714285714285
[98.0, 99.0)		0.07692307692307693	0.23076923076923078			0.15384615384615385			0.15384615384615385			0.38461538461538464
[99.0, 100.0)		0.25					0.375	0.125			0.25	
[100.0, 101.0)		0.3333333333333333					0.3333333333333333	0.1111111111111111			0.2222222222222222	
[101.0, 102.0)		0.6470588235294118						0.11764705882352941			0.23529411764705882	
[102.0, 103.0)		0.5									0.5	
[103.0, 104.0)								0.25	0.25	0.5		
[104.0, 105.0)		0.5				0.5						
[105.0, 106.0)			0.25	0.25	0.5							
[106.0, 107.0)	0.5									0.5		
[107.0, 108.0)					0.5					0.5		
[108.0, 109.0)	0.5				0.5							
[109.0, 110.0)			0.4				0.2			0.4		
[110.0, 111.0)	0.2		0.2			0.2	0.1		0.1	0.2		
[111.0, 112.0)	0.2		0.2			0.2	0.1		0.1	0.2		
[112.0, 113.0)			0.18181818181818182			0.36363636363636365					0.45454545454545453	
[113.0, 114.0)			0.25			0.16666666666666666				0.25	0.3333333333333333	
[114.0, 115.0)			0.25			0.16666666666666666			0.125	0.125	0.3333333333333333	
[115.0, 116.0)			0.25			0.1875	0.1875				0.375	
[116.0, 117.0)			0.25			0.375					0.375	
[118.0, 119.0)		0.4									0.6	
[119.0, 120.0)		0.5555555555555556							0.1111111111111111		0.3333333333333333	
[120.0, 121.0)		0.5							0.5			
[121.0, 122.0)		0.5					0.5					
[122.0, 123.0)		0.5				0.5						
[123.0, 124.0)		0.5				0.5						
[124.0, 125.0)		0.5				0.5						
[125.0, 126.0)		1.0										
[126.0, 127.0)		1.0										
