slice	0	1	2	3	4	5	6	7	8	9	10
[2.5, 3.5)	0.5			0.5							
[3.5, 4.5)	0.25							0.5			0.25
[4.5, 5.5)						0.5					0.5
[5.5, 6.5)	0.5			0.5							
[6.5, 7.5)	1.0										
[7.5, 8.5)	1.0										
[8.5, 9.5)	0.1	0.2		0.2					0.2		0.3
[9.5, 10.5)		0.25		0.25		0.125		0.125			0.25
[10.5, 11.5)	0.125	0.25		0.25		0.25					0.125
[11.5, 12.5)	0.1875	0.125		0.25		0.25			0.125		0.0625
[12.5, 13.5)	0.25			0.375		0.0625		0.0625	0.25		
[13.5, 14.5)	0.14285714285714285			0.42857142857142855					0.42857142857142855		
[14.5, 15.5)	0.375			0.25				0.125			0.25
[15.5, 16.5)	0.22727272727272727	0.09090909090909091		0.13636363636363635		0.18181818181818182		0.09090909090909091			0.2727272727272727
[16.5, 17.5)	0.08333333333333333	0.08333333333333333		0.08333333333333333			0.25		0.3333333333333333		0.16666666666666666
[17.5, 18.5)	0.2727272727272727	0.2727272727272727		0.09090909090909091		0.18181818181818182		0.09090909090909091	0.09090909090909091		
[18.5, 19.5)	0.22727272727272727	0.09090909090909091		0.13636363636363635		0.18181818181818182		0.09090909090909091			0.2727272727272727
[19.5, 20.5)		0.2727272727272727		0.09090909090909091		0.18181818181818182					0.45454545454545453
[20.5, 21.5)	0.15384615384615385	0.07692307692307693		0.23076923076923078		0.15384615384615385			0.3076923076923077		0.07692307692307693
[21.5, 22.5)	0.2499642908155978	0.035709184402228256		0.238108841594058	0.07141836880445651	0.023853735180688476		0.023853735180688476	0.35709184402228256		
[22.5, 23.5)	0.1	0.1		0.1	0.1	0.1			0.4		0.1
[23.5, 24.5)	0.1111111111111111	0.1111111111111111		0.2222222222222222		0.16666666666666666		0.05555555555555555	0.2222222222222222		0.1111111111111111
[24.5, 25.5)	0.2833433313337333	0.04999000199960008		0.39992001599680066					0.23335332933413322		0.03339332133573286
[25.5, 26.5)	0.08333333333333333	0.25		0.16666666666666666		0.125			0.25		0.125
[26.5, 27.5)	0.08333333333333333	0.25		0.20833333333333334		0.08333333333333333			0.16666666666666666		0.20833333333333334
[27.5, 28.5)	0.2833433313337333	0.04999000199960008		0.39992001599680066					0.23335332933413322		0.03339332133573286
[28.5, 29.5)	0.2	0.05		0.5		0.05			0.2		
[29.5, 30.5)	0.07692307692307693	0.07692307692307693		0.23076923076923078		0.038461538461538464		0.19230769230769232	0.15384615384615385		0.23076923076923078
[30.5, 31.5)	0.05211848518935134	0.145856767904012				0.06249218847644045		0.18747656542932134	0.1249843769528809		0.427071616047994
[31.5, 32.5)		0.125				0.125		0.1875	0.1875		0.375
[32.5, 33.5)		0.125		0.09375		0.09375		0.1875	0.125		0.375
[33.5, 34.5)	0.05211848518935134	0.145856767904012				0.1249843769528809		0.1249843769528809	0.1249843769528809		0.427071616047994
[34.5, 35.5)	0.14285714285714285	0.14285714285714285				0.17857142857142858		0.07142857142857142	0.17857142857142858		0.2857142857142857
[35.5, 36.5)	0.3333333333333333	0.2777777777777778		0.16666666666666666					0.1111111111111111		0.1111111111111111
[36.5, 37.5)		0.33322225924691773		0.33322225924691773				0.1389536821059647	0.1389536821059647		0.055648117294235265
[37.5, 38.5)		0.3125		0.375		0.1875			0.125		
[38.5, 39.5)	0.15	0.1		0.2		0.1			0.4		0.05
[39.5, 40.5)	0.2			0.2					0.6		
[40.5, 41.5)	0.1111111111111111	0.1111111111111111		0.1388888888888889		0.1388888888888889			0.4444444444444444		0.05555555555555555
[41.5, 42.5)	0.12906556530717606	0.12906556530717606		0.18275684047496127		0.2581311306143521			0.3009808982963345		
[42.5, 43.5)	0.28125			0.28125		0.03125		0.125	0.25		0.03125
[43.5, 44.5)	0.125	0.125		0.15625		0.15625		0.125	0.25		0.0625
[44.5, 45.5)	0.12906556530717606	0.12906556530717606		0.18275684047496127		0.2581311306143521			0.3009808982963345		
[45.5, 46.5)	0.28125			0.28125		0.03125		0.125	0.25		0.03125
[46.5, 47.5)	0.2222222222222222			0.1111111111111111		0.2222222222222222		0.1111111111111111	0.2222222222222222		0.1111111111111111
[47.5, 48.5)	0.125		0.1	0.025		0.125		0.1	0.2		0.325
[48.5, 49.5)			0.1	0.2				0.2	0.1		0.4
[49.5, 50.5)				0.4				0.2			0.4
[50.5, 51.5)				0.4				0.2			0.4
[51.5, 52.5)	0.25	0.125		0.25		0.125					0.25
[52.5, 53.5)	0.25	0.25		0.5							
[53.5, 54.5)		0.5		0.5							
[54.5, 55.5)				0.5		0.5					
[55.5, 56.5)	0.16666666666666666					0.5	0.16666666666666666				0.16666666666666666
[56.5, 57.5)	0.25			0.25		0.027777777777777776	0.2222222222222222				0.25
[57.5, 58.5)	0.1111111111111111	0.3611111111111111		0.027777777777777776			0.2222222222222222		0.027777777777777776		0.25
[58.5, 59.5)	0.25	0.1388888888888889		0.1111111111111111			0.25		0.027777777777777776		0.2222222222222222
[59.5, 60.5)	0.03125			0.25		0.03125	0.28125				0.40625
[60.5, 61.5)		0.125		0.125			0.28125		0.0625		0.40625
[61.5, 62.5)	0.125	0.125		0.025		0.2	0.2		0.1		0.225
[62.5, 63.5)	0.11363636363636363	0.09090909090909091		0.20454545454545456		0.022727272727272728	0.18181818181818182		0.18181818181818182	0.09090909090909091	0.11363636363636363
[63.5, 64.5)		0.20454545454545456		0.11363636363636363			0.2727272727272727		0.20454545454545456	0.20454545454545456	
[64.5, 65.5)	0.10416666666666667	0.10416666666666667		0.16666666666666666		0.020833333333333332	0.10416666666666667		0.16666666666666666	0.08333333333333333	0.25
[65.5, 66.5)	0.07692307692307693	0.07692307692307693		0.09615384615384616		0.09615384615384616	0.07692307692307693		0.25		0.3269230769230769
[66.5, 67.5)		0.08333333333333333		0.10416666666666667		0.10416666666666667	0.08333333333333333		0.3541666666666667		0.2708333333333333
[67.5, 68.5)			0.07692307692307693	0.17307692307692307		0.15384615384615385	0.07692307692307693		0.19230769230769232		0.3269230769230769
[68.5, 69.5)			0.14285714285714285	0.14285714285714285		0.21428571428571427					0.5
[69.5, 70.5)			0.16666666666666666	0.08333333333333333		0.4166666666666667					0.3333333333333333
[70.5, 71.5)	0.08338332333533294		0.133373325334933	0.133373325334933		0.29994001199760045		0.09998000399920015			0.24995000999800038
[71.5, 72.5)				0.25		0.3		0.2			0.25
[72.5, 73.5)	0.1			0.25		0.2		0.2			0.25
[73.5, 74.5)			0.08	0.08		0.4		0.08			0.36
[74.5, 75.5)			0.14285714285714285			0.35714285714285715					0.5
[75.5, 76.5)			0.16666666666666666			0.5					0.3333333333333333
[76.5, 77.5)	0.04999000199960008		0.13337332533493304	0.13337332533493304		0.33333333333333337		0.09998000399920016			0.24995000999800043
[77.5, 78.5)				0.25		0.3		0.2			0.25
[78.5, 79.5)	0.058823529411764705		0.11764705882352941	0.17647058823529413		0.29411764705882354		0.11764705882352941			0.23529411764705882
[79.5, 80.5)	0.14997000599880023		0.133373325334933	0.133373325334933		0.133373325334933				0.1999600079984003	0.24995000999800038
[80.5, 81.5)	0.16666666666666666			0.20833333333333334		0.08333333333333333		0.16666666666666666		0.16666666666666666	0.20833333333333334
[81.5, 82.5)	0.18181818181818182		0.18181818181818182	0.22727272727272727				0.2727272727272727			0.13636363636363635
[82.5, 83.5)	0.25		0.2	0.25		0.05		0.2			0.05
[83.5, 84.5)	0.2727272727272727			0.22727272727272727		0.09090909090909091		0.09090909090909091		0.18181818181818182	0.13636363636363635
[84.5, 85.5)	0.25			0.20833333333333334				0.16666666666666666		0.16666666666666666	0.20833333333333334
[85.5, 86.5)	0.16666666666666666		0.08333333333333333	0.125	0.08333333333333333			0.3333333333333333			0.20833333333333334
[86.5, 87.5)	0.25		0.0625		0.296875			0.140625		0.125	0.125
[87.5, 88.5)	0.31007535584705553		0.007721648525444227		0.31007535584705553			0.09303190994511117		0.18606381989022233	0.09303190994511117
[88.5, 89.5)	0.30952380952380953				0.2857142857142857			0.09523809523809523		0.21428571428571427	0.09523809523809523
[89.5, 90.5)	0.31007535584705553		0.007721648525444227		0.28681737836077775			0.09303190994511117		0.20932179737650014	0.09303190994511117
[90.5, 91.5)	0.30434782608695654		0.043478260869565216		0.30434782608695654			0.08695652173913043		0.17391304347826086	0.08695652173913043
[91.5, 92.5)	0.2857142857142857		0.07142857142857142	0.14285714285714285	0.07142857142857142	0.14285714285714285		0.14285714285714285		0.14285714285714285	
[92.5, 93.5)	0.140625		0.125	0.125		0.25		0.0625		0.296875	
[93.5, 94.5)	0.09303190994511117		0.18606381989022233	0.09303190994511117		0.31007535584705553		0.007721648525444227		0.31007535584705553	
[94.5, 95.5)	0.09523809523809523		0.21428571428571427	0.09523809523809523		0.30952380952380953				0.2857142857142857	
[95.5, 96.5)	0.09303190994511117		0.20932179737650014	0.09303190994511117		0.31007535584705553		0.007721648525444227		0.28681737836077775	
[96.5, 97.5)	0.08695652173913043		0.17391304347826086	0.08695652173913043		0.30434782608695654		0.043478260869565216		0.30434782608695654	
[97.5, 98.5)			0.16666666666666666			0.3333333333333333		0.08333333333333333		0.08333333333333333	0.3333333333333333
[98.5, 99.5)			0.2			0.3					0.5
[99.5, 100.5)			0.2			0.5					0.3
[100.5, 101.5)	0.08338332333533294		0.133373325334933	0.133373325334933		0.29994001199760045	0.09998000399920015				0.24995000999800038
[101.5, 102.5)				0.25		0.3	0.2				0.25
[102.5, 103.5)	0.1			0.25		0.2	0.2				0.25
[103.5, 104.5)			0.08	0.08		0.4	0.08				0.36
[104.5, 105.5)			0.14285714285714285			0.35714285714285715					0.5
[105.5, 106.5)			0.16666666666666666			0.5					0.3333333333333333
[106.5, 107.5)	0.04999000199960008		0.13337332533493304	0.13337332533493304		0.33333333333333337	0.09998000399920016				0.24995000999800043
[107.5, 108.5)				0.25		0.3	0.2				0.25
[108.5, 109.5)	0.058823529411764705		0.11764705882352941	0.17647058823529413		0.29411764705882354	0.11764705882352941				0.23529411764705882
[109.5, 110.5)	0.0555432126194179		0.14818929126860697	0.14818929126860697		0.2592757165074428	0.1110864252388358				0.2777160630970895
[110.5, 111.5)				0.25		0.3	0.2				0.25
[111.5, 112.5)	0.1			0.25		0.2	0.1	0.1			0.25
[112.5, 113.5)	0.15384615384615385	0.07692307692307693		0.15384615384615385		0.038461538461538464		0.15384615384615385	0.3076923076923077		0.11538461538461539
[113.5, 114.5)	0.281214848143982	0.031246094238220223		0.20834895638045245	0.06249218847644045	0.020872390951131112		0.020872390951131112	0.3749531308586427		
[114.5, 115.5)	0.21428571428571427	0.07142857142857142		0.07142857142857142	0.07142857142857142	0.07142857142857142			0.42857142857142855		0.07142857142857142
[115.5, 116.5)	0.18181818181818182	0.09090909090909091		0.18181818181818182		0.13636363636363635		0.045454545454545456	0.2727272727272727		0.09090909090909091
[116.5, 117.5)	0.2833433313337333	0.04999000199960008		0.39992001599680066					0.23335332933413322		0.03339332133573286
[117.5, 118.5)	0.08333333333333333	0.25		0.16666666666666666		0.125			0.25		0.125
[118.5, 119.5)	0.08333333333333333	0.25		0.20833333333333334		0.08333333333333333			0.16666666666666666		0.20833333333333334
[119.5, 120.5)	0.2833433313337333	0.04999000199960008		0.39992001599680066					0.23335332933413322		0.03339332133573286
[120.5, 121.5)	0.2	0.05		0.5		0.05			0.2		
[121.5, 122.5)	0.07692307692307693	0.07692307692307693		0.23076923076923078		0.038461538461538464		0.19230769230769232	0.15384615384615385		0.23076923076923078
[122.5, 123.5)	0.05211848518935134	0.145856767904012				0.06249218847644045		0.18747656542932134	0.1249843769528809		0.427071616047994
[123.5, 124.5)		0.125				0.125		0.1875	0.1875		0.375
[124.5, 125.5)		0.125		0.09375		0.09375		0.1875	0.125		0.375
[125.5, 126.5)	0.05211848518935134	0.145856767904012				0.1249843769528809		0.1249843769528809	0.1249843769528809		0.427071616047994
[126.5, 127.5)	0.14285714285714285	0.14285714285714285				0.17857142857142858		0.07142857142857142	0.17857142857142858		0.2857142857142857
[127.5, 128.5)	0.3333333333333333	0.2777777777777778		0.16666666666666666					0.1111111111111111		0.1111111111111111
[128.5, 129.5)		0.33322225924691773		0.33322225924691773				0.1389536821059647	0.1389536821059647		0.055648117294235265
[129.5, 130.5)		0.21428571428571427		0.2857142857142857		0.35714285714285715					0.14285714285714285
[130.5, 131.5)	0.045454545454545456	0.18181818181818182				0.36363636363636365			0.2727272727272727		0.13636363636363635
[131.5, 132.5)		0.2857142857142857				0.2857142857142857			0.42857142857142855		
[132.5, 133.5)		0.2857142857142857				0.2857142857142857			0.42857142857142855		
[133.5, 134.5)	0.06666666666666667	0.26666666666666666		0.06666666666666667		0.2			0.4		
[134.5, 135.5)	0.03571428571428571	0.2857142857142857				0.14285714285714285		0.07142857142857142	0.42857142857142855		0.03571428571428571
[135.5, 136.5)		0.2857142857142857				0.21428571428571427			0.42857142857142855		0.07142857142857142
[136.5, 137.5)	0.125	0.25		0.125		0.125			0.375		
[137.5, 138.5)	0.3333333333333333	0.16666666666666666			0.3333333333333333				0.16666666666666666		
[138.5, 139.5)		0.25			0.25	0.25			0.25		
[139.5, 140.5)	0.045454545454545456	0.18181818181818182		0.09090909090909091		0.18181818181818182	0.18181818181818182		0.18181818181818182		0.13636363636363635
[140.5, 141.5)		0.15384615384615385		0.23076923076923078			0.3076923076923077		0.15384615384615385		0.15384615384615385
[141.5, 142.5)		0.16666666666666666		0.25			0.16666666666666666	0.16666666666666666	0.08333333333333333		0.16666666666666666
[142.5, 143.5)	0.09090909090909091	0.18181818181818182		0.18181818181818182				0.36363636363636365			0.18181818181818182
[143.5, 144.5)	0.09090909090909091	0.18181818181818182		0.18181818181818182		0.18181818181818182		0.18181818181818182	0.09090909090909091		0.09090909090909091
[144.5, 145.5)		0.16666666666666666		0.3333333333333333		0.16666666666666666		0.08333333333333333	0.08333333333333333		0.16666666666666666
[145.5, 146.5)	0.1818512456810329	0.09092562284051645		0.5455537370430987				0.10601927623204217	0.06055646481178396		0.01509365339152573
[146.5, 147.5)	0.2000400080016003			0.6001200240048009				0.016603320664132826	0.16663332666533304		0.016603320664132826
[147.5, 148.5)	0.2			0.6					0.2		
[148.5, 149.5)	0.16666666666666666			0.5				0.08333333333333333	0.16666666666666666		0.08333333333333333
[149.5, 150.5)	0.16666666666666666			0.5					0.3333333333333333		
[150.5, 151.5)	0.16666666666666666			0.5					0.3333333333333333		
[151.5, 152.5)	0.16666666666666666			0.5					0.3333333333333333		
[152.5, 153.5)	0.16666666666666666			0.5					0.3333333333333333		
