slice	0	1	2	3	4	5	6	7	8	9	10	11
[0.0, 1.0)							0.5					0.5
[1.0, 2.0)		0.5			0.5							
[2.0, 3.0)									0.5			0.5
[3.0, 4.0)		0.16666666666666666			0.16666666666666666		0.16666666666666666		0.16666666666666666			0.3333333333333333
[4.0, 5.0)		0.16666666666666666			0.16666666666666666		0.16666666666666666		0.16666666666666666			0.3333333333333333
[5.0, 6.0)							0.6666666666666666		0.16666666666666666			0.16666666666666666
[6.0, 7.0)		0.2857142857142857		0.14285714285714285	0.2857142857142857				0.21428571428571427			0.07142857142857142
[7.0, 8.0)					0.16666666666666666				0.6666666666666666			0.16666666666666666
[8.0, 9.0)		0.2			0.2				0.4		0.1	0.1
[10.0, 11.0)							0.5					0.5
[11.0, 12.0)		0.5			0.5							
[12.0, 13.0)									0.5			0.5
[13.0, 14.0)							0.5					0.5
[14.0, 15.0)		0.25			0.25				0.25			0.25
[15.0, 16.0)		0.25			0.25				0.25			0.25
[16.0, 17.0)		0.2			0.2		0.2		0.2			0.2
[17.0, 18.0)		0.2			0.2		0.2		0.2			0.2
[19.0, 20.0)		0.25			0.25				0.25		0.125	0.125
[20.0, 21.0)		0.25			0.25		0.125		0.125		0.0625	0.1875
[21.0, 22.0)		0.25			0.25		0.125		0.125		0.0625	0.1875
[22.0, 23.0)			0.25			0.25	0.125		0.125		0.0625	0.1875
[23.0, 24.0)			0.25			0.25	0.125		0.125		0.0625	0.1875
[24.0, 25.0)		0.2		0.13333333333333333			0.4					0.26666666666666666
[25.0, 26.0)		0.2		0.23333333333333334			0.3		0.06666666666666667		0.03333333333333333	0.16666666666666666
[26.0, 27.0)		0.14814814814814814		0.25925925925925924			0.3333333333333333					0.25925925925925924
[27.0, 28.0)		0.2222222222222222		0.3333333333333333			0.2222222222222222		0.1111111111111111			0.1111111111111111
[28.0, 29.0)		0.125		0.3125			0.25		0.3125			
[29.0, 30.0)				0.5			0.5					
[30.0, 31.0)				0.6666666666666666			0.3333333333333333					
[31.0, 32.0)				0.5			0.5					
[32.0, 33.0)				0.5			0.5					
[33.0, 34.0)				0.5			0.5					
[34.0, 35.0)				0.5			0.5					
[35.0, 36.0)				0.5			0.5					
[36.0, 37.0)				0.3333333333333333			0.3333333333333333		0.3333333333333333			
[37.0, 38.0)				0.25			0.25		0.125		0.375	
[38.0, 39.0)		0.375		0.25			0.25					0.125
[39.0, 40.0)		0.375		0.25			0.25					0.125
[40.0, 41.0)				0.25			0.25				0.375	0.125
[41.0, 42.0)				0.25			0.25		0.125		0.375	
[42.0, 43.0)				0.25			0.25		0.125		0.375	
[43.0, 44.0)				0.25			0.5		0.125		0.125	
[44.0, 45.0)				0.375			0.5		0.125			
[45.0, 46.0)		0.375		0.375			0.25					
[46.0, 47.0)		0.25		0.125	0.125		0.125		0.25		0.125	
[47.0, 48.0)		0.25		0.25			0.125		0.125		0.25	
[48.0, 49.0)		0.125		0.5	0.25				0.125			
[49.0, 50.0)		0.25		0.125	0.125		0.125		0.25		0.125	
[50.0, 51.0)		0.25		0.375			0.125		0.125		0.125	
[51.0, 52.0)		0.125		0.3125	0.25		0.1875		0.125			
[52.0, 53.0)		0.1875		0.125	0.125		0.125		0.25		0.1875	
[53.0, 54.0)		0.25		0.25			0.125		0.125		0.25	
[54.0, 55.0)		0.25			0.125				0.375		0.125	0.125
[55.0, 56.0)				0.16666666666666666			0.3333333333333333		0.16666666666666666		0.16666666666666666	0.16666666666666666
[56.0, 57.0)				0.125	0.125		0.75					
[57.0, 58.0)		0.25					0.5		0.125			0.125
[58.0, 59.0)		0.1111111111111111					0.6666666666666666		0.2222222222222222			
[59.0, 60.0)							1.0					
[60.0, 61.0)		0.21428571428571427					0.5714285714285714		0.21428571428571427			
[61.0, 62.0)							1.0					
[62.0, 63.0)				0.125	0.125		0.75					
