slice	0	1	2	3	4	5	6	7	8	9	10	11
[0.125, 1.125)	0.75	0.0	0.0	0.0	0.0	0.0	0.0	0.25	0.0	0.0	0.0	0.0
[1.125, 2.125)	1.0	0.0	0.0	0.125	0.0	0.0	0.125	0.0	0.0	0.0	0.125	0.0
[2.125, 3.125)	0.375	0.125	0.5	0.375	0.0	0.125	0.375	0.5	0.0	0.0	0.5	0.5
[3.125, 4.125)	0.0	0.375	0.5	0.125	0.0	0.375	0.125	0.5	0.0	0.0	0.5	0.5
[4.125, 5.125)	0.75	0.0	0.0	0.375	0.0	0.0	0.375	0.25	0.0	0.0	0.375	0.0
[5.125, 6.125)	1.0	0.0	0.0	0.125	0.0	0.0	0.125	0.0	0.0	0.0	0.125	0.0
[6.125, 7.125)	0.375	0.125	0.5	0.375	0.0	0.125	0.375	0.5	0.0	0.0	0.5	0.5
[7.125, 8.125)	0.0	0.375	0.5	0.125	0.0	0.375	0.125	0.5	0.0	0.0	0.5	0.5
[8.125, 9.125)	0.75	0.0	0.0	0.375	0.0	0.0	0.375	0.25	0.0	0.0	0.375	0.0
[9.125, 10.125)	1.0	0.5	0.0	0.0	0.0	0.5	0.0	0.0	0.5	0.0	0.0	0.0
[10.125, 11.125)	1.125	0.0	0.0	0.0	0.0	0.0	0.0	0.25	0.0	0.0	0.0	0.0
[11.125, 12.125)	1.0	0.5	0.0	0.0	0.0	0.5	0.0	0.0	0.0	0.0	0.5	0.0
[12.125, 13.125)	1.125	0.0	0.0	0.0	0.0	0.0	0.0	0.25	0.0	0.0	0.0	0.0
[13.125, 14.125)	0.875	0.5	0.125	0.0	0.0	0.625	0.0	0.0	0.5	0.0	0.125	0.0
[14.125, 15.125)	0.0	0.0	0.875	0.125	0.0	0.375	0.125	0.5	0.0	0.0	0.5	0.5
[15.125, 16.125)	0.5	0.0	0.0	0.5	0.5	0.0	0.375	0.5	0.125	0.0	0.375	0.125
[16.125, 17.125)	0.625	0.0	0.0	0.375	0.0	0.0	0.0	0.25	0.375	0.0	0.0	0.375
[18.125, 19.125)	0.5	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
[20.125, 21.125)	0.125	0.125	0.25	0.0	0.0	0.625	0.0	0.0	0.0	0.125	0.0	0.0
[21.125, 22.125)	1.5	0.125	2.125	0.0	0.0	0.375	0.0	0.0	0.0	1.0	0.0	0.0
[22.125, 23.125)	1.0	0.0	2.375	0.0	0.0	0.25	0.0	0.25	0.0	1.125	0.0	0.0
[23.125, 24.125)	1.0	0.0	2.125	0.0	0.0	0.5	0.0	0.25	0.0	1.125	0.0	0.0
[24.125, 25.125)	0.5	0.125	1.375	0.0	0.0	0.625	0.0	0.0	0.0	0.5	0.0	0.0
[25.125, 26.125)	1.5	0.125	2.125	0.0	0.0	0.375	0.0	0.0	0.0	1.0	0.0	0.0
[26.125, 27.125)	0.875	0.0	2.125	0.0	0.0	0.25	0.0	0.25	0.0	1.0	0.0	0.0
[27.125, 28.125)	0.25	0.0	0.5	0.0	0.0	0.125	0.0	0.0	0.0	0.125	0.0	0.0
[28.125, 29.125)	0.125	0.0	0.125	0.0	0.0	0.875	0.0	0.625	0.0	0.125	0.0	0.0
[29.125, 30.125)	1.0	0.0	1.125	0.0	0.0	0.25	0.0	0.125	0.0	0.5	0.0	0.0
[30.125, 31.125)	0.5	0.0	0.625	0.0	0.0	0.75	0.0	0.625	0.0	0.5	0.0	0.0
[31.125, 32.125)	1.0	0.0	1.125	0.0	0.0	0.25	0.0	0.125	0.0	0.5	0.0	0.0
[32.125, 33.125)	1.0	0.0	1.125	0.0	0.0	0.0	0.0	0.0	0.625	0.625	0.625	0.0
[33.125, 34.125)	1.75	0.0	1.0	0.0	0.0	0.0	0.0	0.25	1.0	0.0	1.0	0.0
[34.125, 35.125)	1.25	0.0	0.875	0.0	0.0	0.0	0.0	0.5	0.375	0.0	0.875	0.0
[35.125, 36.125)	0.5	0.0	0.0	0.0	0.0	0.0	0.0	0.5	0.0	0.0	0.0	0.0
[36.125, 37.125)	0.5	0.125	0.25	0.0	0.0	0.625	0.0	0.0	0.0	0.125	0.0	0.0
[37.125, 38.125)	1.5	0.125	2.125	0.0	0.0	0.375	0.0	0.0	0.0	1.0	0.0	0.0
[38.125, 39.125)	1.0	0.0	2.375	0.0	0.0	0.25	0.0	0.25	0.0	1.125	0.0	0.0
[39.125, 40.125)	1.0	0.0	2.125	0.0	0.0	0.5	0.0	0.25	0.0	1.125	0.0	0.0
[40.125, 41.125)	0.5	0.125	1.375	0.0	0.0	0.625	0.0	0.0	0.0	0.5	0.0	0.0
[41.125, 42.125)	1.5	0.125	2.125	0.0	0.0	0.375	0.0	0.0	0.0	1.0	0.0	0.0
[42.125, 43.125)	0.875	0.0	2.125	0.0	0.0	0.25	0.0	0.25	0.0	1.0	0.0	0.0
[43.125, 44.125)	0.25	0.0	0.5	0.0	0.0	0.125	0.0	0.0	0.0	0.125	0.0	0.0
[44.125, 45.125)	0.125	0.0	1.0	0.0	0.0	0.5	0.0	0.25	0.0	0.375	0.0	0.0
[45.125, 46.125)	0.125	0.0	0.375	0.0	0.5	0.5	0.0	1.125	0.0	0.375	0.0	0.125
[46.125, 47.125)	0.125	0.0	0.875	0.0	0.125	0.375	0.0	0.5	0.0	1.0	0.0	0.375
[47.125, 48.125)	0.125	0.0	0.0	0.125	0.375	0.0	0.125	0.375	0.0	0.625	0.0	1.375
[48.125, 49.125)	0.125	0.0	0.0	0.5	0.0	0.0	0.375	0.0	1.125	0.875	0.0	0.375
[49.125, 50.125)	0.5	0.0	1.125	0.375	0.0	0.0	0.625	0.25	0.125	0.125	0.0	0.0
[50.125, 51.125)	0.5	0.0	0.375	0.125	0.0	0.0	0.875	0.0	1.125	0.375	0.0	0.0
[51.125, 52.125)	0.5	0.0	1.125	0.375	0.0	0.0	0.5	0.25	0.125	0.125	0.0	0.0
[52.125, 53.125)	0.5	0.0	0.375	0.125	0.0	0.0	0.0	0.0	1.375	0.125	0.0	0.0
[53.125, 54.125)	0.5	0.0	1.125	0.375	0.0	0.0	0.625	0.25	0.125	0.125	0.0	0.0
[54.125, 55.125)	0.5	0.0	0.375	0.125	0.0	0.0	0.875	0.0	1.125	0.375	0.0	0.0
[55.125, 56.125)	0.5	0.0	1.125	0.375	0.0	0.0	0.5	0.25	0.125	0.125	0.0	0.0
[56.125, 57.125)	0.375	0.0	0.375	0.0	0.0	0.0	0.25	0.25	0.375	0.125	0.0	0.0
[57.125, 58.125)	0.0	0.0	0.0	0.0	0.0	0.25	0.25	0.375	0.125	0.0	0.0	0.0
[58.125, 59.125)	0.0	0.0	0.0	0.0	0.25	0.25	0.375	0.125	0.0	0.0	0.0	0.0
[59.125, 60.125)	0.0	0.0	0.0	0.25	0.25	0.375	0.125	0.0	0.0	0.0	0.0	0.0
[60.125, 61.125)	0.625	0.0	0.0	0.0	0.25	0.125	0.0	0.0	0.0	0.0	0.0	0.0
[61.125, 62.125)	1.0	0.0	0.0	0.625	0.0	0.0	1.25	0.0	0.0	0.625	0.0	1.875
