slice	0	1	2	3	4	5	6	7	8	9	10	11
[0.0, 1.0)		0.3333333333333333			0.3333333333333333					0.3333333333333333		
[1.0, 2.0)		0.3333333333333333			0.3333333333333333		0.3333333333333333					
[2.0, 3.0)				0.3333333333333333					0.3333333333333333			0.3333333333333333
[3.0, 4.0)				0.3333333333333333					0.3333333333333333			0.3333333333333333
[4.0, 5.0)		0.3333333333333333					0.3333333333333333			0.3333333333333333		
[5.0, 6.0)		0.3333333333333333		0.3333333333333333						0.3333333333333333		
[6.0, 7.0)					0.3333333333333333				0.3333333333333333			0.3333333333333333
[7.0, 8.0)					0.3333333333333333				0.3333333333333333			0.3333333333333333
[8.0, 9.0)		0.16658329164582292					0.6668334167083542			0.16658329164582292		
[9.0, 10.0)		0.5833958489622405					0.33333333333333326			0.0832708177044261		
[10.0, 11.0)		0.0832708177044261			0.33333333333333326		0.2500625156289072			0.33333333333333326		
[11.0, 12.0)		0.5833958489622405			0.2500625156289072		0.0832708177044261			0.0832708177044261		
[12.0, 13.0)		0.33333333333333337		0.33333333333333337						0.33333333333333337		
[13.0, 14.0)		0.5833958489622405		0.2500625156289072			0.0832708177044261			0.0832708177044261		
[14.0, 15.0)		0.33333333333333337			0.08327081770442611		0.25006251562890724			0.33333333333333337		
[15.0, 16.0)		0.3333333333333333			0.25006251562890724					0.4166041510377594		
[16.0, 17.0)							0.16658329164582292			0.6668334167083542		0.16658329164582292
[17.0, 18.0)		0.16658329164582292		0.16658329164582292			0.16658329164582292			0.5002501250625312		
[18.0, 19.0)		0.16658329164582292		0.16658329164582292						0.6668334167083542		
[19.0, 20.0)		0.16666666666666669					0.16666666666666669		0.16666666666666669	0.33333333333333337		0.16666666666666669
[20.0, 21.0)					0.5							0.5
[21.0, 22.0)		0.16658329164582292			0.41670835417708857		0.16658329164582292		0.25012506253126565			
[22.0, 23.0)		0.16658329164582292			0.16658329164582292				0.25012506253126565			0.41670835417708857
[23.0, 24.0)					0.25012506253126565		0.16658329164582292		0.16658329164582292			0.41670835417708857
[24.0, 25.0)		0.2501250625312656			0.4167083541770885				0.33316658329164583			
[25.0, 26.0)				0.5	0.25				0.25			
[26.0, 27.0)		0.25		0.5					0.25			
[27.0, 28.0)		0.75			0.25							
[28.0, 29.0)					0.3333333333333333							0.6666666666666666
[29.0, 30.0)		0.16658329164582292			0.41670835417708857		0.16658329164582292		0.25012506253126565			
[30.0, 31.0)		0.16658329164582292			0.16658329164582292				0.25012506253126565			0.41670835417708857
[31.0, 32.0)					0.25012506253126565		0.16658329164582292		0.16658329164582292			0.41670835417708857
[32.0, 33.0)		0.2501250625312656			0.4167083541770885				0.33316658329164583			
[33.0, 34.0)				0.5	0.25				0.25			
[34.0, 35.0)		0.25		0.5					0.25			
[35.0, 36.0)		0.75			0.25							
[36.0, 37.0)		0.2501250625312656					0.2501250625312656			0.16658329164582292		0.33316658329164583
[37.0, 38.0)		0.5			0.25		0.25					
[38.0, 39.0)		0.25			0.25		0.25			0.25		
[39.0, 40.0)		0.25		0.25	0.5							
[40.0, 41.0)		0.75							0.25			
[41.0, 42.0)					0.25				0.75			
[42.0, 43.0)									0.75			0.25
[43.0, 44.0)		0.25			0.75							
[44.0, 45.0)		0.16658329164582292		0.33316658329164583	0.2501250625312656					0.2501250625312656		
[45.0, 46.0)					0.5		0.25			0.25		
[46.0, 47.0)		0.25			0.25				0.25	0.25		
[47.0, 48.0)					0.25		0.5		0.25			
[48.0, 49.0)					0.75						0.25	
[49.0, 50.0)		0.75							0.25			
[50.0, 51.0)		0.75					0.25					
[51.0, 52.0)		0.16658329164582292			0.25012506253126565						0.5832916458229115	
[52.0, 53.0)					0.25				0.5		0.25	
[53.0, 54.0)		0.25			0.5				0.25			
[54.0, 55.0)		0.25			0.5		0.25					
[55.0, 56.0)		0.33316658329164583			0.4167083541770885						0.2501250625312656	
[56.0, 57.0)					0.25				0.5		0.25	
[57.0, 58.0)		0.25					0.25		0.5			
[58.0, 59.0)		0.25					0.25		0.5			
[59.0, 60.0)					0.25		0.25		0.25		0.25	
[60.0, 61.0)					0.25				0.5		0.25	
[61.0, 62.0)		0.25					0.25		0.5			
[62.0, 63.0)		0.25					0.5		0.25			
[63.0, 64.0)					0.25		0.25		0.25		0.25	
[64.0, 65.0)		0.16658329164582292			0.16658329164582292					0.6668334167083542		
[65.0, 66.0)		0.16658329164582292			0.16658329164582292		0.16658329164582292			0.5002501250625312		
[66.0, 67.0)				0.16658329164582292					0.6668334167083542			0.16658329164582292
[67.0, 68.0)				0.16658329164582292					0.6668334167083542			0.16658329164582292
[68.0, 69.0)		0.16658329164582292					0.6668334167083542			0.16658329164582292		
[69.0, 70.0)		0.16658329164582292		0.16658329164582292			0.5002501250625313			0.16658329164582292		
[70.0, 71.0)					0.6668334167083542				0.16658329164582292			0.16658329164582292
[71.0, 72.0)					0.6668334167083542				0.16658329164582292			0.16658329164582292
[72.0, 73.0)		0.16658329164582292		0.6668334167083542				0.16658329164582292				
[73.0, 74.0)		0.16658329164582292		0.6668334167083542							0.16658329164582292	
[74.0, 75.0)		0.16658329164582292			0.6668334167083542				0.16658329164582292			
[75.0, 76.0)		0.16658329164582292			0.16658329164582292				0.25012506253126565			0.41670835417708857
[76.0, 77.0)		0.16658329164582292		0.6668334167083542				0.16658329164582292				
[77.0, 78.0)		0.16658329164582292		0.6668334167083542							0.16658329164582292	
[78.0, 79.0)		0.41670835417708857		0.25012506253126565	0.16658329164582292					0.16658329164582292		
[79.0, 80.0)		0.16658329164582292			0.25012506253126565				0.41670835417708857	0.16658329164582292		
[80.0, 81.0)				0.16658329164582292						0.16658329164582292		0.6668334167083542
[81.0, 82.0)							0.16658329164582292			0.16658329164582292		0.6668334167083542
[82.0, 83.0)		0.16658329164582292					0.16658329164582292			0.4167083541770885		0.2501250625312656
[83.0, 84.0)		0.25012506253126565			0.41670835417708857		0.16658329164582292			0.16658329164582292		
[84.0, 85.0)	0.16658329164582292						0.16658329164582292		0.6668334167083542			
[85.0, 86.0)				0.16658329164582292			0.16658329164582292		0.6668334167083542			
[86.0, 87.0)		0.4					0.2			0.4		
