slice	0	1	2	3	4	5	6	7	8	9	10	11
[124.0, 125.0)			0.25			0.5		0.25				
[125.0, 126.0)						0.75				0.25		
[126.0, 127.0)			0.5							0.25		0.25
[127.0, 128.0)			0.5			0.25		0.25				
[128.0, 129.0)	0.16666666666666666		0.3333333333333333					0.16666666666666666				0.3333333333333333
[129.0, 130.0)	0.75				0.25							
[130.0, 131.0)	0.75							0.25				
[131.0, 132.0)	0.5				0.25			0.25				
[132.0, 133.0)	0.5				0.5							
[133.0, 134.0)	0.5							0.5				
[134.0, 135.0)					0.5			0.5				
[135.0, 136.0)	0.5							0.5				
[136.0, 137.0)	0.375			0.375				0.25				
[137.0, 138.0)	0.25							0.25		0.25	0.25	
[138.0, 139.0)	0.125			0.375				0.5				
[139.0, 140.0)	0.25							0.75				
[140.0, 141.0)	0.125			0.375				0.5				
[141.0, 142.0)	0.25							0.25		0.25	0.25	
[142.0, 143.0)	0.375			0.375				0.25				
[143.0, 144.0)	0.5			0.25				0.25				
[144.0, 145.0)			0.4				0.3			0.3		
[145.0, 146.0)			0.4166666666666667				0.25			0.3333333333333333		
[146.0, 147.0)			0.5				0.25			0.25		
[147.0, 148.0)			0.4166666666666667				0.25			0.3333333333333333		
[148.0, 149.0)			0.5				0.125			0.375		
[149.0, 150.0)			0.625				0.125			0.25		
[150.0, 151.0)			0.625							0.375		
[151.0, 152.0)			0.5				0.125			0.375		
[152.0, 153.0)	0.375			0.375				0.25				
[153.0, 154.0)	0.25							0.25		0.25	0.25	
[154.0, 155.0)	0.125			0.375				0.5				
[155.0, 156.0)	0.25							0.75				
[156.0, 157.0)	0.125			0.375				0.5				
[157.0, 158.0)	0.25							0.25		0.25	0.25	
[158.0, 159.0)	0.5			0.125				0.375				
[159.0, 160.0)	0.5			0.5								
[160.0, 161.0)	0.25				0.375				0.375			
[161.0, 162.0)	0.375				0.375				0.25			
[162.0, 163.0)	0.25				0.375				0.375			
[163.0, 164.0)	0.375				0.375				0.25			
[164.0, 165.0)	0.25				0.375				0.375			
[165.0, 166.0)	0.375				0.375				0.25			
[166.0, 167.0)	0.375			0.25					0.375			
[167.0, 168.0)	0.25				0.375				0.375			
[168.0, 169.0)	0.375							0.25		0.375		
[169.0, 170.0)	0.375				0.125	0.125				0.375		
[170.0, 171.0)	0.375		0.25							0.375		
[171.0, 172.0)	0.375		0.25							0.375		
[172.0, 173.0)	0.375		0.25							0.375		
[173.0, 174.0)	0.375		0.25							0.375		
[174.0, 175.0)	0.375				0.25					0.375		
[175.0, 176.0)	0.375					0.25				0.375		
[176.0, 177.0)						0.375			0.25			0.375
[177.0, 178.0)			0.125		0.125	0.125			0.25			0.375
[178.0, 179.0)	0.5							0.2			0.3	
[179.0, 180.0)	0.4							0.2		0.1	0.3	
[180.0, 181.0)	0.5							0.2			0.3	
[181.0, 182.0)	0.4					0.1		0.2			0.3	
[182.0, 183.0)	0.3		0.2					0.2			0.3	
[183.0, 184.0)	0.2				0.3			0.2			0.3	
[184.0, 185.0)	0.125				0.25	0.25				0.375		
[185.0, 186.0)	0.25		0.125			0.25		0.125		0.25		
[186.0, 187.0)			0.375					0.25		0.125	0.25	
[187.0, 188.0)			0.375					0.25			0.375	
[188.0, 189.0)			0.375					0.25		0.125	0.25	
[189.0, 190.0)			0.375					0.25			0.375	
[190.0, 191.0)	0.5									0.5		
[191.0, 192.0)					0.25			0.5			0.25	
[192.0, 193.0)						1.0						
[193.0, 194.0)	0.25					0.5				0.25		
[194.0, 195.0)						0.5				0.5		
[195.0, 196.0)						1.0						
[196.0, 197.0)						1.0						
[197.0, 198.0)						1.0						
[198.0, 199.0)										1.0		
[199.0, 200.0)										1.0		
[200.0, 201.0)			0.5			0.25				0.25		
[201.0, 202.0)					0.5				0.25			0.25
[202.0, 203.0)					0.5				0.25			0.25
[203.0, 204.0)			0.5			0.25				0.25		
[204.0, 205.0)			0.5			0.25				0.25		
[205.0, 206.0)					0.5				0.25			0.25
