slice	0	1	2	3	4	5	6	7	8	9	10	11
[0.0, 1.0)	0.25	1.5	0.0	0.25	0.0	0.25	0.25	0.0	1.25	0.0	0.5	0.0
[1.0, 2.0)	0.25	1.5	0.0	0.25	0.0	0.25	0.25	0.0	2.25	0.0	0.5	0.0
[2.0, 3.0)	0.5	0.5	0.0	0.25	0.0	1.5	0.25	0.0	0.5	0.0	0.5	0.0
[3.0, 4.0)	0.25	0.75	0.0	1.75	0.0	0.25	0.25	0.0	0.5	0.0	0.5	0.0
[4.0, 5.0)	0.25	1.25	0.0	0.5	0.0	0.75	0.0	0.0	1.25	0.0	0.25	0.0
[5.0, 6.0)	0.0	1.75	0.0	0.5	0.0	0.75	0.0	0.0	1.25	0.0	0.75	0.0
[6.0, 7.0)	0.25	0.5	0.0	0.5	0.0	1.0	0.0	0.0	0.25	0.0	1.25	0.0
[7.0, 8.0)	0.0	1.5	0.0	0.0	0.0	1.5	0.0	0.0	0.0	0.0	1.5	0.0
[8.0, 9.0)	0.25	1.0	0.0	0.25	0.0	0.25	0.25	0.0	1.75	0.0	0.5	0.0
[9.0, 10.0)	0.25	1.5	0.0	0.25	0.0	0.25	0.25	0.0	1.25	0.0	0.5	0.0
[10.0, 11.0)	0.5	0.5	0.0	0.25	0.0	1.5	0.25	0.0	0.5	0.0	0.5	0.0
[11.0, 12.0)	0.25	0.75	0.0	1.75	0.0	0.25	0.25	0.0	0.5	0.0	0.5	0.0
[12.0, 13.0)	0.25	1.25	0.0	0.5	0.0	0.75	0.0	0.0	1.25	0.0	0.25	0.0
[13.0, 14.0)	0.0	1.75	0.0	0.5	0.0	0.75	0.0	0.0	1.25	0.0	0.75	0.0
[14.0, 15.0)	0.25	0.5	0.0	0.5	0.0	1.0	0.0	0.0	0.25	0.0	1.25	0.0
[15.0, 16.0)	0.0	1.5	0.0	0.0	0.0	1.5	0.0	0.0	0.0	0.0	1.5	0.0
[16.0, 17.0)	0.25	0.25	0.25	0.25	0.0	0.25	0.25	0.25	0.75	0.5	0.75	0.0
[17.0, 18.0)	0.0	0.0	0.0	1.25	0.0	0.0	0.0	0.0	1.5	1.0	0.0	2.0
[18.0, 19.0)	0.25	0.25	0.25	0.75	0.0	0.25	0.25	0.25	1.0	0.75	0.75	0.5
[19.0, 20.0)	0.75	1.0	0.0	0.25	0.25	0.5	0.0	0.0	0.25	0.25	1.0	1.0
[20.0, 21.0)	0.0	2.0	0.0	0.0	0.0	1.5	0.0	0.0	0.0	0.0	1.5	1.0
[21.0, 22.0)	0.5	1.0	0.0	0.25	0.0	1.25	0.75	0.0	0.5	0.0	1.25	0.25
[22.0, 23.0)	1.5	0.0	0.0	0.0	0.0	1.5	1.0	0.0	1.0	0.0	1.5	0.0
[23.0, 24.0)	1.0	0.0	0.75	0.0	0.0	1.75	0.5	0.5	0.5	0.0	1.25	0.0
[24.0, 25.0)	0.5	0.0	1.25	0.0	0.0	2.5	0.0	1.25	0.0	0.0	1.75	0.0
[25.0, 26.0)	0.25	0.0	1.0	0.0	0.0	1.75	0.25	0.75	0.25	0.0	1.5	0.5
[26.0, 27.0)	0.25	0.25	0.0	0.5	0.25	0.25	0.75	0.0	0.25	1.0	0.0	0.5
[27.0, 28.0)	0.0	1.25	0.0	0.75	0.5	0.0	1.25	0.0	0.75	0.5	0.25	0.25
[28.0, 29.0)	0.0	3.0	0.0	2.0	0.0	0.0	1.25	0.0	1.25	1.0	0.0	0.0
[29.0, 30.0)	0.0	2.5	0.0	2.0	0.0	0.0	0.75	0.0	1.0	0.5	0.25	0.0
[30.0, 31.0)	0.0	1.0	0.0	0.75	0.0	0.75	0.0	0.0	1.25	0.0	1.25	0.0
[31.0, 32.0)	0.0	0.5	0.0	1.5	0.0	1.0	0.0	0.0	1.25	0.0	1.25	0.0
[32.0, 33.0)	3.0	0.0	0.5	0.75	0.0	3.5	0.0	0.0	0.5	0.0	0.25	0.0
[33.0, 34.0)	3.0	0.0	2.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0
[34.0, 35.0)	1.0	0.25	1.0	0.042	0.0	0.5840000000000001	0.0	0.0	0.334	0.0	0.0	0.292
[35.0, 36.0)	1.5	0.5	0.0	0.0	0.0	2.0	0.0	0.0	0.5	0.0	0.0	0.5
[36.0, 37.0)	2.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
[37.0, 38.0)	0.0	0.333	0.0	0.125	0.0	1.25	0.0	0.0	0.41700000000000004	0.0	0.0	0.375
[38.0, 39.0)	0.0	0.0	0.166	0.0	0.083	0.083	0.083	0.083	0.666	0.083	0.0	0.749
[39.0, 40.0)	0.0	0.083	0.749	0.083	0.0	0.666	0.083	0.0	0.166	0.0	0.083	0.083
[40.0, 41.0)	0.0	0.0	0.166	0.0	0.083	0.083	0.083	0.083	0.666	0.083	0.0	0.749
[41.0, 42.0)	0.0	0.0	0.749	0.083	0.0	0.583	0.083	0.0	0.249	0.0	0.166	0.083
[42.0, 43.0)	0.0	0.0	0.0	0.142	0.583	0.654	0.0	0.0	0.308	0.0	0.154	0.154
[43.0, 44.0)	0.0	0.0	0.0	0.583	0.642	0.154	0.0	0.0	0.308	0.0	0.22499999999999998	0.083
[44.0, 45.0)	0.0	0.0	0.583	0.571	0.0	0.142	0.083	0.0	0.308	0.0	0.154	0.154
[45.0, 46.0)	0.0	0.0	0.5	0.0	0.0	0.0	0.29200000000000004	0.0	0.20900000000000002	0.0	0.20900000000000002	0.29200000000000004
[46.0, 47.0)	0.0	0.0	0.0	0.0	0.0	0.0	0.29400000000000004	0.0	0.252	0.0	0.21000000000000002	0.252
[47.0, 48.0)	0.0	0.0	0.0	0.0	0.0	0.0	0.252	0.0	0.6749999999999999	0.0	0.269	0.308
[48.0, 49.0)	0.0	0.0	0.0	0.0	0.0	0.25	0.308	0.0	1.7690000000000001	0.0	0.193	0.23099999999999998
[49.0, 50.0)	0.25	0.0	0.0	0.0	0.0	0.0	0.23099999999999998	0.0	1.443	0.0	0.769	0.308
[50.0, 51.0)	0.0	0.0	0.0	0.0	0.0	0.5	0.308	0.0	1.519	0.0	0.443	0.23099999999999998
[51.0, 52.0)	0.0	0.0	0.5	0.0	0.0	1.0	0.23099999999999998	0.0	0.693	0.0	0.269	0.308
