slice	0	1	2	3	4	5	6	7	8	9	10	11
[0.0, 1.0)											1.0	
[1.0, 2.0)		0.25				0.25		0.25			0.25	
[2.0, 3.0)	0.3125					0.25		0.25			0.1875	
[3.0, 4.0)		1.0										
[4.0, 5.0)		0.25				0.25		0.25			0.25	
[5.0, 6.0)		0.1875		0.3125				0.25			0.25	
[6.0, 7.0)					1.0							
[7.0, 8.0)		0.25			0.25				0.25		0.25	
[8.0, 9.0)		0.3125			0.1875				0.25		0.25	
[9.0, 10.0)							1.0					
[10.0, 11.0)					0.25		0.25		0.25		0.25	
[11.0, 12.0)				0.25			0.4375		0.0625		0.25	
[12.0, 13.0)											1.0	
[13.0, 14.0)		0.25				0.25		0.25			0.25	
[14.0, 15.0)	0.3125					0.25		0.25			0.1875	
[15.0, 16.0)		1.0										
[16.0, 17.0)		0.25				0.25		0.25			0.25	
[17.0, 18.0)		0.1875		0.3125				0.25			0.25	
[18.0, 19.0)					1.0							
[19.0, 20.0)	0.25				0.25			0.25		0.25		
[20.0, 21.0)	0.25				0.1875			0.25		0.3125		
[21.0, 22.0)	0.25		0.25					0.25		0.25		
[22.0, 23.0)	0.2		0.2					0.2		0.2		0.2
[23.0, 24.0)	0.2		0.15					0.2		0.25		0.2
[24.0, 25.0)	0.2				0.2			0.2		0.2		0.2
[25.0, 26.0)	0.2							0.4		0.2		0.2
[26.0, 27.0)	0.2						0.4			0.4		
[27.0, 28.0)	0.2		0.2				0.4			0.2		
[28.0, 29.0)	0.2		0.2		0.4			0.2				
[29.0, 30.0)	0.2		0.6				0.2					
[30.0, 31.0)								1.0				
[31.0, 32.0)	0.2		0.4					0.4				
[32.0, 33.0)			0.42857142857142855					0.38095238095238093		0.19047619047619047		
[33.0, 34.0)			0.3333333333333333					0.5		0.16666666666666666		
[34.0, 35.0)			0.3333333333333333					0.5			0.16666666666666666	
[35.0, 36.0)			0.375					0.4583333333333333				0.16666666666666666
[36.0, 37.0)			0.3333333333333333					0.5				0.16666666666666666
[37.0, 38.0)	0.16666666666666666		0.3333333333333333					0.5				
[38.0, 39.0)			0.45					0.35		0.2		
[39.0, 40.0)			0.4					0.4		0.2		
[40.0, 41.0)											1.0	
[41.0, 42.0)												1.0
[42.0, 43.0)											1.0	
[43.0, 44.0)		0.25				0.25		0.25			0.25	
[44.0, 45.0)	0.3125					0.25		0.25			0.1875	
[45.0, 46.0)		1.0										
[46.0, 47.0)		0.25				0.25		0.25			0.25	
[47.0, 48.0)		0.1875		0.3125				0.25			0.25	
[48.0, 49.0)					1.0							
[49.0, 50.0)		0.25						0.25		0.5		
[50.0, 51.0)		0.2			0.2			0.2		0.2		0.2
[51.0, 52.0)					0.5							0.5
[52.0, 53.0)		0.2						0.2		0.4		0.2
[53.0, 54.0)		0.2			0.2			0.2		0.4		
[54.0, 55.0)			0.5		0.5							
[55.0, 56.0)			0.3333333333333333					0.16666666666666666		0.3333333333333333		0.16666666666666666
[56.0, 57.0)			0.5					0.16666666666666666		0.16666666666666666		0.16666666666666666
[57.0, 58.0)					0.5			0.5				
[58.0, 59.0)					0.16666666666666666			0.3333333333333333		0.3333333333333333		0.16666666666666666
[59.0, 60.0)		0.16666666666666666			0.16666666666666666			0.3333333333333333		0.16666666666666666		0.16666666666666666
[60.0, 61.0)		0.16666666666666666			0.16666666666666666			0.3333333333333333		0.16666666666666666		0.16666666666666666
[61.0, 62.0)		0.1			0.2			0.2		0.3		0.2
[62.0, 63.0)					0.3			0.3		0.2		0.2
[63.0, 64.0)												1.0
[64.0, 65.0)										0.5		0.5
[65.0, 66.0)			1.0									
[66.0, 67.0)				0.2857142857142857				0.2857142857142857		0.35714285714285715		0.07142857142857142
[67.0, 68.0)	0.2		0.1	0.2				0.3		0.2		
[68.0, 69.0)			0.1	0.2		0.2		0.2		0.25		0.05
[69.0, 70.0)			0.0625		0.25	0.25		0.0625		0.0625		0.3125
[70.0, 71.0)			0.05		0.2	0.2		0.25		0.05		0.25
[71.0, 72.0)			0.25		0.2	0.2		0.05		0.05		0.25
[72.0, 73.0)				0.2857142857142857				0.2857142857142857		0.35714285714285715		0.07142857142857142
[73.0, 74.0)	0.2		0.1	0.2				0.3		0.2		
[74.0, 75.0)			0.1	0.2		0.2		0.2		0.25		0.05
[75.0, 76.0)			0.0625		0.25	0.25		0.0625		0.0625		0.3125
[76.0, 77.0)			0.05		0.2	0.2		0.25		0.05		0.25
[77.0, 78.0)			0.25		0.2	0.2		0.05		0.05		0.25
[78.0, 79.0)				0.16666666666666666				0.16666666666666666		0.16666666666666666		0.5
