quarterbeats	duration_qb	mc	mn	mc_onset	mn_onset	timesig	staff	voice	duration	nominal_duration	scalar	tied	tpc	midi	volta	chord_id
0	0.5	1	1	0	0	4/4	2	1	1/8	1/8	1		6	42		0
1/2	0.5	1	1	1/8	1/8	4/4	2	1	1/8	1/8	1		7	49		1
1	0.5	1	1	1/4	1/4	4/4	2	1	1/8	1/8	1		3	57		2
3/2	0.5	1	1	3/8	3/8	4/4	2	1	1/8	1/8	1		7	49		3
2	0.5	1	1	1/2	1/2	4/4	2	1	1/8	1/8	1		8	44		4
5/2	0.5	1	1	5/8	5/8	4/4	2	1	1/8	1/8	1		7	49		5
3	0.5	1	1	3/4	3/4	4/4	2	1	1/8	1/8	1		5	59		6
7/2	0.5	1	1	7/8	7/8	4/4	2	1	1/8	1/8	1		7	49		7
4	0.5	2	2	0	0	4/4	2	1	1/8	1/8	1		3	45		8
9/2	0.5	2	2	1/8	1/8	4/4	2	1	1/8	1/8	1		6	54		9
5	0.5	2	2	1/4	1/4	4/4	2	1	1/8	1/8	1		7	61		10
11/2	0.5	2	2	3/8	3/8	4/4	2	1	1/8	1/8	1		6	54		11
6	0.5	2	2	1/2	1/2	4/4	2	1	1/8	1/8	1		5	47		12
13/2	0.5	2	2	5/8	5/8	4/4	2	1	1/8	1/8	1		6	54		13
7	0.5	2	2	3/4	3/4	4/4	2	1	1/8	1/8	1		2	62		14
15/2	0.5	2	2	7/8	7/8	4/4	2	1	1/8	1/8	1		6	54		15
8	0.5	3	3	0	0	4/4	2	1	1/8	1/8	1		6	42		19
8	1.0	3	3	0	0	4/4	1	1	1/4	1/4	1		6	66		16
17/2	0.5	3	3	1/8	1/8	4/4	2	1	1/8	1/8	1		7	49		20
9	0.5	3	3	1/4	1/4	4/4	2	1	1/8	1/8	1		3	57		21
9	1.0	3	3	1/4	1/4	4/4	1	1	1/4	1/4	1		7	73		17
19/2	0.5	3	3	3/8	3/8	4/4	2	1	1/8	1/8	1		7	49		22
10	0.5	3	3	1/2	1/2	4/4	2	1	1/8	1/8	1		8	44		23
10	2.0	3	3	1/2	1/2	4/4	1	1	1/2	1/2	1	1	5	71		18
21/2	0.5	3	3	5/8	5/8	4/4	2	1	1/8	1/8	1		7	49		24
11	0.5	3	3	3/4	3/4	4/4	2	1	1/8	1/8	1		5	59		25
23/2	0.5	3	3	7/8	7/8	4/4	2	1	1/8	1/8	1		7	49		26
12	0.5	4	4	0	0	4/4	2	1	1/8	1/8	1		3	45		33
12	1.0	4	4	0	0	4/4	1	1	1/4	1/4	1	-1	5	71		27
25/2	0.5	4	4	1/8	1/8	4/4	2	1	1/8	1/8	1		6	54		34
13	0.5	4	4	1/4	1/4	4/4	2	1	1/8	1/8	1		7	61		35
13	0.5	4	4	1/4	1/4	4/4	1	1	1/8	1/8	1		3	69		28
