mc	mn	mc_onset	mn_onset	timesig	staff	voice	duration	gracenote	nominal_duration	scalar	tied	tpc	midi	chord_id
1	1	0	0	12/16	1	1	1/8		1/8	1	1	5	59	0
1	1	1/8	1/8	12/16	1	1	1/8		1/8	1	1	6	66	1
1	1	1/4	1/4	12/16	1	1	1/8		1/8	1	1	7	61	2
1	1	3/8	3/8	12/16	1	1	1/8		1/8	1	1	4	64	3
1	1	1/2	1/2	12/16	1	1	1/8		1/8	1	1	8	68	4
1	1	5/8	5/8	12/16	1	1	1/8		1/8	1	1	5	71	5
2	2	0	0	2/4	2	1	1/2		1/2	1	-1	5	59	7
2	2	0	0	2/4	2	1	1/2		1/2	1	-1	7	61	7
2	2	0	0	2/4	1	1	1/2		1/2	1	-1	4	64	6
2	2	0	0	2/4	1	1	1/2		1/2	1	-1	6	66	6
2	2	0	0	2/4	2	1	1/2		1/2	1	-1	8	68	7
2	2	0	0	2/4	1	1	1/2		1/2	1	-1	5	71	6
3	3	1/8	1/8	12/16	2	1	1/16		1/16	1		6	78	17
3	3	1/8	1/8	12/16	1	1	1/16		1/16	1		6	90	8
3	3	3/16	3/16	12/16	2	1	1/16		1/16	1		6	78	18
3	3	3/16	3/16	12/16	1	2	1/8		1/8	1		8	80	15
3	3	3/16	3/16	12/16	1	2	1/8		1/8	1		5	83	15
3	3	3/16	3/16	12/16	1	1	1/16		1/16	1		6	90	9
3	3	1/4	1/4	12/16	2	1	1/16		1/16	1		4	76	19
3	3	1/4	1/4	12/16	1	1	1/16		1/16	1		4	88	10
3	3	5/16	5/16	12/16	2	1	1/16		1/16	1		9	75	20
3	3	5/16	5/16	12/16	1	1	1/16		1/16	1		9	87	11
3	3	3/8	3/8	12/16	2	1	1/8		1/8	1		7	73	21
3	3	3/8	3/8	12/16	1	2	1/4		1/4	1		4	76	16
3	3	3/8	3/8	12/16	1	2	1/4		1/4	1		8	80	16
3	3	3/8	3/8	12/16	1	1	1/8		1/8	1		7	85	12
3	3	1/2	1/2	12/16	2	1	1/16		1/16	1		5	71	22
3	3	1/2	1/2	12/16	1	1	1/16		1/16	1		5	83	13
3	3	9/16	9/16	12/16	2	1	3/16		1/8	3/2	1	8	68	23
3	3	9/16	9/16	12/16	1	1	3/16		1/8	3/2	1	8	80	14
4	4	0	0	2/4	2	1	1/8		1/8	1	-1	8	68	26
4	4	0	0	2/4	1	1	1/8		1/8	1	-1	8	80	24
4	4	1/8	1/8	2/4	2	1	1/8		1/8	1		8	68	27
4	4	1/8	1/8	2/4	2	1	1/8		1/8	1		7	73	27
4	4	1/8	1/8	2/4	2	1	1/8		1/8	1		4	76	27
4	4	1/8	1/8	2/4	2	1	1/8		1/8	1		8	80	27
4	4	1/8	1/8	2/4	1	1	1/8		1/8	1		5	83	25
4	4	1/8	1/8	2/4	1	1	1/8		1/8	1		7	85	25
4	4	1/8	1/8	2/4	1	1	1/8		1/8	1		4	88	25
4	4	1/8	1/8	2/4	1	1	1/8		1/8	1		10	94	25
5	5	0	0	12/16	1	1	1/8		1/8	1		5	59	28
5	5	1/8	1/8	12/16	1	1	1/8		1/8	1		6	66	29
5	5	1/4	1/4	12/16	1	1	1/8		1/8	1		7	61	30
5	5	3/8	3/8	12/16	1	1	1/8		1/8	1		4	64	31
5	5	1/2	1/2	12/16	1	1	1/8		1/8	1		8	68	32
5	5	5/8	5/8	12/16	1	1	1/8		1/8	1		5	71	33
6	6	0	0	12/16	1	1	1/8		1/8	1		5	59	34
6	6	0	0	12/16	2	1	1/8		1/8	1		5	59	41
6	6	1/8	1/8	12/16	2	1	1/8		1/8	1	1	6	54	42
6	6	1/8	1/8	12/16	1	1	1/8		1/8	1	1	6	66	35
6	6	1/4	1/4	12/16	2	1	1/8		1/8	1	1	8	56	43
6	6	1/4	1/4	12/16	1	1	1/8		1/8	1	1	7	61	36
6	6	3/8	3/8	12/16	2	1	1/8		1/8	1	1	5	59	44
6	6	3/8	3/8	12/16	1	1	1/8		1/8	1	1	4	64	37
6	6	1/2	1/2	12/16	2	1	1/8		1/8	1	1	7	61	45
6	6	1/2	1/2	12/16	1	1	1/8		1/8	1	1	8	68	38
6	6	5/8	5/8	12/16	2	1	1/8		1/8	1	1	4	64	46
6	6	5/8	5/8	12/16	1	1	1/8		1/8	1	1	5	71	39
6	6	3/4	3/4	12/16	2	1	1/2		1/2	1	-1	6	54	47
6	6	3/4	3/4	12/16	2	1	1/2		1/2	1	-1	8	56	47
6	6	3/4	3/4	12/16	2	1	1/2		1/2	1	-1	5	59	47
6	6	3/4	3/4	12/16	1	1	1/2		1/2	1	-1	7	61	40
6	6	3/4	3/4	12/16	2	1	1/2		1/2	1	-1	7	61	47
6	6	3/4	3/4	12/16	1	1	1/2		1/2	1	-1	4	64	40
6	6	3/4	3/4	12/16	2	1	1/2		1/2	1	-1	4	64	47
6	6	3/4	3/4	12/16	1	1	1/2		1/2	1	-1	6	66	40
6	6	3/4	3/4	12/16	1	1	1/2		1/2	1	-1	8	68	40
6	6	3/4	3/4	12/16	1	1	1/2		1/2	1	-1	5	71	40
7	7	3/8	3/8	2/4	2	1	1/8		1/8	1		8	68	49
7	7	3/8	3/8	2/4	2	1	1/8		1/8	1		7	73	49
7	7	3/8	3/8	2/4	2	1	1/8		1/8	1		4	76	49
7	7	3/8	3/8	2/4	2	1	1/8		1/8	1		8	80	49
7	7	3/8	3/8	2/4	1	1	1/8		1/8	1		5	83	48
