quarterbeats	duration_qb	mc	mn	mc_onset	mn_onset	timesig	staff	voice	duration	gracenote	nominal_duration	scalar	tied	tpc	midi	volta	chord_id
0	0.5	1	1	0	0	4/4	2	2	1/8		1/8	1		-1	29		3
1/2	0.5	1	1	1/8	1/8	4/4	2	2	1/8		1/8	1		-1	41		4
1	0.5	1	1	1/4	1/4	4/4	2	2	1/8		1/8	1		0	48		5
3/2	0.5	1	1	3/8	3/8	4/4	2	2	1/8		1/8	1	1	0	48		6
2	2.0	1	1	1/2	1/2	4/4	2	2	1/2		1/2	1	0	0	48		7
2	2.0	1	1	1/2	1/2	4/4	2	1	1/2		1/2	1	1	1	55		2
2	2.0	1	1	1/2	1/2	4/4	2	1	1/2		1/2	1	1	-2	58		2
2	2.0	1	1	1/2	1/2	4/4	2	1	1/2		1/2	1	1	2	62		2
2	2.0	1	1	1/2	1/2	4/4	1	2	1/2		1/2	1	1	1	67		1
2	2.0	1	1	1/2	1/2	4/4	1	2	1/2		1/2	1	1	-2	70		1
2	2.0	1	1	1/2	1/2	4/4	1	2	1/2		1/2	1	1	2	74		1
2	2.0	1	1	1/2	1/2	4/4	1	1	1/2		1/2	1	1	1	79		0
4	1.0	2	2	0	0	4/4	2	2	1/4		1/4	1	-1	0	48		26
4	1.0	2	2	0	0	4/4	2	1	1/4		1/4	1	-1	1	55		25
4	1.0	2	2	0	0	4/4	2	1	1/4		1/4	1	-1	-2	58		25
4	1.0	2	2	0	0	4/4	2	1	1/4		1/4	1	-1	2	62		25
4	1.0	2	2	0	0	4/4	1	2	1/4		1/4	1	-1	1	67		24
4	1.0	2	2	0	0	4/4	1	2	1/4		1/4	1	-1	-2	70		24
4	1.0	2	2	0	0	4/4	1	2	1/4		1/4	1	-1	2	74		24
4	0.25	2	2	0	0	4/4	1	1	1/16		1/16	1	-1	1	79		8
17/4	0.25	2	2	1/16	1/16	4/4	1	1	1/16		1/16	1		3	81		9
9/2	0.25	2	2	1/8	1/8	4/4	1	1	1/16		1/16	1		-2	82		10
19/4	0.25	2	2	3/16	3/16	4/4	1	1	1/16		1/16	1		3	81		11
5	0.25	2	2	1/4	1/4	4/4	1	1	1/16		1/16	1		1	79		12
21/4	0.25	2	2	5/16	5/16	4/4	1	1	1/16		1/16	1		3	81		13
11/2	0.25	2	2	3/8	3/8	4/4	1	1	1/16		1/16	1		1	79		14
23/4	0.25	2	2	7/16	7/16	4/4	1	1	1/16		1/16	1		-1	77		15
6	0.25	2	2	1/2	1/2	4/4	1	1	1/16		1/16	1		2	74		16
25/4	0.25	2	2	9/16	9/16	4/4	1	1	1/16		1/16	1		-1	77		17
13/2	0.25	2	2	5/8	5/8	4/4	1	1	1/16		1/16	1		2	74		18
27/4	0.25	2	2	11/16	11/16	4/4	1	1	1/16		1/16	1		0	72		19
7	0.25	2	2	3/4	3/4	4/4	1	1	1/16		1/16	1		-2	70		20
29/4	0.25	2	2	13/16	13/16	4/4	1	1	1/16		1/16	1		1	67		21
15/2	0.25	2	2	7/8	7/8	4/4	1	1	1/16		1/16	1		2	62		22
31/4	0.25	2	2	15/16	15/16	4/4	1	1	1/16		1/16	1		4	64		23
8	2.0	3	3	0	0	4/4	2	2	1/2		1/2	1		-1	41		43
8	2.0	3	3	0	0	4/4	2	2	1/2		1/2	1		0	48		43
8	4.0	3	3	0	0	4/4	2	1	1		1	1		3	57		42
8	2.0	3	3	0	0	4/4	1	2	1/2		1/2	1		0	60		40
8	0.25	3	3	0	0	4/4	1	1	1/16		1/16	1		1	67		27
33/4	0.25	3	3	1/16	1/16	4/4	1	1	1/16		1/16	1		-1	65		28
17/2	0.25	3	3	1/8	1/8	4/4	1	1	1/16		1/16	1		1	67		29
35/4	0.25	3	3	3/16	3/16	4/4	1	1	1/16		1/16	1		3	69		30
9	1.0	3	3	1/4	1/4	4/4	1	1	1/4		1/4	1	1	1	67		31
10	2.0	3	3	1/2	1/2	4/4	2	2	1/2		1/2	1		-2	46		44
10	2.0	3	3	1/2	1/2	4/4	2	2	1/2		1/2	1		-1	53		44
10	2.0	3	3	1/2	1/2	4/4	1	2	1/2		1/2	1		2	62		41
10	0.25	3	3	1/2	1/2	4/4	1	1	1/16		1/16	1	-1	1	67		32
41/4	0.25	3	3	9/16	9/16	4/4	1	1	1/16		1/16	1		-1	65		33
21/2	0.25	3	3	5/8	5/8	4/4	1	1	1/16		1/16	1		1	67		34
43/4	0.25	3	3	11/16	11/16	4/4	1	1	1/16		1/16	1		3	69		35
11	0.25	3	3	3/4	3/4	4/4	1	1	1/16		1/16	1		0	72		36
45/4	0.25	3	3	13/16	13/16	4/4	1	1	1/16		1/16	1		3	69		37
23/2	0.25	3	3	7/8	7/8	4/4	1	1	1/16		1/16	1		1	67		38
47/4	0.25	3	3	15/16	15/16	4/4	1	1	1/16		1/16	1		-1	65		39
12	2.0	4	4	0	0	4/4	2	2	1/2		1/2	1		0	48		61
12	4.0	4	4	0	0	4/4	2	1	1		1	1		3	57		60
12	2.0	4	4	0	0	4/4	1	2	1/2		1/2	1		4	64		58
12	0.25	4	4	0	0	4/4	1	1	1/16		1/16	1		1	67		45
49/4	0.25	4	4	1/16	1/16	4/4	1	1	1/16		1/16	1		-1	65		46
25/2	0.25	4	4	1/8	1/8	4/4	1	1	1/16		1/16	1		1	67		47
51/4	0.25	4	4	3/16	3/16	4/4	1	1	1/16		1/16	1		3	69		48
13	1.0	4	4	1/4	1/4	4/4	1	1	1/4		1/4	1	1	1	67		49
14	2.0	4	4	1/2	1/2	4/4	2	2	1/2		1/2	1		2	50		62
14	2.0	4	4	1/2	1/2	4/4	1	2	1/2		1/2	1	1	2	62		59
14	0.25	4	4	1/2	1/2	4/4	1	1	1/16		1/16	1	-1	1	67		50
57/4	0.25	4	4	9/16	9/16	4/4	1	1	1/16		1/16	1		-1	65		51
29/2	0.25	4	4	5/8	5/8	4/4	1	1	1/16		1/16	1		1	67		52
59/4	0.25	4	4	11/16	11/16	4/4	1	1	1/16		1/16	1		3	69		53
15	0.25	4	4	3/4	3/4	4/4	1	1	1/16		1/16	1		2	74		54
61/4	0.25	4	4	13/16	13/16	4/4	1	1	1/16		1/16	1		3	69		55
31/2	0.25	4	4	7/8	7/8	4/4	1	1	1/16		1/16	1		1	67		56
63/4	0.25	4	4	15/16	15/16	4/4	1	1	1/16		1/16	1	1	-1	65		57
16	1.0	5	5	0	0	4/4	2	1	1/4		1/4	1		-2	46		75
16	1.0	5	5	0	0	4/4	2	1	1/4		1/4	1		-1	53		75
16	1.0	5	5	0	0	4/4	2	1	1/4		1/4	1		-2	58		75
16	1.0	5	5	0	0	4/4	1	2	1/4		1/4	1	-1	2	62		72
16	0.25	5	5	0	0	4/4	1	1	1/16		1/16	1	-1	-1	65		63
65/4	0.25	5	5	1/16	1/16	4/4	1	1	1/16		1/16	1		-2	70		64
33/2	0.25	5	5	1/8	1/8	4/4	1	1	1/16		1/16	1		2	74		65
67/4	0.25	5	5	3/16	3/16	4/4	1	1	1/16		1/16	1		-1	77		66
17	3.0	5	5	1/4	1/4	4/4	2	2	3/4		1/2	3/2		-2	58		80
17	1.0	5	5	1/4	1/4	4/4	2	1	1/4		1/4	1		-1	65		76
17	1.0	5	5	1/4	1/4	4/4	1	2	1/4		1/4	1		2	74		73
17	1.0	5	5	1/4	1/4	4/4	1	1	1/4		1/4	1	1	3	81		67
18	1.0	5	5	1/2	1/2	4/4	2	1	1/4		1/4	1		4	64		77
18	2.0	5	5	1/2	1/2	4/4	1	2	1/2		1/2	1	1	0	72		74
18	0.5	5	5	1/2	1/2	4/4	1	1	1/8		1/8	1	-1	3	81		68
37/2	0.5	5	5	5/8	5/8	4/4	1	1	1/8		1/8	1		1	79		69
19	0.5	5	5	3/4	3/4	4/4	2	1	1/8		1/8	1		2	62		78
19	0.5	5	5	3/4	3/4	4/4	1	1	1/8		1/8	1		-1	77		70
39/2	0.5	5	5	7/8	7/8	4/4	2	1	1/8		1/8	1	1	4	64		79
39/2	0.5	5	5	7/8	7/8	4/4	1	1	1/8		1/8	1	1	1	79		71
20	2.0	6	6	0	0	4/4	2	2	1/2		1/2	1		3	57		103
20	0.25	6	6	0	0	4/4	2	1	1/16		1/16	1	-1	4	64		95
20	1.0	6	6	0	0	4/4	1	2	1/4		1/4	1	0	0	72		90
20	0.25	6	6	0	0	4/4	1	1	1/16		1/16	1	-1	1	79		81
81/4	0.25	6	6	1/16	1/16	4/4	2	1	1/16		1/16	1		-1	65		96
81/4	0.25	6	6	1/16	1/16	4/4	1	1	1/16		1/16	1		-1	77		82
41/2	0.25	6	6	1/8	1/8	4/4	2	1	1/16		1/16	1		1	67		97
41/2	0.25	6	6	1/8	1/8	4/4	1	1	1/16		1/16	1		4	76		83
83/4	0.25	6	6	3/16	3/16	4/4	2	1	1/16		1/16	1		3	69		98
83/4	0.25	6	6	3/16	3/16	4/4	1	1	1/16		1/16	1		1	79		84
21	1.0	6	6	1/4	1/4	4/4	2	1	1/4		1/4	1	1	2	62		99
21	0.5	6	6	1/4	1/4	4/4	1	2	1/8		1/8	1	-1	0	72		91
21	1.0	6	6	1/4	1/4	4/4	1	1	1/4		1/4	1	1	-1	77		85
43/2	0.25	6	6	3/8	3/8	4/4	1	2	1/16		1/16	1		-2	70		92
87/4	0.25	6	6	7/16	7/16	4/4	1	2	1/16		1/16	1		3	69		93
22	1.0	6	6	1/2	1/2	4/4	2	2	1/4		1/4	1		1	55		104
22	0.5	6	6	1/2	1/2	4/4	2	1	1/8		1/8	1	-1	2	62		100
22	2.0	6	6	1/2	1/2	4/4	1	2	1/2		1/2	1		-2	70		94
22	0.5	6	6	1/2	1/2	4/4	1	1	1/8		1/8	1	-1	-1	77		86
45/2	0.5	6	6	5/8	5/8	4/4	2	1	1/8		1/8	1		4	64		101
45/2	0.5	6	6	5/8	5/8	4/4	1	1	1/8		1/8	1		4	76		87
23	1.0	6	6	3/4	3/4	4/4	2	1	1/4		1/4	1		0	48		102
23	1.0	6	6	3/4	3/4	4/4	2	2	1/4		1/4	1		0	48		105
23	0.5	6	6	3/4	3/4	4/4	1	1	1/8		1/8	1		-1	65		88
23	0.5	6	6	3/4	3/4	4/4	1	1	1/8		1/8	1		2	74		88
47/2	0.5	6	6	7/8	7/8	4/4	1	1	1/8		1/8	1		4	64		89
47/2	0.5	6	6	7/8	7/8	4/4	1	1	1/8		1/8	1		0	72		89
24	0.5	7	7	0	0	4/4	2	2	1/8		1/8	1		-1	29		109
49/2	0.5	7	7	1/8	1/8	4/4	2	2	1/8		1/8	1		-1	41		110
25	0.5	7	7	1/4	1/4	4/4	2	2	1/8		1/8	1		0	48		111
51/2	0.5	7	7	3/8	3/8	4/4	2	2	1/8		1/8	1	1	0	48		112
26	2.0	7	7	1/2	1/2	4/4	2	2	1/2		1/2	1	0	0	48		113
26	2.0	7	7	1/2	1/2	4/4	2	1	1/2		1/2	1	1	1	55		108
26	2.0	7	7	1/2	1/2	4/4	2	1	1/2		1/2	1	1	-2	58		108
26	2.0	7	7	1/2	1/2	4/4	2	1	1/2		1/2	1	1	2	62		108
26	2.0	7	7	1/2	1/2	4/4	1	2	1/2		1/2	1	1	1	67		107
26	2.0	7	7	1/2	1/2	4/4	1	2	1/2		1/2	1	1	-2	70		107
26	2.0	7	7	1/2	1/2	4/4	1	2	1/2		1/2	1	1	2	74		107
26	2.0	7	7	1/2	1/2	4/4	1	1	1/2		1/2	1	1	1	79		106
28	1.0	8	8	0	0	4/4	2	2	1/4		1/4	1	-1	0	48		132
28	1.0	8	8	0	0	4/4	2	1	1/4		1/4	1	-1	1	55		131
28	1.0	8	8	0	0	4/4	2	1	1/4		1/4	1	-1	-2	58		131
28	1.0	8	8	0	0	4/4	2	1	1/4		1/4	1	-1	2	62		131
28	1.0	8	8	0	0	4/4	1	2	1/4		1/4	1	-1	1	67		130
28	1.0	8	8	0	0	4/4	1	2	1/4		1/4	1	-1	-2	70		130
28	1.0	8	8	0	0	4/4	1	2	1/4		1/4	1	-1	2	74		130
28	0.25	8	8	0	0	4/4	1	1	1/16		1/16	1	-1	1	79		114
113/4	0.25	8	8	1/16	1/16	4/4	1	1	1/16		1/16	1		3	81		115
57/2	0.25	8	8	1/8	1/8	4/4	1	1	1/16		1/16	1		-2	82		116
115/4	0.25	8	8	3/16	3/16	4/4	1	1	1/16		1/16	1		3	81		117
29	0.25	8	8	1/4	1/4	4/4	1	1	1/16		1/16	1		1	79		118
117/4	0.25	8	8	5/16	5/16	4/4	1	1	1/16		1/16	1		3	81		119
59/2	0.25	8	8	3/8	3/8	4/4	1	1	1/16		1/16	1		1	79		120
119/4	0.25	8	8	7/16	7/16	4/4	1	1	1/16		1/16	1		-1	77		121
30	0.25	8	8	1/2	1/2	4/4	1	1	1/16		1/16	1		2	74		122
121/4	0.25	8	8	9/16	9/16	4/4	1	1	1/16		1/16	1		-1	77		123
61/2	0.25	8	8	5/8	5/8	4/4	1	1	1/16		1/16	1		2	74		124
123/4	0.25	8	8	11/16	11/16	4/4	1	1	1/16		1/16	1		0	72		125
31	0.25	8	8	3/4	3/4	4/4	1	1	1/16		1/16	1		-2	70		126
125/4	0.25	8	8	13/16	13/16	4/4	1	1	1/16		1/16	1		1	67		127
63/2	0.25	8	8	7/8	7/8	4/4	1	1	1/16		1/16	1		2	62		128
127/4	0.25	8	8	15/16	15/16	4/4	1	1	1/16		1/16	1		4	64		129
32	2.0	9	9	0	0	4/4	2	2	1/2		1/2	1		-2	58		147
32	4.0	9	9	0	0	4/4	2	1	1		1	1		0	60		146
32	4.0	9	9	0	0	4/4	2	1	1		1	1		-3	63		146
32	0.25	9	9	0	0	4/4	1	1	1/16		1/16	1		1	67		133
129/4	0.25	9	9	1/16	1/16	4/4	1	1	1/16		1/16	1		-1	65		134
65/2	0.25	9	9	1/8	1/8	4/4	1	1	1/16		1/16	1		1	67		135
131/4	0.25	9	9	3/16	3/16	4/4	1	1	1/16		1/16	1		3	69		136
33	1.0	9	9	1/4	1/4	4/4	1	1	1/4		1/4	1	1	1	67		137
34	2.0	9	9	1/2	1/2	4/4	2	2	1/2		1/2	1		3	57		148
34	0.25	9	9	1/2	1/2	4/4	1	1	1/16		1/16	1	-1	1	67		138
137/4	0.25	9	9	9/16	9/16	4/4	1	1	1/16		1/16	1		-1	65		139
69/2	0.25	9	9	5/8	5/8	4/4	1	1	1/16		1/16	1		1	67		140
139/4	0.25	9	9	11/16	11/16	4/4	1	1	1/16		1/16	1		3	69		141
35	0.25	9	9	3/4	3/4	4/4	1	1	1/16		1/16	1		0	72		142
