quarterbeats	duration_qb	mc	mn	mc_onset	mn_onset	timesig	staff	voice	duration	gracenote	nominal_duration	scalar	tied	tpc	midi	volta	chord_id
0	0.25	1	1	0	0	3/4	1	1	1/16		1/16	1		2	50		0
0	0.25	1	1	0	0	3/4	1	1	1/16		1/16	1		3	57		0
1/4	0.25	1	1	1/16	1/16	3/4	1	1	1/16		1/16	1		5	59		1
1/4	0.25	1	1	1/16	1/16	3/4	1	1	1/16		1/16	1		-1	65		1
1/2	0.25	1	1	1/8	1/8	3/4	1	1	1/16		1/16	1		-1	53		2
1/2	0.25	1	1	1/8	1/8	3/4	1	1	1/16		1/16	1		0	60		2
3/4	0.25	1	1	3/16	3/16	3/4	1	1	1/16		1/16	1		2	62		3
3/4	0.25	1	1	3/16	3/16	3/4	1	1	1/16		1/16	1		3	69		3
1	0.5	1	1	1/4	1/4	3/4	2	1	1/8		1/8	1		2	50		13
1	0.5	1	1	1/4	1/4	3/4	1	2	1/8		1/8	1		5	59		6
3/2	0.0	1	1	3/8	3/8	3/4	1	2	0	grace16	1/16	1		5	59		7
3/2	0.0	1	1	3/8	3/8	3/4	1	2	0	grace16	1/16	1		0	60		8
3/2	0.25	1	1	3/8	3/8	3/4	1	2	1/16		1/16	1		5	59		9
3/2	0.5	1	1	3/8	3/8	3/4	1	1	1/8		1/8	1		-1	65		4
3/2	0.5	1	1	3/8	3/8	3/4	1	1	1/8		1/8	1		3	69		4
7/4	0.25	1	1	7/16	7/16	3/4	1	2	1/16		1/16	1		3	57		10
2	0.5	1	1	1/2	1/2	3/4	2	1	1/8		1/8	1		2	50		14
2	0.5	1	1	1/2	1/2	3/4	1	2	1/8		1/8	1		5	59		11
5/2	0.5	1	1	5/8	5/8	3/4	1	2	1/8		1/8	1		0	60		12
5/2	0.5	1	1	5/8	5/8	3/4	1	1	1/8		1/8	1		-1	65		5
5/2	0.5	1	1	5/8	5/8	3/4	1	1	1/8		1/8	1		3	69		5
3	0.5	2	2	0	0	3/4	2	1	1/8		1/8	1		3	45		31
3	0.25	2	2	0	0	3/4	1	2	1/16		1/16	1		5	59		18
13/4	0.25	2	2	1/16	1/16	3/4	1	2	1/16		1/16	1		0	60		19
7/2	0.25	2	2	1/8	1/8	3/4	1	2	1/16		1/16	1		2	62		20
7/2	0.5	2	2	1/8	1/8	3/4	1	1	1/8		1/8	1		3	69		15
7/2	0.5	2	2	1/8	1/8	3/4	1	1	1/8		1/8	1		0	72		15
15/4	0.25	2	2	3/16	3/16	3/4	1	2	1/16		1/16	1		4	64		21
4	0.5	2	2	1/4	1/4	3/4	2	1	1/8		1/8	1		2	38		32
4	0.25	2	2	1/4	1/4	3/4	1	2	1/16		1/16	1		6	66		22
