mc	mn	mc_onset	mn_onset	timesig	staff	voice	duration	gracenote	nominal_duration	scalar	tied	tpc	midi	volta	chord_id
1	1	0	0	4/4	1	1	1/4		1/4	1	1	8	80		0
1	1	1/4	1/4	4/4	1	1	1/8		1/8	1	-1	8	80		1
1	1	3/8	3/8	4/4	1	1	1/16		1/16	1		6	78		2
1	1	7/16	7/16	4/4	1	1	1/16		1/16	1		4	76		3
1	1	1/2	1/2	4/4	1	1	1/8		1/8	1		2	74		4
1	1	5/8	5/8	4/4	1	1	1/24		1/16	2/3		4	76		5
1	1	2/3	2/3	4/4	1	1	1/24		1/16	2/3		2	74		6
1	1	17/24	17/24	4/4	1	1	1/24		1/16	2/3		7	73		7
1	1	3/4	3/4	4/4	1	1	1/8		1/8	1		5	71		8
1	1	7/8	7/8	4/4	1	1	1/8		1/8	1		5	83		9
2	2	0	0	4/4	1	1	1/2		1/2	1	1	8	80		10
2	2	1/2	1/2	4/4	1	1	1/8		1/8	1	-1	8	80		11
2	2	5/8	5/8	4/4	1	1	1/16		1/16	1		6	78		12
2	2	11/16	11/16	4/4	1	1	1/16		1/16	1		4	76		13
2	2	3/4	3/4	4/4	1	1	1/4		1/4	1	1	2	74		14
3	3	0	0	4/4	1	1	1/4		1/4	1	-1	2	74		15
3	3	1/4	1/4	4/4	1	1	0	acciaccatura	1/8	1		4	76		16
3	3	1/4	1/4	4/4	1	1	1/2		1/2	1		2	74		17
3	3	3/4	3/4	4/4	1	1	0	acciaccatura	1/8	1		-1	77		18
3	3	3/4	3/4	4/4	1	1	1/4		1/4	1	1	2	74		19
4	4	0	0	4/4	1	1	1/4		1/4	1	-1	2	74		20
4	4	1/4	1/4	4/4	1	1	0	grace16	1/16	1		1	79		21
4	4	1/4	1/4	4/4	1	1	0	grace16	1/16	1		-1	77		22
4	4	1/4	1/4	4/4	1	1	3/4		1/2	3/2		2	74		23
5	5	0	0	4/4	2	2	1/2		1/2	1		-1	65		46
5	5	0	0	4/4	2	1	1/4		1/4	1		1	67		42
5	5	0	0	4/4	1	1	3/32		1/16	3/2		7	73		24
5	5	3/32	3/32	4/4	1	1	1/32		1/32	1		5	71		25
5	5	1/8	1/8	4/4	1	1	3/32		1/16	3/2		7	73		26
5	5	7/32	7/32	4/4	1	1	1/32		1/32	1		2	74		27
5	5	1/4	1/4	4/4	2	1	1/4		1/4	1		-4	68		43
5	5	1/4	1/4	4/4	1	1	3/32		1/16	3/2		4	76		28
5	5	11/32	11/32	4/4	1	1	1/32		1/32	1		2	74		29
5	5	3/8	3/8	4/4	1	1	3/32		1/16	3/2		7	73		30
5	5	15/32	15/32	4/4	1	1	1/32		1/32	1		5	71		31
5	5	1/2	1/2	4/4	2	2	1/2		1/2	1		-1	65		47
5	5	1/2	1/2	4/4	2	1	1/4		1/4	1		1	67		44
5	5	1/2	1/2	4/4	1	1	3/32		1/16	3/2		7	73		32
5	5	19/32	19/32	4/4	1	1	1/32		1/32	1		5	71		33
5	5	5/8	5/8	4/4	1	1	3/32		1/16	3/2		7	73		34
5	5	23/32	23/32	4/4	1	1	1/32		1/32	1		2	74		35
5	5	3/4	3/4	4/4	2	1	1/4		1/4	1		-4	68		45
5	5	3/4	3/4	4/4	1	1	1/24		1/16	2/3		4	76		36
5	5	19/24	19/24	4/4	1	1	1/24		1/16	2/3		-1	77		37
5	5	5/6	5/6	4/4	1	1	1/24		1/16	2/3		4	76		38
5	5	7/8	7/8	4/4	1	1	1/24		1/16	2/3		2	74		39
5	5	11/12	11/12	4/4	1	1	1/24		1/16	2/3		7	73		40
5	5	23/24	23/24	4/4	1	1	1/24		1/16	2/3		5	71		41
6	6	0	0	4/4	2	1	1/2		1/2	1		4	64		53
6	6	0	0	4/4	2	1	1/2		1/2	1		1	67		53
6	6	0	0	4/4	1	1	3/32		1/16	3/2		7	73		48
6	6	3/32	3/32	4/4	1	1	1/32		1/32	1		2	74		49
6	6	1/8	1/8	4/4	1	1	1/8		1/8	1	1	5	71		50
6	6	1/4	1/4	4/4	1	1	1/4		1/4	1	0	5	71		51
6	6	1/2	1/2	4/4	2	1	1/2		1/2	1		9	63		54
6	6	1/2	1/2	4/4	2	1	1/2		1/2	1		6	66		54
6	6	1/2	1/2	4/4	1	1	1/2		1/2	1	-1	5	71		52
7	7	0	0	4/4	2	1	1/4		1/4	1		2	62		73
7	7	0	0	4/4	2	1	1/4		1/4	1		-1	65		73
7	7	0	0	4/4	1	1	3/32		1/16	3/2		7	73		55
