mc	mn	mc_onset	mn_onset	timesig	staff	voice	duration	gracenote	nominal_duration	scalar	tied	tpc	midi	chord_id
1	1	0	0	3/8	2	1	1/40		1/32	4/5		4	76	0
1	1	1/40	1/40	3/8	2	1	1/40		1/32	4/5		0	72	1
1	1	1/20	1/20	3/8	2	1	1/40		1/32	4/5		-4	68	2
1	1	3/40	3/40	3/8	2	1	1/40		1/32	4/5		-3	75	3
1	1	1/10	1/10	3/8	2	1	1/40		1/32	4/5		-4	80	4
1	1	1/8	1/8	3/8	2	1	1/40		1/32	4/5		0	72	5
1	1	3/20	3/20	3/8	2	1	1/40		1/32	4/5		3	69	6
1	1	7/40	7/40	3/8	2	1	1/40		1/32	4/5		-6	66	7
1	1	1/5	1/5	3/8	2	1	1/40		1/32	4/5		-5	73	8
1	1	9/40	9/40	3/8	2	1	1/40		1/32	4/5		-6	78	9
1	1	1/4	1/4	3/8	2	1	1/40		1/32	4/5		5	71	10
1	1	11/40	11/40	3/8	2	1	1/40		1/32	4/5		1	67	11
1	1	3/10	3/10	3/8	2	1	1/40		1/32	4/5		-3	63	12
1	1	13/40	13/40	3/8	2	1	1/40		1/32	4/5		-2	70	13
1	1	7/20	7/20	3/8	2	1	1/40		1/32	4/5		-3	75	14
2	2	0	0	3/8	2	1	1/40		1/32	4/5		4	76	15
2	2	1/40	1/40	3/8	2	1	1/40		1/32	4/5		0	72	16
2	2	1/20	1/20	3/8	2	1	1/40		1/32	4/5		-4	68	17
2	2	3/40	3/40	3/8	2	1	1/40		1/32	4/5		-3	75	18
2	2	1/10	1/10	3/8	2	1	1/40		1/32	4/5		-4	80	19
2	2	1/8	1/8	3/8	2	1	1/40		1/32	4/5		-1	77	20
2	2	3/20	3/20	3/8	2	1	1/40		1/32	4/5		2	74	21
2	2	7/40	7/40	3/8	2	1	1/40		1/32	4/5		-5	73	22
2	2	1/5	1/5	3/8	2	1	1/40		1/32	4/5		-4	80	23
2	2	9/40	9/40	3/8	2	1	1/40		1/32	4/5		-5	85	24
2	2	1/4	1/4	3/8	2	1	1/40		1/32	4/5		1	79	25
2	2	11/40	11/40	3/8	2	1	1/40		1/32	4/5		4	76	26
2	2	3/10	3/10	3/8	2	1	1/40		1/32	4/5		-3	75	27
2	2	13/40	13/40	3/8	2	1	1/40		1/32	4/5		-2	82	28
2	2	7/20	7/20	3/8	2	1	1/40		1/32	4/5		-3	87	29
3	3	0	0	3/8	2	1	1/40		1/32	4/5		4	76	30
3	3	1/40	1/40	3/8	2	1	1/40		1/32	4/5		0	72	31
3	3	1/20	1/20	3/8	2	1	1/40		1/32	4/5		-4	68	32
3	3	3/40	3/40	3/8	2	1	1/40		1/32	4/5		-3	75	33
3	3	1/10	1/10	3/8	2	1	1/40		1/32	4/5		-4	80	34
3	3	1/8	1/8	3/8	2	1	1/40		1/32	4/5		0	72	35
3	3	3/20	3/20	3/8	2	1	1/40		1/32	4/5		3	69	36
3	3	7/40	7/40	3/8	2	1	1/40		1/32	4/5		-6	66	37
3	3	1/5	1/5	3/8	2	1	1/40		1/32	4/5		-5	73	38
3	3	9/40	9/40	3/8	2	1	1/40		1/32	4/5		-6	78	39
3	3	1/4	1/4	3/8	2	1	1/40		1/32	4/5		5	71	40
3	3	11/40	11/40	3/8	2	1	1/40		1/32	4/5		1	67	41
3	3	3/10	3/10	3/8	2	1	1/40		1/32	4/5		-3	63	42
3	3	13/40	13/40	3/8	2	1	1/40		1/32	4/5		-2	70	43
3	3	7/20	7/20	3/8	2	1	1/40		1/32	4/5		-3	75	44
4	4	0	0	3/8	2	1	1/40		1/32	4/5		4	64	45
4	4	1/40	1/40	3/8	2	1	1/40		1/32	4/5		0	60	46
4	4	1/20	1/20	3/8	2	1	1/40		1/32	4/5		-4	56	47
4	4	3/40	3/40	3/8	2	1	1/40		1/32	4/5		-3	63	48
4	4	1/10	1/10	3/8	2	1	1/40		1/32	4/5		-4	68	49
4	4	1/8	1/8	3/8	2	1	1/40		1/32	4/5		0	60	50
4	4	3/20	3/20	3/8	2	1	1/40		1/32	4/5		3	57	51
4	4	7/40	7/40	3/8	2	1	1/40		1/32	4/5		-6	54	52
4	4	1/5	1/5	3/8	2	1	1/40		1/32	4/5		-5	61	53
