quarterbeats	duration_qb	mc	mn	mc_onset	mn_onset	timesig	staff	voice	duration	gracenote	nominal_duration	scalar	tied	tpc	midi	volta	chord_id
1/2	0.5	1	1	1/8	1/8	9/8	2	1	1/8		1/8	1	1	-1	65		3
1/2	0.5	1	1	1/8	1/8	9/8	2	1	1/8		1/8	1	1	-4	68		3
1	0.5	1	1	1/4	1/4	9/8	2	1	1/8		1/8	1	0	-1	65		4
1	0.5	1	1	1/4	1/4	9/8	2	1	1/8		1/8	1	0	-4	68		4
1	0.5	1	1	1/4	1/4	9/8	1	1	1/8		1/8	1	1	-1	77		0
1	0.5	1	1	1/4	1/4	9/8	1	1	1/8		1/8	1	1	-4	80		0
3/2	3.0	1	1	3/8	3/8	9/8	2	1	3/4		1/2	3/2	-1	-1	65		5
3/2	3.0	1	1	3/8	3/8	9/8	2	1	3/4		1/2	3/2	-1	-4	68		5
3/2	1.5	1	1	3/8	3/8	9/8	1	1	3/8		1/4	3/2	-1	-1	77		1
3/2	1.5	1	1	3/8	3/8	9/8	1	1	3/8		1/4	3/2	-1	-4	80		1
3	1.5	1	1	3/4	3/4	9/8	1	1	3/8		1/4	3/2	1	-5	73		2
3	1.5	1	1	3/4	3/4	9/8	1	1	3/8		1/4	3/2	1	-1	77		2
9/2	3.0	2	2	0	0	9/8	2	1	3/4		1/2	3/2	1	-6	66		10
9/2	3.0	2	2	0	0	9/8	2	1	3/4		1/2	3/2	1	3	69		10
9/2	0.5	2	2	0	0	9/8	1	1	1/8		1/8	1	-1	-5	73		6
9/2	0.5	2	2	0	0	9/8	1	1	1/8		1/8	1	-1	-1	77		6
5	0.5	2	2	1/8	1/8	9/8	1	1	1/8		1/8	1		0	72		7
5	0.5	2	2	1/8	1/8	9/8	1	1	1/8		1/8	1		-3	75		7
11/2	0.5	2	2	1/4	1/4	9/8	1	1	1/8		1/8	1		-5	73		8
11/2	0.5	2	2	1/4	1/4	9/8	1	1	1/8		1/8	1		-1	77		8
6	3.0	2	2	3/8	3/8	9/8	1	1	3/4		1/2	3/2	1	0	72		9
6	3.0	2	2	3/8	3/8	9/8	1	1	3/4		1/2	3/2	1	-3	75		9
15/2	1.5	2	2	3/4	3/4	9/8	2	1	3/8		1/4	3/2	-1	-6	66		11
15/2	1.5	2	2	3/4	3/4	9/8	2	1	3/8		1/4	3/2	-1	3	69		11
9	3.0	3	3	0	0	9/8	2	1	3/4		1/2	3/2	1	-1	65		20
9	3.0	3	3	0	0	9/8	2	1	3/4		1/2	3/2	1	-4	68		20
9	0.5	3	3	0	0	9/8	1	1	1/8		1/8	1	-1	0	72		12
9	0.5	3	3	0	0	9/8	1	1	1/8		1/8	1	-1	-3	75		12
19/2	0.5	3	3	1/8	1/8	9/8	1	1	1/8		1/8	1		-2	70		13
19/2	0.5	3	3	1/8	1/8	9/8	1	1	1/8		1/8	1		-5	73		13
10	0.5	3	3	1/4	1/4	9/8	1	1	1/8		1/8	1		0	72		14
10	0.5	3	3	1/4	1/4	9/8	1	1	1/8		1/8	1		-3	75		14
21/2	3.0	3	3	3/8	3/8	9/8	1	2	3/4		1/2	3/2	1	-2	70		19
21/2	0.75	3	3	3/8	3/8	9/8	1	1	3/16		1/8	3/2		-5	73		15
45/4	0.75	3	3	9/16	9/16	9/8	1	1	3/16		1/8	3/2	1	-1	77		16
12	1.5	3	3	3/4	3/4	9/8	2	1	3/8		1/4	3/2	-1	-1	65		21
12	1.5	3	3	3/4	3/4	9/8	2	1	3/8		1/4	3/2	-1	-4	68		21
12	0.75	3	3	3/4	3/4	9/8	1	1	3/16		1/8	3/2	-1	-1	77		17
51/4	0.75	3	3	15/16	15/16	9/8	1	1	3/16		1/8	3/2	1	-5	73		18
27/2	3.0	4	4	0	0	9/8	2	1	3/4		1/2	3/2	1	-3	63		26
27/2	3.0	4	4	0	0	9/8	2	1	3/4		1/2	3/2	1	-6	66		26
27/2	0.5	4	4	0	0	9/8	1	1	1/8		1/8	1	-1	-2	70		22
27/2	0.5	4	4	0	0	9/8	1	1	1/8		1/8	1	-1	-5	73		22
14	0.5	4	4	1/8	1/8	9/8	1	1	1/8		1/8	1		-4	68		23
14	0.5	4	4	1/8	1/8	9/8	1	1	1/8		1/8	1		0	72		23
29/2	0.5	4	4	1/4	1/4	9/8	1	1	1/8		1/8	1		-2	70		24
29/2	0.5	4	4	1/4	1/4	9/8	1	1	1/8		1/8	1		-5	73		24
15	3.0	4	4	3/8	3/8	9/8	1	1	3/4		1/2	3/2		-4	68		25
15	3.0	4	4	3/8	3/8	9/8	1	1	3/4		1/2	3/2	1	0	72		25
33/2	1.5	4	4	3/4	3/4	9/8	2	1	3/8		1/4	3/2	-1	-3	63		27
33/2	1.5	4	4	3/4	3/4	9/8	2	1	3/8		1/4	3/2	-1	-6	66		27
18	3.0	5	5	0	0	9/8	2	2	3/4		1/2	3/2		-5	61		41
18	3.0	5	5	0	0	9/8	2	1	3/4		1/2	3/2		-3	63		39
18	3.0	5	5	0	0	9/8	1	2	3/4		1/2	3/2		-6	66		37
18	0.5	5	5	0	0	9/8	1	1	1/8		1/8	1	-1	0	72		28
37/2	0.5	5	5	1/8	1/8	9/8	1	1	1/8		1/8	1		-2	70		29
19	0.5	5	5	1/4	1/4	9/8	1	1	1/8		1/8	1		0	72		30
39/2	0.5	5	5	3/8	3/8	9/8	1	1	1/8		1/8	1		-2	70		31
20	0.5	5	5	1/2	1/2	9/8	1	1	1/8		1/8	1		-3	75		32
41/2	0.5	5	5	5/8	5/8	9/8	1	1	1/8		1/8	1		-2	70		33
21	1.5	5	5	3/4	3/4	9/8	2	2	3/8		1/4	3/2		0	60		42
21	1.5	5	5	3/4	3/4	9/8	2	1	3/8		1/4	3/2		-3	63		40
21	1.5	5	5	3/4	3/4	9/8	1	2	3/8		1/4	3/2		-6	66		38
21	0.5	5	5	3/4	3/4	9/8	1	1	1/8		1/8	1		-4	68		34
43/2	0.5	5	5	7/8	7/8	9/8	1	1	1/8		1/8	1		-2	70		35
22	0.5	5	5	1	1	9/8	1	1	1/8		1/8	1	1	-4	68		36
45/2	3.0	6	6	0	0	9/8	2	2	3/4		1/2	3/2		-2	58		52
45/2	3.0	6	6	0	0	9/8	2	1	3/4		1/2	3/2		-5	61		50
45/2	3.0	6	6	0	0	9/8	1	2	3/4		1/2	3/2		-3	63		48
45/2	0.5	6	6	0	0	9/8	1	1	1/8		1/8	1	-1	-4	68		43
23	0.5	6	6	1/8	1/8	9/8	1	1	1/8		1/8	1		-6	66		44
47/2	0.5	6	6	1/4	1/4	9/8	1	1	1/8		1/8	1		-4	68		45
24	1.5	6	6	3/8	3/8	9/8	1	1	3/8		1/4	3/2		-6	66		46
51/2	1.5	6	6	3/4	3/4	9/8	2	2	3/8		1/4	3/2		3	57		53
51/2	1.5	6	6	3/4	3/4	9/8	2	1	3/8		1/4	3/2		0	60		51
51/2	1.5	6	6	3/4	3/4	9/8	1	2	3/8		1/4	3/2		-3	63		49
51/2	1.5	6	6	3/4	3/4	9/8	1	1	3/8		1/4	3/2	1	-1	65		47
27	3.0	7	7	0	0	9/8	2	2	3/4		1/2	3/2		-4	56		67
27	3.0	7	7	0	0	9/8	2	1	3/4		1/2	3/2	1	-2	58		65
27	3.0	7	7	0	0	9/8	1	2	3/4		1/2	3/2	1	-5	61		63
27	0.5	7	7	0	0	9/8	1	1	1/8		1/8	1	-1	-1	65		54
55/2	0.5	7	7	1/8	1/8	9/8	1	1	1/8		1/8	1		-1	65		55
28	0.5	7	7	1/4	1/4	9/8	1	1	1/8		1/8	1		-6	66		56
57/2	0.5	7	7	3/8	3/8	9/8	1	1	1/8		1/8	1		-1	65		57
29	0.5	7	7	1/2	1/2	9/8	1	1	1/8		1/8	1		-2	70		58
59/2	0.5	7	7	5/8	5/8	9/8	1	1	1/8		1/8	1		-1	65		59
30	1.5	7	7	3/4	3/4	9/8	2	2	3/8		1/4	3/2		-6	54		68
30	1.5	7	7	3/4	3/4	9/8	2	1	3/8		1/4	3/2	-1	-2	58		66
30	1.5	7	7	3/4	3/4	9/8	1	2	3/8		1/4	3/2	-1	-5	61		64
30	0.5	7	7	3/4	3/4	9/8	1	1	1/8		1/8	1		-3	63		60
61/2	0.5	7	7	7/8	7/8	9/8	1	1	1/8		1/8	1		-1	65		61
