mc	mn	mc_onset	mn_onset	timesig	staff	voice	duration	gracenote	nominal_duration	scalar	tied	tpc	midi	chord_id
1	1	0	0	2/4	1	1	0	grace16	1/16	1		1	55	0
1	1	0	0	2/4	1	1	0	grace16	1/16	1		3	57	1
1	1	0	0	2/4	1	1	0	grace16	1/16	1		5	59	2
1	1	0	0	2/4	1	1	1/8		1/8	1		7	61	3
1	1	1/8	1/8	2/4	1	1	1/8		1/8	1		-1	65	4
1	1	1/4	1/4	2/4	1	1	1/8		1/8	1		4	64	5
1	1	3/8	3/8	2/4	2	1	1/16		1/16	1		3	57	8
1	1	3/8	3/8	2/4	2	1	1/16		1/16	1		-5	61	8
1	1	3/8	3/8	2/4	1	1	1/16		1/16	1		-3	63	6
1	1	3/8	3/8	2/4	1	1	1/16		1/16	1		1	67	6
1	1	7/16	7/16	2/4	2	1	1/16		1/16	1		-4	56	9
1	1	7/16	7/16	2/4	2	1	1/16		1/16	1		0	60	9
1	1	7/16	7/16	2/4	1	1	1/16		1/16	1		2	62	7
1	1	7/16	7/16	2/4	1	1	1/16		1/16	1		6	66	7
2	2	0	0	2/4	1	1	0	grace16after	1/16	1		5	59	10
2	2	0	0	2/4	1	1	0	grace16after	1/16	1		3	57	11
2	2	0	0	2/4	1	1	0	grace16after	1/16	1		1	55	12
2	2	0	0	2/4	2	1	1/2		1/2	1		1	55	14
2	2	0	0	2/4	2	1	1/2		1/2	1		5	59	14
2	2	0	0	2/4	1	1	1/2		1/2	1		-5	61	13
2	2	0	0	2/4	1	1	1/2		1/2	1		-1	65	13
3	3	0	0	2/4	1	1	1/8		1/8	1		7	61	15
3	3	1/8	1/8	2/4	1	1	1/8		1/8	1		6	66	16
3	3	1/4	1/4	2/4	1	1	1/8		1/8	1		-1	65	17
3	3	3/8	3/8	2/4	2	1	1/16		1/16	1		6	54	20
3	3	3/8	3/8	2/4	2	1	1/16		1/16	1		0	60	20
3	3	3/8	3/8	2/4	1	1	1/16		1/16	1		4	64	18
3	3	3/8	3/8	2/4	1	1	1/16		1/16	1		3	69	18
3	3	7/16	7/16	2/4	2	1	1/16		1/16	1		-1	53	21
3	3	7/16	7/16	2/4	2	1	1/16		1/16	1		5	59	21
